feature_set,feature_count,model,fold,metric_scope,class_label,rows,accuracy,balanced_accuracy,macro_f1,precision,recall,f1,support,train_rows,test_rows,train_groups,test_groups,group_overlap_count
compact13,13,dummy_most_frequent,1,overall,all,37,0.35135135135135137,0.25,0.13,0.08783783783783784,0.25,0.13,37,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,dummy_most_frequent,1,class,normal,37,,,,0.0,0.0,0.0,5,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,dummy_most_frequent,1,class,fault,37,,,,0.35135135135135137,1.0,0.52,13,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,dummy_most_frequent,1,class,task,37,,,,0.0,0.0,0.0,7,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,dummy_most_frequent,1,class,activity,37,,,,0.0,0.0,0.0,12,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,logistic_balanced,1,overall,all,37,0.43243243243243246,0.3959249084249084,0.39657894736842103,0.4283008658008658,0.39592490842490846,0.39657894736842103,37,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,logistic_balanced,1,class,normal,37,,,,0.14285714285714285,0.2,0.16666666666666666,5,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,logistic_balanced,1,class,fault,37,,,,0.5833333333333334,0.5384615384615384,0.56,13,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,logistic_balanced,1,class,task,37,,,,0.2727272727272727,0.42857142857142855,0.3333333333333333,7,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,logistic_balanced,1,class,activity,37,,,,0.7142857142857143,0.4166666666666667,0.5263157894736842,12,144,37,2|3|4|5|6|7|8|9|10|11|14|15|16|17|18|19|22|23|24|25|26|27|28|29|30|31|32|33,1|12|13|20|21,0
compact13,13,dummy_most_frequent,2,overall,all,34,0.35294117647058826,0.25,0.13043478260869565,0.08823529411764706,0.25,0.13043478260869565,34,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
compact13,13,dummy_most_frequent,2,class,normal,34,,,,0.0,0.0,0.0,7,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
compact13,13,dummy_most_frequent,2,class,fault,34,,,,0.35294117647058826,1.0,0.5217391304347826,12,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
compact13,13,dummy_most_frequent,2,class,task,34,,,,0.0,0.0,0.0,7,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
compact13,13,dummy_most_frequent,2,class,activity,34,,,,0.0,0.0,0.0,8,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
compact13,13,logistic_balanced,2,overall,all,34,0.35294117647058826,0.3705357142857143,0.35625,0.35416666666666663,0.3705357142857143,0.35625,34,147,34,1|2|3|4|5|6|8|10|11|12|13|14|17|18|19|20|21|22|23|24|26|27|29|30|32|33,7|9|15|16|25|28|31,0
