dataset,feature_variant,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,removed_high_missing_features,feature_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,activity_precision,activity_recall,activity_f1,normal_support,activity_support,normal_fpr,tn,fp,fn,tp,fold_balanced_accuracy_std,fold_activity_recall_std,fold_normal_fpr_std
activity_pre_1d,compact13,random_forest_balanced_depth3,1,fold,64.0,18,1|2|3|4|5|6|8|9|10|11|12|13|14|17|18|19|21|22|23|24|26|33,7|15|16|20|25,0,,13,0.4,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,10,0.0,8,0,0,10,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,1,fold,64.0,18,1|2|3|4|5|6|8|9|10|11|12|13|14|17|18|19|21|22|23|24|26|33,7|15|16|20|25,0,,13,0.5,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,10,0.0,8,0,0,10,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,1,fold,64.0,18,1|2|3|4|5|6|8|9|10|11|12|13|14|17|18|19|21|22|23|24|26|33,7|15|16|20|25,0,,13,0.6,18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,10,0.0,8,0,0,10,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,2,fold,63.0,19,2|3|4|6|7|8|9|12|13|14|15|16|17|19|20|21|22|24|25|33,1|5|10|11|18|23|26,0,,13,0.4,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,12,0.0,7,0,0,12,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,2,fold,63.0,19,2|3|4|6|7|8|9|12|13|14|15|16|17|19|20|21|22|24|25|33,1|5|10|11|18|23|26,0,,13,0.5,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,12,0.0,7,0,0,12,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,2,fold,63.0,19,2|3|4|6|7|8|9|12|13|14|15|16|17|19|20|21|22|24|25|33,1|5|10|11|18|23|26,0,,13,0.6,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,12,0.0,7,0,0,12,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,3,fold,67.0,15,1|2|4|5|7|8|10|11|12|13|14|15|16|17|18|19|20|23|24|25|26,3|6|9|21|22|33,0,,13,0.4,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,8,0.0,7,0,0,8,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,3,fold,67.0,15,1|2|4|5|7|8|10|11|12|13|14|15|16|17|18|19|20|23|24|25|26,3|6|9|21|22|33,0,,13,0.5,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,8,0.0,7,0,0,8,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,3,fold,67.0,15,1|2|4|5|7|8|10|11|12|13|14|15|16|17|18|19|20|23|24|25|26,3|6|9|21|22|33,0,,13,0.6,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,8,0.0,7,0,0,8,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,4,fold,68.0,14,1|3|4|5|6|7|8|9|10|11|13|15|16|18|19|20|21|22|23|24|25|26|33,2|12|14|17,0,,13,0.4,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,0.0,7,0,0,7,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,4,fold,68.0,14,1|3|4|5|6|7|8|9|10|11|13|15|16|18|19|20|21|22|23|24|25|26|33,2|12|14|17,0,,13,0.5,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,0.0,7,0,0,7,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,4,fold,68.0,14,1|3|4|5|6|7|8|9|10|11|13|15|16|18|19|20|21|22|23|24|25|26|33,2|12|14|17,0,,13,0.6,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,7,0.0,7,0,0,7,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,5,fold,66.0,16,1|2|3|5|6|7|9|10|11|12|14|15|16|17|18|20|21|22|23|25|26|33,4|8|13|19|24,0,,13,0.4,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,10,0.0,6,0,0,10,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,5,fold,66.0,16,1|2|3|5|6|7|9|10|11|12|14|15|16|17|18|20|21|22|23|25|26|33,4|8|13|19|24,0,,13,0.5,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,10,0.0,6,0,0,10,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,5,fold,66.0,16,1|2|3|5|6|7|9|10|11|12|14|15|16|17|18|20|21|22|23|25|26|33,4|8|13|19|24,0,,13,0.6,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,10,0.0,6,0,0,10,,,
activity_pre_1d,compact13,random_forest_balanced_depth3,all,aggregate,,82,,,0,,13,0.4,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,47,0.0,35,0,0,47,0.0,0.0,0.0
activity_pre_1d,compact13,random_forest_balanced_depth3,all,aggregate,,82,,,0,,13,0.5,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,47,0.0,35,0,0,47,0.0,0.0,0.0
activity_pre_1d,compact13,random_forest_balanced_depth3,all,aggregate,,82,,,0,,13,0.6,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,47,0.0,35,0,0,47,0.0,0.0,0.0
