dataset,feature_variant,model,fold,source_id,final_class,source_event_id,disturbance_row_id,substation_id,window_policy,window_start,window_end,coverage_rate,overlap_disturbance_count,normal_collision_count,hard_normal_tag,y_true,probability_activity,prediction_t0_4,prediction_t0_5,prediction_t0_6,y_pred,error_type
activity_no_overlap,compact13,random_forest_balanced_depth3,3,normal_0002,normal,2.0,,9,normal_event_7d,2019-01-02 00:00:00,2019-01-09 00:00:00,1.0,0.0,,,0,0.5114566359122786,1,1,0,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,4,normal_0016,normal,16.0,,17,normal_event_7d,2017-10-15 00:00:00,2017-10-22 00:00:00,1.0,0.0,,,0,0.5284705204954032,1,1,0,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,5,normal_0018,normal,18.0,,16,normal_event_7d,2018-11-30 00:00:00,2018-12-07 00:00:00,1.0,0.0,,,0,0.6406845823373498,1,1,1,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,4,normal_0021,normal,21.0,,1,normal_event_7d,2019-12-01 00:00:00,2019-12-08 00:00:00,1.0,0.0,,,0,0.5342129469842299,1,1,0,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,3,normal_0055,normal,55.0,,23,normal_event_7d,2017-10-06 00:00:00,2017-10-13 00:00:00,1.0,0.0,,,0,0.6040563096726564,1,1,1,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,3,normal_0056,normal,56.0,,2,normal_event_7d,2018-11-29 00:00:00,2018-12-06 00:00:00,1.0,0.0,,,0,0.548500754870001,1,1,0,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,3,normal_0068,normal,68.0,,13,normal_event_7d,2019-12-20 00:00:00,2019-12-27 00:00:00,1.0,0.0,,review_required_normal,0,0.6863501840633468,1,1,1,1,false_positive_normal
activity_no_overlap,compact13,random_forest_balanced_depth3,1,disturbance_0004,activity,,4.0,3,activity_pre_7d,2016-02-22 00:00:00,2016-02-29 00:00:00,1.0,0.0,0.0,,1,0.4594856237008986,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,5,disturbance_0009,activity,,9.0,4,activity_pre_7d,2016-07-25 00:00:00,2016-08-01 00:00:00,1.0,0.0,0.0,,1,0.3291743352739598,0,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,5,disturbance_0011,activity,,11.0,4,activity_pre_7d,2017-02-03 00:00:00,2017-02-10 00:00:00,1.0,0.0,0.0,,1,0.459612540403812,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,4,disturbance_0015,activity,,15.0,5,activity_pre_7d,2017-03-27 00:00:00,2017-04-03 00:00:00,0.9950396825396826,0.0,0.0,,1,0.4683500235419814,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,1,disturbance_0024,activity,,24.0,7,activity_pre_7d,2015-09-28 00:00:00,2015-10-05 00:00:00,1.0,0.0,0.0,,1,0.4764761586996167,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,4,disturbance_0045,activity,,45.0,10,activity_pre_7d,2014-04-27 00:00:00,2014-05-04 00:00:00,1.0,0.0,0.0,,1,0.38080541746284574,0,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,4,disturbance_0047,activity,,47.0,10,activity_post_7d,2014-05-05 00:00:00,2014-05-12 00:00:00,1.0,0.0,0.0,,1,0.4268171598537612,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,2,disturbance_0058,activity,,58.0,12,activity_pre_7d,2015-07-01 00:00:00,2015-07-08 00:00:00,1.0,0.0,0.0,,1,0.25730004733057804,0,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,3,disturbance_0063,activity,,63.0,13,activity_post_7d,2016-07-22 00:00:00,2016-07-29 00:00:00,1.0,0.0,0.0,,1,0.27989521722692223,0,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,3,disturbance_0064,activity,,64.0,13,activity_pre_7d,2017-03-07 00:00:00,2017-03-14 00:00:00,1.0,0.0,0.0,,1,0.40645970405902293,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,4,disturbance_0083,activity,,83.0,17,activity_post_7d,2015-12-02 00:00:00,2015-12-09 00:00:00,1.0,0.0,0.0,,1,0.43135604047274834,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,2,disturbance_0106,activity,,106.0,20,activity_pre_7d,2015-10-16 00:00:00,2015-10-23 00:00:00,1.0,0.0,0.0,,1,0.3258137472235797,0,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,2,disturbance_0107,activity,,107.0,20,activity_pre_7d,2016-08-02 00:00:00,2016-08-09 00:00:00,1.0,0.0,0.0,,1,0.4992407959296143,1,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,3,disturbance_0128,activity,,128.0,23,activity_pre_7d,2017-01-17 00:00:00,2017-01-24 00:00:00,1.0,0.0,0.0,,1,0.3440874456423644,0,0,0,0,false_negative_activity
activity_no_overlap,compact13,random_forest_balanced_depth3,2,disturbance_0165,activity,,165.0,33,activity_pre_7d,2016-02-10 00:00:00,2016-02-17 00:00:00,1.0,0.0,0.0,,1,0.2825848673695747,0,0,0,0,false_negative_activity
