dataset,feature_variant,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_pre_1d,compact13,random_forest_balanced_depth3,1,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.14949307502547296,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,2,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.14147267693016743,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,3,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13793757600774886,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,4,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13722502967143774,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,5,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.13120196471831005,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,6,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.12384680013648086,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,7,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.12258572247935956,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,8,outdoor_temperature__last_minus_first,feature_importance,0.0258986576239297,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,9,p_return_gap__last_minus_first,feature_importance,0.018125187083899073,0.32926829268292684,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,10,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.005263838334465637,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,11,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.0037770046486555854,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.0026658051717202346,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,random_forest_balanced_depth3,13,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.0005066621683522106,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,1,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.673113435095443,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.6287113260811986,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,3,outdoor_temperature__last_minus_first,abs_coefficient,0.5727605232334841,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,4,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.4626905728876028,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,5,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.4244148480107103,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,6,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.42336109619531487,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,7,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.21880878494746908,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,8,p_return_gap__last_minus_first,abs_coefficient,0.18635035657568508,0.32926829268292684,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,9,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.17034319780002596,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,10,p_net_meter_flow__last_1d_std_minus_prev_6d_std,abs_coefficient,0.08055457113041718,0.573170731707317,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,11,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.07853482101852512,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,12,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.05289319257014209,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13,logistic_balanced,13,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.02499931932244463,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13_high_missing_removed,random_forest_balanced_depth3,1,p_return_gap__last_minus_first,feature_importance,0.2776874522425497,0.32926829268292684,full_dataset_fit_for_audit_only
activity_pre_1d,compact13_high_missing_removed,random_forest_balanced_depth3,2,outdoor_temperature__last_minus_first,feature_importance,0.263952758559587,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13_high_missing_removed,random_forest_balanced_depth3,3,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.1700805652524681,0.0,full_dataset_fit_for_audit_only
activity_pre_1d,compact13_high_missing_removed,random_forest_balanced_depth3,4,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.12514894047023348,0.0,full_dataset_fit_for_audit_only
