dataset,feature_variant,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,removed_high_missing_features,feature_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,activity_precision,activity_recall,activity_f1,normal_support,activity_support,normal_fpr,tn,fp,fn,tp,fold_balanced_accuracy_std,fold_activity_recall_std,fold_normal_fpr_std
activity_pre_1d,compact13,random_forest_balanced_depth3,all,aggregate,,82,,,0,,13,0.5,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,47,0.0,35,0,0,47,0.0,0.0,0.0
activity_pre_1d,compact13,logistic_balanced,all,aggregate,,82,,,0,,13,0.5,82,0.6219512195121951,0.6155015197568389,0.6150234741784038,0.6279635258358662,0.5555555555555556,0.5714285714285714,0.5633802816901409,0.6739130434782609,0.6595744680851063,0.6666666666666666,35,47,0.42857142857142855,20,15,16,31,0.039329701204374776,0.08005242046731467,0.13256581816261956
activity_pre_1d,compact13_high_missing_removed,random_forest_balanced_depth3,all,aggregate,,82,,,0,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean|p_net_meter_flow__last_1d_std_minus_prev_6d_std|p_net_return_temperature__last_1d_mean_minus_prev_6d_mean|p_return_gap__last_1d_mean_minus_prev_6d_mean|s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean|s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std|s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,6,0.5,82,0.7195121951219512,0.7188449848024316,0.7160921270510312,0.8188449848024316,0.6578947368421053,0.7142857142857143,0.684931506849315,0.7727272727272727,0.723404255319149,0.7472527472527473,35,47,0.2857142857142857,25,10,13,34,0.07162116891488644,0.12441791910373808,0.12652695481510878
activity_pre_1d,compact13_indicator,random_forest_balanced_depth3,all,aggregate,,82,,,0,,13,0.5,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,47,0.0,35,0,0,47,0.0,0.0,0.0
activity_pre_1d,missingness_only,random_forest_balanced_depth3,all,aggregate,,82,,,0,,13,0.5,82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,47,0.0,35,0,0,47,0.0,0.0,0.0
activity_pre_1d_strict_no_overlap,compact13,random_forest_balanced_depth3,all,aggregate,,80,,,0,,13,0.5,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,45,0.0,35,0,0,45,0.0,0.0,0.0
activity_pre_1d_strict_no_overlap,compact13,logistic_balanced,all,aggregate,,80,,,0,,13,0.5,80,0.5875,0.5793650793650793,0.57955088389871,0.6317460317460317,0.5294117647058824,0.5142857142857142,0.5217391304347826,0.6304347826086957,0.6444444444444445,0.6373626373626373,35,45,0.4857142857142857,18,17,16,29,0.08549293508889128,0.16945446236324024,0.0958610578057019
activity_pre_1d_strict_no_overlap,compact13_high_missing_removed,random_forest_balanced_depth3,all,aggregate,,80,,,0,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean|p_net_meter_flow__last_1d_std_minus_prev_6d_std|p_net_return_temperature__last_1d_mean_minus_prev_6d_mean|p_return_gap__last_1d_mean_minus_prev_6d_mean|s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean|s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std|s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,6,0.5,80,0.7375,0.7412698412698413,0.7364705882352941,0.8063492063492064,0.675,0.7714285714285715,0.72,0.8,0.7111111111111111,0.7529411764705882,35,45,0.22857142857142856,27,8,13,32,0.10963736349403383,0.11234866364235147,0.15730511103960887
activity_pre_1d_strict_no_overlap,compact13_indicator,random_forest_balanced_depth3,all,aggregate,,80,,,0,,13,0.5,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,45,0.0,35,0,0,45,0.0,0.0,0.0
activity_pre_1d_strict_no_overlap,missingness_only,random_forest_balanced_depth3,all,aggregate,,80,,,0,,13,0.5,80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35,45,0.0,35,0,0,45,0.0,0.0,0.0
