dataset,source_id,disturbance_row_id,substation_id,window_policy,coverage_rate,overlap_disturbance_count,probability_activity,prediction_t0_5,error_type
activity_pre_1d,disturbance_0002_activity_pre_1d,2.0,3,activity_pre_1d,1.0,0.0,0.9655708742588185,1,correct
activity_pre_1d,disturbance_0004_activity_pre_1d,4.0,3,activity_pre_1d,1.0,0.0,0.9770522376576798,1,correct
activity_pre_1d,disturbance_0007_activity_pre_1d,7.0,4,activity_pre_1d,1.0,0.0,0.9808252716281752,1,correct
activity_pre_1d,disturbance_0009_activity_pre_1d,9.0,4,activity_pre_1d,1.0,0.0,0.9836824144853182,1,correct
activity_pre_1d,disturbance_0011_activity_pre_1d,11.0,4,activity_pre_1d,1.0,0.0,0.9320081865678581,1,correct
activity_pre_1d,disturbance_0012_activity_pre_1d,12.0,5,activity_pre_1d,1.0,0.0,0.9807231200079728,1,correct
activity_pre_1d,disturbance_0013_activity_pre_1d,13.0,5,activity_pre_1d,1.0,0.0,0.9437458505355234,1,correct
activity_pre_1d,disturbance_0014_activity_pre_1d,14.0,5,activity_pre_1d,1.0,0.0,0.9838117443465971,1,correct
activity_pre_1d,disturbance_0015_activity_pre_1d,15.0,5,activity_pre_1d,0.9652777777777778,0.0,0.92856321513842,1,correct
activity_pre_1d,disturbance_0020_activity_pre_1d,20.0,7,activity_pre_1d,1.0,0.0,0.9738592098332591,1,correct
activity_pre_1d,disturbance_0024_activity_pre_1d,24.0,7,activity_pre_1d,1.0,0.0,0.9799432257082991,1,correct
activity_pre_1d,disturbance_0025_activity_pre_1d,25.0,7,activity_pre_1d,1.0,0.0,0.8919637689266809,1,correct
activity_pre_1d,disturbance_0026_activity_pre_1d,26.0,7,activity_pre_1d,1.0,0.0,0.9540606190233554,1,correct
activity_pre_1d,disturbance_0029_activity_pre_1d,29.0,7,activity_pre_1d,1.0,0.0,0.9472375803874366,1,correct
activity_pre_1d,disturbance_0036_activity_pre_1d,36.0,8,activity_pre_1d,1.0,0.0,0.9571669973673753,1,correct
activity_pre_1d,disturbance_0040_activity_pre_1d,40.0,9,activity_pre_1d,1.0,0.0,0.9846498847636604,1,correct
