outer_fold,candidate_id,calibration_method,threshold,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,fault_precision,fault_recall,fault_f1,normal_support,fault_support,normal_fpr,tn,fp,fn,tp,balanced_accuracy_mean,fault_recall_mean,normal_fpr_mean,macro_f1_mean,fold_balanced_accuracy_std
1,ensemble_top3_interpretable,raw,0.4,0.8235294117647058,0.7878787878787878,0.7984189723320159,0.803030303030303,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.9090909090909091,0.8695652173913043,6.0,11.0,0.3333333333333333,4.0,2.0,1.0,10.0,,,,,
1,ensemble_top3_interpretable,sigmoid,0.7,0.35294117647058826,0.5,0.2608695652173913,0.803030303030303,0.35294117647058826,1.0,0.5217391304347826,0.0,0.0,0.0,6.0,11.0,0.0,6.0,0.0,11.0,0.0,,,,,
1,ensemble_top3_interpretable,isotonic,0.8,0.47058823529411764,0.5909090909090909,0.43956043956043955,0.8484848484848486,0.4,1.0,0.5714285714285714,1.0,0.18181818181818182,0.3076923076923077,6.0,11.0,0.0,6.0,0.0,9.0,2.0,,,,,
2,compact20_main__missing_indicator__extra_trees_balanced_depth2,raw,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,11.0,0.0,8.0,0.0,0.0,11.0,,,,,
2,compact20_main__missing_indicator__extra_trees_balanced_depth2,sigmoid,0.65,0.5789473684210527,0.6363636363636364,0.5476190476190476,1.0,0.5,1.0,0.6666666666666666,1.0,0.2727272727272727,0.42857142857142855,8.0,11.0,0.0,8.0,0.0,8.0,3.0,,,,,
2,compact20_main__missing_indicator__extra_trees_balanced_depth2,isotonic,0.3,0.8421052631578947,0.8636363636363636,0.8421052631578947,0.8636363636363636,0.7272727272727273,1.0,0.8421052631578947,1.0,0.7272727272727273,0.8421052631578947,8.0,11.0,0.0,8.0,0.0,3.0,8.0,,,,,
3,compact20_main__base__random_forest_balanced_depth2,raw,0.5,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8831168831168831,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,1.0,0.88,7.0,11.0,0.42857142857142855,4.0,3.0,0.0,11.0,,,,,
3,compact20_main__base__random_forest_balanced_depth2,sigmoid,0.65,0.5,0.5909090909090909,0.4581939799331104,0.8831168831168831,0.4375,1.0,0.6086956521739131,1.0,0.18181818181818182,0.3076923076923077,7.0,11.0,0.0,7.0,0.0,9.0,2.0,,,,,
3,compact20_main__base__random_forest_balanced_depth2,isotonic,0.45,0.7777777777777778,0.7142857142857143,0.7230769230769231,0.8831168831168831,1.0,0.42857142857142855,0.6,0.7333333333333333,1.0,0.8461538461538461,7.0,11.0,0.5714285714285714,3.0,4.0,0.0,11.0,,,,,
4,compact20_main__base__extra_trees_balanced_depth4,raw,0.45,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8311688311688312,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,1.0,0.88,7.0,11.0,0.42857142857142855,4.0,3.0,0.0,11.0,,,,,
4,compact20_main__base__extra_trees_balanced_depth4,sigmoid,0.6,0.5,0.5649350649350648,0.4857142857142857,0.8311688311688312,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.75,0.2727272727272727,0.4,7.0,11.0,0.14285714285714285,6.0,1.0,8.0,3.0,,,,,
4,compact20_main__base__extra_trees_balanced_depth4,isotonic,0.3,0.7777777777777778,0.7142857142857143,0.7230769230769231,0.8831168831168832,1.0,0.42857142857142855,0.6,0.7333333333333333,1.0,0.8461538461538461,7.0,11.0,0.5714285714285714,3.0,4.0,0.0,11.0,,,,,
5,compact13__missing_indicator__logistic_balanced_C1.0,raw,0.4,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182,7.0,11.0,0.2857142857142857,5.0,2.0,2.0,9.0,,,,,
5,compact13__missing_indicator__logistic_balanced_C1.0,sigmoid,0.45,0.7777777777777778,0.7402597402597402,0.75,0.8571428571428571,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8333333333333334,7.0,11.0,0.42857142857142855,4.0,3.0,1.0,10.0,,,,,
5,compact13__missing_indicator__logistic_balanced_C1.0,isotonic,0.3,0.7777777777777778,0.7402597402597402,0.75,0.8051948051948052,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8333333333333334,7.0,11.0,0.42857142857142855,4.0,3.0,1.0,10.0,,,,,
all,selected_nested_by_fold,isotonic,fold_calibrated,,,,,,,,,,,,,,,,,,0.7246753246753247,0.7636363636363637,0.3142857142857143,0.695563909774436,0.08678978933300582
all,selected_nested_by_fold,raw,fold_calibrated,,,,,,,,,,,,,,,,,,0.825108225108225,0.9454545454545455,0.29523809523809524,0.8343850931677018,0.08779878216800385
all,selected_nested_by_fold,sigmoid,fold_calibrated,,,,,,,,,,,,,,,,,,0.6064935064935064,0.32727272727272727,0.11428571428571428,0.500479375696767,0.08012050293603729
