importance_type,outer_fold,candidate_id,rank,feature,importance_metric,importance_value
baseline_fixed,1,legacy_compact13_rf_depth3,1,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.2533448430991448
baseline_fixed,1,legacy_compact13_rf_depth3,2,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.23338677105248656
baseline_fixed,1,legacy_compact13_rf_depth3,3,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.08517121787079272
baseline_fixed,1,legacy_compact13_rf_depth3,4,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.05940129414775478
baseline_fixed,1,legacy_compact13_rf_depth3,5,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.057946325940705166
baseline_fixed,1,legacy_compact13_rf_depth3,6,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.05698585670765236
baseline_fixed,1,legacy_compact13_rf_depth3,7,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.05617809538254417
baseline_fixed,1,legacy_compact13_rf_depth3,8,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.03729267155909899
baseline_fixed,1,legacy_compact13_rf_depth3,9,outdoor_temperature__last_minus_first,feature_importance,0.036231313069874885
baseline_fixed,1,legacy_compact13_rf_depth3,10,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.0344360593153503
baseline_fixed,1,legacy_compact13_rf_depth3,11,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.033287655996878385
baseline_fixed,1,legacy_compact13_rf_depth3,12,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.0323057182810514
baseline_fixed,1,legacy_compact13_rf_depth3,13,p_return_gap__last_minus_first,feature_importance,0.024032177576665443
baseline_fixed,2,legacy_compact13_rf_depth3,1,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.21773169368068734
baseline_fixed,2,legacy_compact13_rf_depth3,2,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.14758134221914015
baseline_fixed,2,legacy_compact13_rf_depth3,3,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.10962315189048132
baseline_fixed,2,legacy_compact13_rf_depth3,4,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.0953263807176639
baseline_fixed,2,legacy_compact13_rf_depth3,5,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.08953347933883053
baseline_fixed,2,legacy_compact13_rf_depth3,6,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.06617770777350858
baseline_fixed,2,legacy_compact13_rf_depth3,7,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.049421207753127895
baseline_fixed,2,legacy_compact13_rf_depth3,8,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.04930613594318545
baseline_fixed,2,legacy_compact13_rf_depth3,9,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.038925380360497384
baseline_fixed,2,legacy_compact13_rf_depth3,10,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.03572494421214379
baseline_fixed,2,legacy_compact13_rf_depth3,11,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.035204896796062285
baseline_fixed,2,legacy_compact13_rf_depth3,12,outdoor_temperature__last_minus_first,feature_importance,0.03299442928209666
baseline_fixed,2,legacy_compact13_rf_depth3,13,p_return_gap__last_minus_first,feature_importance,0.03244925003257464
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,1,transformed_feature_21,feature_importance,0.1516311659120209
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,2,transformed_feature_0,feature_importance,0.14375607069330887
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,3,transformed_feature_20,feature_importance,0.11159214781195635
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,4,transformed_feature_6,feature_importance,0.10924853129217998
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,5,transformed_feature_4,feature_importance,0.0760673214832682
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,6,transformed_feature_7,feature_importance,0.05411597410368566
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,7,transformed_feature_18,feature_importance,0.048423510126872786
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,8,transformed_feature_22,feature_importance,0.04278161153520357
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,9,transformed_feature_23,feature_importance,0.04252926421698133
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,10,transformed_feature_24,feature_importance,0.03883035819343559
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,11,transformed_feature_10,feature_importance,0.027914984643575728
selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,12,transformed_feature_9,feature_importance,0.025338104543304135
