metric_type,outer_fold,candidate_id,threshold,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,fault_precision,fault_recall,fault_f1,normal_support,fault_support,normal_fpr,tn,fp,fn,tp,fold_balanced_accuracy_std,fold_fault_recall_std,fold_normal_fpr_std
outer_baseline_fixed,1,legacy_compact13_rf_depth3,0.5,0.7058823529411765,0.7348484848484849,0.7017543859649122,0.803030303030303,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.875,0.6363636363636364,0.7368421052631579,6,11,0.16666666666666666,5,1,4,7,,,
outer_selected_nested,1,ensemble_top3_interpretable,0.4,0.8235294117647058,0.7878787878787878,0.7984189723320159,0.803030303030303,0.8,0.6666666666666666,0.7272727272727273,0.8333333333333334,0.9090909090909091,0.8695652173913043,6,11,0.3333333333333333,4,2,1,10,,,
outer_baseline_fixed,2,legacy_compact13_rf_depth3,0.5,0.8947368421052632,0.8920454545454546,0.8920454545454546,0.9659090909090909,0.875,0.875,0.875,0.9090909090909091,0.9090909090909091,0.9090909090909091,8,11,0.125,7,1,1,10,,,
outer_selected_nested,2,compact20_main__missing_indicator__extra_trees_balanced_depth2,0.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,11,0.0,8,0,0,11,,,
outer_baseline_fixed,3,legacy_compact13_rf_depth3,0.5,0.6666666666666666,0.6233766233766234,0.625,0.8701298701298701,0.6,0.42857142857142855,0.5,0.6923076923076923,0.8181818181818182,0.75,7,11,0.5714285714285714,3,4,2,9,,,
outer_selected_nested,3,compact20_main__base__random_forest_balanced_depth2,0.5,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8831168831168831,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,1.0,0.88,7,11,0.42857142857142855,4,3,0,11,,,
outer_baseline_fixed,4,legacy_compact13_rf_depth3,0.5,0.8888888888888888,0.8571428571428572,0.875,0.8961038961038961,1.0,0.7142857142857143,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,7,11,0.2857142857142857,5,2,0,11,,,
outer_selected_nested,4,compact20_main__base__extra_trees_balanced_depth4,0.45,0.8333333333333334,0.7857142857142857,0.8036363636363637,0.8311688311688312,1.0,0.5714285714285714,0.7272727272727273,0.7857142857142857,1.0,0.88,7,11,0.42857142857142855,4,3,0,11,,,
outer_baseline_fixed,5,legacy_compact13_rf_depth3,0.5,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.935064935064935,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182,7,11,0.2857142857142857,5,2,2,9,,,
outer_selected_nested,5,compact13__missing_indicator__logistic_balanced_C1.0,0.4,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8181818181818182,0.8181818181818182,0.8181818181818182,7,11,0.2857142857142857,5,2,2,9,,,
aggregate_baseline_fixed,all,legacy_compact13_rf_depth3,0.5,0.7888888888888889,0.7753246753246753,0.7767332549941246,0.8836363636363637,0.7352941176470589,0.7142857142857143,0.7246376811594203,0.8214285714285714,0.8363636363636363,0.8288288288288288,35,55,0.2857142857142857,25,10,9,46,0.09500037973646291,0.12060453783110545,0.15596601176345065
aggregate_selected_nested,all,mixed_by_fold,inner_selected,0.8555555555555555,0.8298701298701299,0.8412698412698412,0.8654545454545455,0.8928571428571429,0.7142857142857143,0.7936507936507936,0.8387096774193549,0.9454545454545454,0.8888888888888888,35,55,0.2857142857142857,25,10,3,52,0.08779878216800385,0.07272727272727272,0.15764709864044615
reference_21_fault_gate_fold,1,reference_21_compact13_rf_depth3,0.5,0.8235294117647058,0.8257575757575758,0.8131868131868132,0.7878787878787878,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9,0.8181818181818182,0.8571428571428571,6,11,0.16666666666666666,5,1,2,9,,,
reference_21_fault_gate_fold,2,reference_21_compact13_rf_depth3,0.5,0.9473684210526315,0.9545454545454546,0.9467787114845938,0.9772727272727273,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9090909090909091,0.9523809523809523,8,11,0.0,8,0,1,10,,,
reference_21_fault_gate_fold,3,reference_21_compact13_rf_depth3,0.5,0.7222222222222222,0.6948051948051948,0.6989966555183946,0.8311688311688311,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.75,0.8181818181818182,0.782608695652174,7,11,0.42857142857142855,4,3,2,9,,,
reference_21_fault_gate_fold,4,reference_21_compact13_rf_depth3,0.5,0.8888888888888888,0.8571428571428572,0.875,0.9090909090909091,1.0,0.7142857142857143,0.8333333333333334,0.8461538461538461,1.0,0.9166666666666666,7,11,0.2857142857142857,5,2,0,11,,,
reference_21_fault_gate_fold,5,reference_21_compact13_rf_depth3,0.5,0.8888888888888888,0.8831168831168831,0.8831168831168831,0.9350649350649349,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9090909090909091,0.9090909090909091,0.9090909090909091,7,11,0.14285714285714285,6,1,1,10,,,
aggregate_21_reference_baseline,all,reference_21_compact13_rf_depth3,0.5,0.8555555555555555,0.8454545454545455,0.8472385428907168,0.881038961038961,0.8235294117647058,0.8,0.8115942028985508,0.875,0.8909090909090909,0.8828828828828829,35,55,0.2,28,7,6,49,0.08545261558279958,0.06803013430498073,0.1441213900040148
