candidate_id,feature_set,feature_variant,model_family,model_name,params_json
compact13__base__logistic_balanced_C0.3,compact13,base,logistic_balanced,logistic_balanced_C0.3,"{""C"": 0.3}"
compact13__base__logistic_balanced_C1.0,compact13,base,logistic_balanced,logistic_balanced_C1.0,"{""C"": 1.0}"
compact13__base__logistic_balanced_C3.0,compact13,base,logistic_balanced,logistic_balanced_C3.0,"{""C"": 3.0}"
compact13__base__random_forest_balanced_depth2,compact13,base,random_forest_balanced,random_forest_balanced_depth2,"{""max_depth"": 2}"
compact13__base__random_forest_balanced_depth3,compact13,base,random_forest_balanced,random_forest_balanced_depth3,"{""max_depth"": 3}"
compact13__base__random_forest_balanced_depth4,compact13,base,random_forest_balanced,random_forest_balanced_depth4,"{""max_depth"": 4}"
compact13__base__extra_trees_balanced_depth2,compact13,base,extra_trees_balanced,extra_trees_balanced_depth2,"{""max_depth"": 2}"
compact13__base__extra_trees_balanced_depth3,compact13,base,extra_trees_balanced,extra_trees_balanced_depth3,"{""max_depth"": 3}"
compact13__base__extra_trees_balanced_depth4,compact13,base,extra_trees_balanced,extra_trees_balanced_depth4,"{""max_depth"": 4}"
compact13__base__lightgbm_balanced_depth1,compact13,base,lightgbm_balanced,lightgbm_balanced_depth1,"{""max_depth"": 1, ""num_leaves"": 2}"
compact13__base__lightgbm_balanced_depth2,compact13,base,lightgbm_balanced,lightgbm_balanced_depth2,"{""max_depth"": 2, ""num_leaves"": 4}"
compact13__base__lightgbm_balanced_depth3,compact13,base,lightgbm_balanced,lightgbm_balanced_depth3,"{""max_depth"": 3, ""num_leaves"": 8}"
compact13__high_missing_removed__logistic_balanced_C0.3,compact13,high_missing_removed,logistic_balanced,logistic_balanced_C0.3,"{""C"": 0.3}"
compact13__high_missing_removed__logistic_balanced_C1.0,compact13,high_missing_removed,logistic_balanced,logistic_balanced_C1.0,"{""C"": 1.0}"
compact13__high_missing_removed__logistic_balanced_C3.0,compact13,high_missing_removed,logistic_balanced,logistic_balanced_C3.0,"{""C"": 3.0}"
compact13__high_missing_removed__random_forest_balanced_depth2,compact13,high_missing_removed,random_forest_balanced,random_forest_balanced_depth2,"{""max_depth"": 2}"
compact13__high_missing_removed__random_forest_balanced_depth3,compact13,high_missing_removed,random_forest_balanced,random_forest_balanced_depth3,"{""max_depth"": 3}"
