dataset,target_class,policy_variant,feature_set,model,threshold,class_label,class_value,precision,recall,f1,support
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.4,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.5,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.6,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.4,normal,0,0.6666666666666666,0.5142857142857142,0.5806451612903226,35
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.4,activity,1,0.6851851851851852,0.8043478260869565,0.74,46
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.5,normal,0,0.6857142857142857,0.6857142857142857,0.6857142857142857,35
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.5,activity,1,0.7608695652173914,0.7608695652173914,0.7608695652173914,46
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.6,normal,0,0.6744186046511628,0.8285714285714286,0.7435897435897436,35
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.6,activity,1,0.8421052631578947,0.6956521739130435,0.7619047619047619,46
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.4,normal,0,0.4375,0.4,0.417910447761194,35
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.4,activity,1,0.5714285714285714,0.6086956521739131,0.5894736842105263,46
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.5,normal,0,0.46511627906976744,0.5714285714285714,0.5128205128205128,35
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.5,activity,1,0.6052631578947368,0.5,0.5476190476190477,46
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.6,normal,0,0.46296296296296297,0.7142857142857143,0.5617977528089888,35
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.6,activity,1,0.6296296296296297,0.3695652173913043,0.4657534246575342,46
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.4,normal,0,0.7037037037037037,0.5428571428571428,0.6129032258064516,35
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.4,activity,1,0.7037037037037037,0.8260869565217391,0.76,46
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.5,normal,0,0.6410256410256411,0.7142857142857143,0.6756756756756757,35
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.5,activity,1,0.7619047619047619,0.6956521739130435,0.7272727272727273,46
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.6,normal,0,0.6382978723404256,0.8571428571428571,0.7317073170731707,35
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.6,activity,1,0.8529411764705882,0.6304347826086957,0.725,46
