dataset,target_class,policy_variant,feature_set,model,threshold,tn,fp,fn,tp
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.4,0,35,0,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.5,0,35,0,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.6,0,35,0,46
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.4,18,17,9,37
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.5,24,11,11,35
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,0.6,29,6,14,32
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.4,14,21,18,28
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.5,20,15,23,23
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.6,25,10,29,17
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.4,19,16,8,38
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.5,25,10,14,32
activity_no_overlap,activity,no_overlap,compact13,xgboost_balanced,0.6,30,5,17,29
activity_no_overlap,activity,no_overlap,expanded154,dummy_most_frequent,0.4,0,35,0,46
activity_no_overlap,activity,no_overlap,expanded154,dummy_most_frequent,0.5,0,35,0,46
activity_no_overlap,activity,no_overlap,expanded154,dummy_most_frequent,0.6,0,35,0,46
activity_no_overlap,activity,no_overlap,expanded154,lightgbm_balanced,0.4,22,13,10,36
activity_no_overlap,activity,no_overlap,expanded154,lightgbm_balanced,0.5,24,11,12,34
activity_no_overlap,activity,no_overlap,expanded154,lightgbm_balanced,0.6,29,6,12,34
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.4,26,9,13,33
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.5,27,8,14,32
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.6,29,6,14,32
activity_no_overlap,activity,no_overlap,expanded154,xgboost_balanced,0.4,21,14,13,33
activity_no_overlap,activity,no_overlap,expanded154,xgboost_balanced,0.5,25,10,14,32
activity_no_overlap,activity,no_overlap,expanded154,xgboost_balanced,0.6,30,5,16,30
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.4,0,35,0,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.5,0,35,0,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.6,0,35,0,46
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.4,16,19,13,33
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.5,20,15,18,28
activity_post_all,activity,post_all,compact13,lightgbm_balanced,0.6,22,13,24,22
activity_post_all,activity,post_all,compact13,logistic_balanced,0.4,9,26,15,31
