threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count
0.5,17,0.6470588235294118,0.5,0.39285714285714285,0.5,0.6470588235294118,1.0,0.7857142857142857,1.0,0,6,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.5,17,0.5882352941176471,0.606060606060606,0.5824561403508772,0.7727272727272728,0.75,0.5454545454545454,0.631578947368421,0.3333333333333333,4,2,5,6,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.5,17,0.7058823529411765,0.696969696969697,0.6886446886446886,0.7878787878787878,0.8,0.7272727272727273,0.7619047619047619,0.3333333333333333,4,2,3,8,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.5,17,0.7058823529411765,0.6590909090909092,0.6640316205533596,0.7121212121212122,0.75,0.8181818181818182,0.782608695652174,0.5,3,3,2,9,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.5,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.7368421052631579,0.7556818181818181,0.7368421052631579,0.9204545454545454,0.875,0.6363636363636364,0.7368421052631579,0.125,7,1,4,7,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,0.9886363636363636,1.0,0.9090909090909091,0.9523809523809523,0.0,8,0,1,10,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,0.9886363636363636,1.0,0.9090909090909091,0.9523809523809523,0.0,8,0,1,10,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0
0.5,18,0.6111111111111112,0.5,0.3793103448275862,0.5,0.6111111111111112,1.0,0.7586206896551724,1.0,0,7,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.8888888888888888,0.8571428571428572,0.875,0.961038961038961,0.8461538461538461,1.0,0.9166666666666666,0.2857142857142857,5,2,0,11,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.6666666666666666,0.6233766233766234,0.625,0.7662337662337663,0.6923076923076923,0.8181818181818182,0.75,0.5714285714285714,3,4,2,9,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.7222222222222222,0.6688311688311688,0.6727272727272727,0.7792207792207793,0.7142857142857143,0.9090909090909091,0.8,0.5714285714285714,3,4,1,10,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0
0.5,18,0.6111111111111112,0.5,0.3793103448275862,0.5,0.6111111111111112,1.0,0.7586206896551724,1.0,0,7,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.8333333333333334,0.8116883116883117,0.8193979933110368,0.7922077922077922,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.2857142857142857,5,2,1,10,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.8888888888888888,0.8831168831168831,0.8831168831168831,0.8831168831168832,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.14285714285714285,6,1,1,10,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.9444444444444444,0.9285714285714286,0.939799331103679,0.9610389610389611,0.9166666666666666,1.0,0.9565217391304348,0.14285714285714285,6,1,0,11,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,4,fold,72.0,18,1|3|4|5|6|7|8|9|14|15|16|17|18|19|20|21|22|23|24|25|26|28|30|32,2|11|12|13|27|29|31,0
0.5,18,0.6111111111111112,0.5,0.3793103448275862,0.5,0.6111111111111112,1.0,0.7586206896551724,1.0,0,7,0,11,fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,18,0.6666666666666666,0.6753246753246753,0.6625,0.8311688311688311,0.7777777777777778,0.6363636363636364,0.7,0.2857142857142857,5,2,4,7,fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,18,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.8311688311688312,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.2857142857142857,5,2,2,9,fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,18,0.7777777777777778,0.7662337662337663,0.7662337662337663,0.8571428571428571,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.2857142857142857,5,2,2,9,fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,5,fold,72.0,18,1|2|3|5|6|7|8|9|11|12|13|15|16|17|18|19|20|21|23|25|27|28|29|31,4|14|22|24|26|30|32,0
0.5,17,0.6470588235294118,0.5,0.39285714285714285,0.5,0.6470588235294118,1.0,0.7857142857142857,1.0,0,6,0,11,fault_no_overlap,fault,no_overlap,expanded154,154,dummy_most_frequent,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.5,17,0.7647058823529411,0.7424242424242424,0.7424242424242424,0.8787878787878788,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.3333333333333333,4,2,2,9,fault_no_overlap,fault,no_overlap,expanded154,154,logistic_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
0.5,17,0.7647058823529411,0.7045454545454546,0.7166666666666667,0.7878787878787878,0.7692307692307693,0.9090909090909091,0.8333333333333334,0.5,3,3,1,10,fault_no_overlap,fault,no_overlap,expanded154,154,lightgbm_balanced,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0
