threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,fold_balanced_accuracy_std,fold_recall_std,fold_normal_fpr_std,logistic_balanced_accuracy,logistic_recall_target,logistic_normal_fpr,logistic_fold_ba_std,delta_ba_vs_logistic,delta_recall_vs_logistic,delta_fpr_vs_logistic,delta_fold_ba_std_vs_logistic,passes_gate_base,passes_boosting_vs_logistic,decision_candidate,target_decision,overall_decision
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,-0.0357142857142857,0.5,0.5714285714285714,-0.10184873818507353,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,-0.0357142857142857,0.5,0.5714285714285714,-0.10184873818507353,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,0.0,0.0,0.0,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,-0.0357142857142857,0.5,0.5714285714285714,-0.10184873818507353,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.6790123456790124,0.6593167701863354,0.6603225806451614,0.7931677018633541,0.6851851851851852,0.8043478260869565,0.74,0.4857142857142857,18,17,9,37,activity_no_overlap,activity,no_overlap,compact13,13,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.1593167701863354,0.06392190806021007,0.09610730990084428,0.10101525445522108,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.12360248447204969,0.30434782608695654,0.05714285714285716,-0.03792683012486346,False,False,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.5,81,0.7283950617283951,0.7232919254658385,0.7232919254658385,0.7931677018633541,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.3142857142857143,24,11,11,35,activity_no_overlap,activity,no_overlap,compact13,13,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.22329192546583854,0.06392190806021007,0.09610730990084428,0.10101525445522108,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.18757763975155284,0.26086956521739135,-0.11428571428571427,-0.03792683012486346,False,True,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.6,81,0.7530864197530864,0.7621118012422361,0.7527472527472527,0.7931677018633541,0.8421052631578947,0.6956521739130435,0.7619047619047619,0.17142857142857143,29,6,14,32,activity_no_overlap,activity,no_overlap,compact13,13,lightgbm_balanced,all,aggregate,,81,,,0,0.5,0.2621118012422361,0.06392190806021007,0.09610730990084428,0.10101525445522108,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.2263975155279504,0.19565217391304346,-0.2571428571428571,-0.03792683012486346,False,True,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
0.4,81,0.5185185185185185,0.5043478260869565,0.5036920659858601,0.5211180124223602,0.5714285714285714,0.6086956521739131,0.5894736842105263,0.6,14,21,18,28,activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,0.004347826086956497,0.10184873818507353,0.16188822666886069,0.11952286093343935,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,-0.0313664596273292,0.10869565217391308,0.17142857142857143,0.0,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.5,81,0.5308641975308642,0.5357142857142857,0.5302197802197802,0.5211180124223602,0.6052631578947368,0.5,0.5476190476190477,0.42857142857142855,20,15,23,23,activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,0.0357142857142857,0.10184873818507353,0.16188822666886069,0.11952286093343935,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.0,0.0,0.0,0.0,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.6,81,0.5185185185185185,0.5419254658385093,0.5137755887332616,0.5211180124223602,0.6296296296296297,0.3695652173913043,0.4657534246575342,0.2857142857142857,25,10,29,17,activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,0.04192546583850931,0.10184873818507353,0.16188822666886069,0.11952286093343935,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.006211180124223614,-0.13043478260869568,-0.14285714285714285,0.0,False,False,window_label_review_required,gate_iteration_needed,return_to_window_label_design
0.4,81,0.7037037037037037,0.684472049689441,0.6864516129032259,0.7869565217391304,0.7037037037037037,0.8260869565217391,0.76,0.45714285714285713,19,16,8,38,activity_no_overlap,activity,no_overlap,compact13,13,xgboost_balanced,all,aggregate,,81,,,0,0.5,0.18447204968944098,0.07724940487172724,0.07771985209341965,0.1673243825017497,0.5357142857142857,0.5,0.42857142857142855,0.10184873818507353,0.14875776397515528,0.32608695652173914,0.02857142857142858,-0.024599333313346294,False,True,gate_iteration_needed,gate_iteration_needed,return_to_window_label_design
