dataset,target_class,policy_variant,feature_set,model,feature,importance_mean,importance_std,nonzero_fold_count
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,outdoor_temperature__last_minus_first,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,p_net_meter_flow__last_1d_std_minus_prev_6d_std,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,p_return_gap__last_minus_first,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,s_hc1_supply_temperature_error__last_minus_first,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,0.0,0.0,0
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,36.6,7.829431652425353,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,23.8,22.106560112328648,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,outdoor_temperature__last_minus_first,32.2,10.779610382569492,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,22.0,12.34908903522847,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,11.6,5.813776741499453,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,p_net_meter_flow__last_1d_std_minus_prev_6d_std,55.0,19.27433526739638,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,32.8,19.8292712927127,5
activity_no_overlap,activity,no_overlap,compact13,lightgbm_balanced,p_return_gap__last_1d_mean_minus_prev_6d_mean,33.4,20.019990009987517,5
