dataset,target_class,policy_variant,feature_set,feature_count,model,fold_balanced_accuracy_mean,fold_balanced_accuracy_std,fold_macro_f1_mean,fold_macro_f1_std,fold_recall_mean,fold_recall_std,fold_normal_fpr_mean,fold_normal_fpr_std,folds
activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,0.5,0.0,0.36007981032525216,0.021369849428947027,1.0,0.0,1.0,0.0,5
activity_no_overlap,activity,no_overlap,compact13,13,lightgbm_balanced,0.7186111111111111,0.06392190806021007,0.7175204259105188,0.06345029166513035,0.7586507936507936,0.09610730990084428,0.32142857142857145,0.10101525445522108,5
activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,0.5323412698412697,0.10184873818507353,0.5209523062077241,0.11071747414866144,0.5003968253968254,0.16188822666886069,0.43571428571428567,0.11952286093343935,5
activity_no_overlap,activity,no_overlap,compact13,13,xgboost_balanced,0.6984920634920635,0.07724940487172724,0.6939955811900219,0.07393698244658892,0.6934126984126985,0.07771985209341965,0.29642857142857143,0.1673243825017497,5
activity_no_overlap,activity,no_overlap,expanded154,154,dummy_most_frequent,0.5,0.0,0.36007981032525216,0.021369849428947027,1.0,0.0,1.0,0.0,5
activity_no_overlap,activity,no_overlap,expanded154,154,lightgbm_balanced,0.7154365079365079,0.052873615098604394,0.7090384615384615,0.05531163579726571,0.7392063492063492,0.12057172530200785,0.3083333333333333,0.14213607704975176,5
activity_no_overlap,activity,no_overlap,expanded154,154,logistic_balanced,0.7333333333333334,0.10338996144202847,0.7261664058335885,0.1046052044916759,0.6928571428571428,0.12383241546615091,0.2261904761904762,0.21295885499997996,5
activity_no_overlap,activity,no_overlap,expanded154,154,xgboost_balanced,0.7125,0.1467657268282639,0.7077631257631258,0.1471717830795619,0.7047619047619047,0.13293946928708217,0.27976190476190477,0.2151931843157764,5
activity_post_all,activity,post_all,compact13,13,dummy_most_frequent,0.5,0.0,0.3625844155844156,0.007435617855014851,1.0,0.0,1.0,0.0,5
activity_post_all,activity,post_all,compact13,13,lightgbm_balanced,0.5851984126984127,0.11934301974478434,0.5770409769258874,0.12453303984823072,0.5977777777777777,0.20190451232888643,0.42738095238095236,0.14546235613434216,5
activity_post_all,activity,post_all,compact13,13,logistic_balanced,0.3720238095238095,0.07029580178109762,0.356465478965479,0.08052230597140188,0.3416666666666667,0.18619401138743213,0.5976190476190476,0.10923875949480441,5
activity_post_all,activity,post_all,compact13,13,xgboost_balanced,0.5604761904761905,0.11059504943571197,0.5562332112332112,0.11048245504828992,0.64,0.1988547456726724,0.5190476190476191,0.12481562365864719,5
activity_post_all,activity,post_all,expanded154,154,dummy_most_frequent,0.5,0.0,0.3625844155844156,0.007435617855014851,1.0,0.0,1.0,0.0,5
activity_post_all,activity,post_all,expanded154,154,lightgbm_balanced,0.6718650793650793,0.16013603595879855,0.6570864171947763,0.1677314051037929,0.7461111111111112,0.16338906834400208,0.4023809523809524,0.30865262012381667,5
activity_post_all,activity,post_all,expanded154,154,logistic_balanced,0.6657539682539683,0.12760849108395808,0.6568987172248042,0.12111922878870987,0.7088888888888889,0.12919503869998786,0.3773809523809524,0.23628778237516482,5
activity_post_all,activity,post_all,expanded154,154,xgboost_balanced,0.7354761904761904,0.09956061744981885,0.7239862476704582,0.10230227145001988,0.7483333333333333,0.15864491758812574,0.2773809523809524,0.26777776601650316,5
activity_pre_all,activity,pre_all,compact13,13,dummy_most_frequent,0.5,0.0,0.3620028872483291,0.02338574929320885,1.0,0.0,1.0,0.0,5
activity_pre_all,activity,pre_all,compact13,13,lightgbm_balanced,0.6430952380952382,0.11582054693779739,0.636010101010101,0.11705248324025294,0.6861904761904762,0.11495833811052505,0.4,0.17928429140015903,5
activity_pre_all,activity,pre_all,compact13,13,logistic_balanced,0.5116666666666666,0.06916886931989848,0.5029649435531789,0.06800712899307064,0.48880952380952375,0.16421150843084595,0.4654761904761905,0.15294260331672482,5
activity_pre_all,activity,pre_all,compact13,13,xgboost_balanced,0.713452380952381,0.11150956051463845,0.7051741395859044,0.114855686463827,0.7078571428571429,0.13511144304172146,0.28095238095238095,0.14907119849998596,5
activity_pre_all,activity,pre_all,expanded154,154,dummy_most_frequent,0.5,0.0,0.3620028872483291,0.02338574929320885,1.0,0.0,1.0,0.0,5
activity_pre_all,activity,pre_all,expanded154,154,lightgbm_balanced,0.7067857142857144,0.08425889067390077,0.6996173692148925,0.088189696075997,0.6695238095238095,0.07360570938123437,0.25595238095238093,0.10796641159057771,5
activity_pre_all,activity,pre_all,expanded154,154,logistic_balanced,0.7867857142857143,0.010767065766280969,0.7856820956820958,0.01063204091536401,0.7795238095238095,0.08494362542965654,0.20595238095238094,0.09631092176276608,5
activity_pre_all,activity,pre_all,expanded154,154,xgboost_balanced,0.7092857142857143,0.08423681154638474,0.6986567096474218,0.08858280824397075,0.6745238095238095,0.12368812729792265,0.25595238095238093,0.1079664115905777,5
fault_no_overlap,fault,no_overlap,compact13,13,dummy_most_frequent,0.5,0.0,0.3794909688013136,0.009263034184206176,1.0,0.0,1.0,0.0,5
fault_no_overlap,fault,no_overlap,compact13,13,lightgbm_balanced,0.7848484848484849,0.1347183086832567,0.7819548098959863,0.13321920458823455,0.8363636363636363,0.07606000241218869,0.26666666666666666,0.2145501014489297,5
fault_no_overlap,fault,no_overlap,compact13,13,logistic_balanced,0.7411796536796537,0.10151758885839836,0.7352392477850144,0.11752872791988819,0.7454545454545454,0.19708621262435277,0.2630952380952381,0.07990392473595158,5
fault_no_overlap,fault,no_overlap,compact13,13,xgboost_balanced,0.7954545454545455,0.14010031824929492,0.7979141404205343,0.1386470292962736,0.8909090909090909,0.07606000241218866,0.3,0.23904572186687872,5
fault_no_overlap,fault,no_overlap,expanded154,154,dummy_most_frequent,0.5,0.0,0.3794909688013136,0.009263034184206176,1.0,0.0,1.0,0.0,5
fault_no_overlap,fault,no_overlap,expanded154,154,lightgbm_balanced,0.8006493506493506,0.09273445714101088,0.8016631016042781,0.08696692868275147,0.8727272727272727,0.10365231137264888,0.27142857142857146,0.2045403009039479,5
fault_no_overlap,fault,no_overlap,expanded154,154,logistic_balanced,0.7070887445887446,0.08437820031904002,0.7020594601476955,0.0829822099563051,0.7272727272727273,0.09090909090909094,0.3130952380952381,0.10875115658675504,5
fault_no_overlap,fault,no_overlap,expanded154,154,xgboost_balanced,0.8154220779220779,0.10635223346421446,0.825038584603802,0.11039349608959856,0.9272727272727274,0.09958591954639379,0.29642857142857143,0.13339178140702213,5
task_no_overlap,task,no_overlap,compact13,13,dummy_most_frequent,0.5,0.0,0.340231884057971,0.013279902394349301,1.0,0.0,1.0,0.0,5
task_no_overlap,task,no_overlap,compact13,13,lightgbm_balanced,0.6978174603174603,0.11802970905540136,0.6961119272883979,0.11812329680512074,0.7321428571428571,0.0837574242825612,0.3365079365079365,0.16822776076217527,5
task_no_overlap,task,no_overlap,compact13,13,logistic_balanced,0.6678571428571429,0.08930059399822252,0.6678236959119312,0.09050750240740206,0.7071428571428571,0.09499597198764559,0.3714285714285714,0.11368891796488877,5
task_no_overlap,task,no_overlap,compact13,13,xgboost_balanced,0.6692460317460318,0.13124816283252722,0.6653421578421578,0.13125575284305194,0.7035714285714285,0.11123151073141026,0.365079365079365,0.19737825580072837,5
task_no_overlap,task,no_overlap,expanded154,154,dummy_most_frequent,0.5,0.0,0.340231884057971,0.013279902394349301,1.0,0.0,1.0,0.0,5
task_no_overlap,task,no_overlap,expanded154,154,lightgbm_balanced,0.5698412698412698,0.11570539898812526,0.5569588744588744,0.12028058142925845,0.5857142857142856,0.18999194397529123,0.44603174603174606,0.21120656631798335,5
task_no_overlap,task,no_overlap,expanded154,154,logistic_balanced,0.5904761904761905,0.08045628804334856,0.5832500832500832,0.08638187005194535,0.5857142857142856,0.18999194397529123,0.40476190476190477,0.12371791482634839,5
task_no_overlap,task,no_overlap,expanded154,154,xgboost_balanced,0.5563492063492064,0.08929508328269309,0.5456733462615816,0.08680583989182028,0.6142857142857142,0.16298006013006625,0.5015873015873016,0.16556704521149584,5
task_post_all,task,post_all,compact13,13,dummy_most_frequent,0.5,0.0,0.34948917748917746,0.014926668070555347,1.0,0.0,1.0,0.0,5
task_post_all,task,post_all,compact13,13,lightgbm_balanced,0.6488492063492064,0.08750206958643783,0.6437895437895438,0.08754058782359972,0.6596031746031746,0.13526112498599407,0.36190476190476184,0.13405417390723093,5
task_post_all,task,post_all,compact13,13,logistic_balanced,0.6859126984126984,0.04712875904851792,0.6813770285442111,0.05302184400848344,0.7170634920634921,0.1618225553827001,0.34523809523809523,0.08161493571906005,5
task_post_all,task,post_all,compact13,13,xgboost_balanced,0.7073015873015873,0.1197314519699353,0.697002442002442,0.11558302788148953,0.6681746031746032,0.15063807764266662,0.25357142857142856,0.18915089538379085,5
task_post_all,task,post_all,expanded154,154,dummy_most_frequent,0.5,0.0,0.34948917748917746,0.014926668070555347,1.0,0.0,1.0,0.0,5
task_post_all,task,post_all,expanded154,154,lightgbm_balanced,0.6838888888888889,0.07898188743284132,0.6655918427977252,0.08181721193932748,0.6499206349206349,0.19072165070428448,0.28214285714285714,0.26975518001116705,5
task_post_all,task,post_all,expanded154,154,logistic_balanced,0.5838888888888889,0.08389519111795718,0.5567181610659871,0.09610054666376888,0.4832539682539682,0.1989533111185613,0.31547619047619047,0.23411857665829924,5
task_post_all,task,post_all,expanded154,154,xgboost_balanced,0.6578174603174602,0.09186439370308763,0.6335660907719731,0.08669216271787925,0.6584920634920635,0.18914123799772667,0.34285714285714286,0.3288818409491811,5
task_pre_all,task,pre_all,compact13,13,dummy_most_frequent,0.5,0.0,0.32692601067887106,0.016975847779333406,0.8,0.4472135954999579,0.8,0.4472135954999579,5
task_pre_all,task,pre_all,compact13,13,lightgbm_balanced,0.7162698412698413,0.10887416601840436,0.7104945054945055,0.10856263991112766,0.7753968253968254,0.16570964841775265,0.34285714285714286,0.12777531299998796,5
task_pre_all,task,pre_all,compact13,13,logistic_balanced,0.7376984126984126,0.05132718303017468,0.7301328736622855,0.04616917782327827,0.6753968253968254,0.14597566210824853,0.2,0.19166296949998196,5
task_pre_all,task,pre_all,compact13,13,xgboost_balanced,0.6912698412698413,0.14170612140105177,0.6848739495798319,0.1379382961128339,0.6968253968253968,0.19443634579830316,0.3142857142857143,0.1564921592871903,5
task_pre_all,task,pre_all,expanded154,154,dummy_most_frequent,0.5,0.0,0.32692601067887106,0.016975847779333406,0.8,0.4472135954999579,0.8,0.4472135954999579,5
task_pre_all,task,pre_all,expanded154,154,lightgbm_balanced,0.6759920634920634,0.08370923344934078,0.6577397301700707,0.07514840195197903,0.5805555555555555,0.16399742745126342,0.22857142857142856,0.2595128874940707,5
task_pre_all,task,pre_all,expanded154,154,logistic_balanced,0.47559523809523807,0.11860781856964718,0.4686487042369395,0.11750832626435258,0.4083333333333333,0.1739277158480961,0.45714285714285713,0.11952286093343935,5
