sample_id,manufacturer,label,source_file,source_event_id,substation_id,window_start,window_end,window_days,window_policy,report_date,possible_anomaly_start,possible_anomaly_end,training_start,training_end
efd_possible_0001,manufacturer_1,efd_possible,faults.csv,1,10,2014-04-27 14:44:00,2014-05-04 14:44:00,7.0,report_date_minus_7d_to_report_date,2014-05-04 14:44:00,2014-05-03 16:00:00,2014-05-05 04:00:00,2012-03-28 09:00:00,2014-04-20 14:44:00
efd_possible_0003,manufacturer_1,efd_possible,faults.csv,3,12,2015-11-24 10:56:00,2015-12-01 10:56:00,7.0,report_date_minus_7d_to_report_date,2015-12-01 10:56:00,2015-11-29 12:00:00,2015-12-02 10:56:00,2015-03-01 00:00:00,2015-11-17 10:56:00
efd_possible_0040,manufacturer_1,efd_possible,faults.csv,40,24,2016-03-31 07:47:00,2016-04-07 07:47:00,7.0,report_date_minus_7d_to_report_date,2016-04-07 07:47:00,2016-04-05 13:00:00,2016-04-08 07:47:00,2015-11-20 00:00:00,2016-03-24 07:47:00
efd_possible_0052,manufacturer_1,efd_possible,faults.csv,52,21,2016-12-05 15:55:00,2016-12-12 15:55:00,7.0,report_date_minus_7d_to_report_date,2016-12-12 15:55:00,2016-12-11 20:00:00,2016-12-13 15:55:00,2015-11-30 09:00:00,2016-11-28 15:55:00
efd_possible_0067,manufacturer_1,efd_possible,faults.csv,67,7,2017-11-19 13:15:00,2017-11-26 13:15:00,7.0,report_date_minus_7d_to_report_date,2017-11-26 13:15:00,2017-04-23 01:00:00,2017-11-27 13:15:00,2015-04-12 00:00:00,2017-04-11 00:00:00
efd_possible_0044,manufacturer_1,efd_possible,faults.csv,44,8,2018-04-20 08:15:00,2018-04-27 08:15:00,7.0,report_date_minus_7d_to_report_date,2018-04-27 08:15:00,2018-04-26 06:00:00,2018-04-30 09:45:07,2015-09-24 18:00:00,2018-04-13 08:15:00
efd_possible_0020,manufacturer_1,efd_possible,faults.csv,20,11,2018-06-25 10:49:00,2018-07-02 10:49:00,7.0,report_date_minus_7d_to_report_date,2018-07-02 10:49:00,2018-06-29 05:00:00,2018-07-02 19:02:04,2015-02-25 14:00:00,2018-06-18 10:49:00
efd_possible_0064,manufacturer_1,efd_possible,faults.csv,64,6,2019-04-09 09:41:00,2019-04-16 09:41:00,7.0,report_date_minus_7d_to_report_date,2019-04-16 09:41:00,2019-04-13 06:00:00,2019-04-17 10:49:46,2019-03-13 09:10:00,2019-04-02 09:41:00
efd_possible_0049,manufacturer_1,efd_possible,faults.csv,49,18,2019-04-27 07:19:00,2019-05-04 07:19:00,7.0,report_date_minus_7d_to_report_date,2019-05-04 07:19:00,2019-05-03 11:00:00,2019-05-05 07:19:00,2016-12-16 10:00:00,2019-04-20 07:19:00
efd_possible_0047,manufacturer_1,efd_possible,faults.csv,47,28,2020-01-06 10:55:00,2020-01-13 10:55:00,7.0,report_date_minus_7d_to_report_date,2020-01-13 10:55:00,2020-01-08 23:00:00,2020-01-14 10:47:32,2019-10-25 00:00:00,2019-12-30 10:55:00
efd_possible_0057,manufacturer_1,efd_possible,faults.csv,57,9,2020-02-17 21:13:00,2020-02-24 21:13:00,7.0,report_date_minus_7d_to_report_date,2020-02-24 21:13:00,2020-02-24 17:45:00,2020-02-25 18:11:43,2015-02-26 14:00:00,2020-02-10 21:13:00
efd_possible_0015,manufacturer_1,efd_possible,faults.csv,15,29,2020-02-29 07:59:43,2020-03-07 07:59:43,7.0,report_date_minus_7d_to_report_date,2020-03-07 07:59:43,2020-03-06 12:00:00,2020-03-08 07:59:43,2019-10-03 07:00:00,2020-02-22 07:59:43
efd_possible_0010,manufacturer_1,efd_possible,faults.csv,10,30,2020-03-09 15:04:00,2020-03-16 15:04:00,7.0,report_date_minus_7d_to_report_date,2020-03-16 15:04:00,2020-03-12 19:00:00,2020-03-22 22:45:31,2019-12-01 00:00:00,2020-03-02 15:04:00
efd_possible_0053,manufacturer_1,efd_possible,faults.csv,53,13,2020-05-19 10:00:00,2020-05-26 10:00:00,7.0,report_date_minus_7d_to_report_date,2020-05-26 10:00:00,2020-05-25 03:00:00,2020-05-27 18:42:13,2016-07-27 15:17:00,2020-05-12 10:00:00
