dataset_id,feature_strategy,model,fold,feature_count,train_rows,test_rows,train_positive_rows,test_positive_rows,train_group_count,test_group_count,group_overlap_count,threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,false_positive_rate,false_negative_rate
strict_no_event20,expanded154,dummy_most_frequent,1,154.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,expanded154,logistic_balanced,1,154.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.9090909090909091,0.9375,0.75,1.0,0.8571428571428571,0.9583333333333334,7.0,1.0,0.0,3.0,0.125,0.0
strict_no_event20,locked_compact13,dummy_most_frequent,1,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,locked_compact13,logistic_balanced,1,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0
strict_no_event20,fold_selected_compact13,dummy_most_frequent,1,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,fold_selected_compact13,logistic_balanced,1,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.9090909090909091,0.9375,0.75,1.0,0.8571428571428571,0.9166666666666666,7.0,1.0,0.0,3.0,0.125,0.0
strict_no_event20,expanded154,dummy_most_frequent,2,154.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,expanded154,logistic_balanced,2,154.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.8181818181818182,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5,8.0,0.0,2.0,1.0,0.0,0.6666666666666666
strict_no_event20,locked_compact13,dummy_most_frequent,2,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
strict_no_event20,locked_compact13,logistic_balanced,2,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.8181818181818182,0.6666666666666666,1.0,0.3333333333333333,0.5,0.8333333333333334,8.0,0.0,2.0,1.0,0.0,0.6666666666666666
strict_no_event20,fold_selected_compact13,dummy_most_frequent,2,13.0,38.0,11.0,11.0,3.0,23.0,6.0,0.0,0.6,0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8.0,0.0,3.0,0.0,0.0,1.0
