dataset_id,feature_set,threshold,feature_count,balanced_accuracy,recall,f1,false_positive_rate,fp,fn,tp,tn,ba_delta_vs_expanded154,recall_delta_vs_expanded154,fpr_delta_vs_expanded154,priority,ba_pass,recall_pass,fpr_pass,feature_count_pass,candidate_pass,selected_feature_set,final_decision
strict_no_event20,base70,0.6,70,0.6214285714285714,0.5,0.4666666666666667,0.2571428571428571,9,7,7,26,-0.02857142857142858,0.0,0.057142857142857106,,,,,,,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20_no_event67,base70,0.6,70,0.6120879120879121,0.5384615384615384,0.45161290322580644,0.3142857142857143,11,6,7,24,-0.047252747252747196,0.07692307692307687,0.17142857142857143,,,,,,,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20,expanded154,0.6,154,0.65,0.5,0.5,0.2,7,7,7,28,0.0,0.0,0.0,,,,,,,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20_no_event67,expanded154,0.6,154,0.6593406593406593,0.46153846153846156,0.5,0.14285714285714285,5,7,6,30,0.0,0.0,0.0,,,,,,,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20,compact13_overlap,0.6,13,0.8285714285714285,0.7142857142857143,0.7692307692307693,0.05714285714285714,2,4,10,33,0.1785714285714285,0.2142857142857143,-0.14285714285714288,1.0,True,True,True,True,True,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20_no_event67,compact13_overlap,0.6,13,0.8175824175824176,0.6923076923076923,0.75,0.05714285714285714,2,4,9,33,0.15824175824175823,0.23076923076923073,-0.08571428571428572,1.0,True,True,True,True,True,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20,compact20_main,0.6,20,0.7785714285714286,0.6428571428571429,0.6923076923076923,0.08571428571428572,3,5,9,32,0.12857142857142856,0.1428571428571429,-0.1142857142857143,2.0,True,True,True,True,True,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20_no_event67,compact20_main,0.6,20,0.8560439560439561,0.7692307692307693,0.8,0.05714285714285714,2,3,10,33,0.19670329670329678,0.3076923076923077,-0.08571428571428572,2.0,True,True,True,True,True,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20,compact27_union,0.6,27,0.8642857142857143,0.7857142857142857,0.8148148148148148,0.05714285714285714,2,3,11,33,0.2142857142857143,0.2857142857142857,-0.14285714285714288,3.0,True,True,True,True,True,compact13_overlap,compact13_overlap compact feature set 채택
strict_no_event20_no_event67,compact27_union,0.6,27,0.8703296703296703,0.7692307692307693,0.8333333333333334,0.02857142857142857,1,3,10,34,0.21098901098901102,0.3076923076923077,-0.11428571428571428,3.0,True,True,True,True,True,compact13_overlap,compact13_overlap compact feature set 채택
