dataset_id,feature_set,feature,signal,stat,mean_coefficient,mean_abs_coefficient,std_coefficient
strict_no_event20,base70,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.5136689890807212,0.5136689890807212,0.3440769914938862
strict_no_event20,base70,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.4985112149217083,0.4985112149217083,0.27916805977465337
strict_no_event20,base70,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.35182307166063015,0.47596054069399035,0.41060788375522606
strict_no_event20,base70,p_net_supply_temperature__max,p_net_supply_temperature,max,0.45518770622261184,0.45518770622261184,0.25852840054035897
strict_no_event20,base70,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.4465041477143391,0.4465041477143391,0.13606686199985948
strict_no_event20,base70,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature,last_minus_first,-0.44070200234462087,0.44070200234462087,0.18812092030226402
strict_no_event20,base70,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.43149724022820024,0.43149724022820024,0.1635676882557946
strict_no_event20,base70,p_hc1_return_temperature__mean,p_hc1_return_temperature,mean,0.4299412507153126,0.4299412507153126,0.08734034319731
strict_no_event20,base70,p_net_return_temperature__min,p_net_return_temperature,min,-0.36156286566509693,0.41471833915750145,0.30786954275657913
strict_no_event20,base70,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.39705608500928224,0.39705608500928224,0.1967591404448845
strict_no_event20,base70,outdoor_temperature__max,outdoor_temperature,max,0.3917811287005898,0.3917811287005898,0.08707288379170267
strict_no_event20,base70,p_net_meter_flow__min,p_net_meter_flow,min,-0.32528650845153617,0.3833903554474269,0.27887284931873435
strict_no_event20,base70,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.3722329782520549,0.3815278693705749,0.22956974628733787
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint,min,0.3608804427863857,0.3608804427863857,0.1952947861340928
strict_no_event20,base70,p_hc1_return_temperature__median,p_hc1_return_temperature,median,0.353203397099894,0.353203397099894,0.11734032411407082
strict_no_event20,base70,p_net_meter_flow__max,p_net_meter_flow,max,-0.3078551718771144,0.34463089278693687,0.2412854487661876
strict_no_event20,base70,p_net_meter_heat_power__min,p_net_meter_heat_power,min,-0.20904654271501336,0.3210230067740919,0.31762380120318867
strict_no_event20,base70,p_net_meter_heat_power__max,p_net_meter_heat_power,max,0.31960575500397187,0.31960575500397187,0.12310339534299863
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,-0.02296355142847701,0.30781983284014036,0.45112751646481963
strict_no_event20,base70,s_hc1_supply_temperature__max,s_hc1_supply_temperature,max,-0.30339704954752456,0.30339704954752456,0.25474418791859005
strict_no_event20,base70,p_net_return_temperature__std,p_net_return_temperature,std,0.28676658725751225,0.28676658725751225,0.2754514429983701
strict_no_event20,base70,p_net_supply_temperature__std,p_net_supply_temperature,std,0.2278223776396382,0.28615012057508127,0.3172882798777601
strict_no_event20,base70,p_net_meter_flow__last_minus_first,p_net_meter_flow,last_minus_first,-0.2733569727231134,0.2733569727231134,0.16491014803656323
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint,std,-0.20285046855017308,0.255588860496544,0.18966725497892367
strict_no_event20,base70,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power,last_minus_first,-0.2545353387986441,0.2545353387986441,0.10367985072905855
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint,median,-0.24944880600513866,0.24944880600513866,0.06422867939348305
strict_no_event20,base70,p_net_meter_flow__std,p_net_meter_flow,std,-0.20246717632840516,0.24781329428951512,0.17842213509186927
strict_no_event20,base70,outdoor_temperature__std,outdoor_temperature,std,0.23732797369535197,0.239380803743155,0.1516663617430099
strict_no_event20,base70,p_net_meter_heat_power__mean,p_net_meter_heat_power,mean,0.19202088502441028,0.2010309147610942,0.13738508379864134
strict_no_event20,base70,p_net_return_temperature__max,p_net_return_temperature,max,-0.017621449338177476,0.18900120970087028,0.2607594092048859
strict_no_event20,base70,p_net_supply_temperature__mean,p_net_supply_temperature,mean,0.184599007975711,0.184599007975711,0.09976946288843615
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__max,s_hc1_supply_temperature_setpoint,max,-0.1822072312957672,0.1822072312957672,0.15284145462790624
