accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,feature_set,threshold,feature_count,rows,normal_rows,positive_rows,false_positive_rate,false_negative_rate
0.673469387755102,0.6214285714285714,0.4375,0.5,0.4666666666666667,0.6040816326530613,26,9,7,7,strict_no_event20,base70,0.6,70,49,35,14,0.2571428571428571,0.5
0.7142857142857143,0.65,0.5,0.5,0.5,0.6775510204081633,28,7,7,7,strict_no_event20,expanded154,0.6,154,49,35,14,0.2,0.5
0.8775510204081632,0.8285714285714285,0.8333333333333334,0.7142857142857143,0.7692307692307693,0.9183673469387756,33,2,4,10,strict_no_event20,compact13_overlap,0.6,13,49,35,14,0.05714285714285714,0.2857142857142857
0.8367346938775511,0.7785714285714286,0.75,0.6428571428571429,0.6923076923076923,0.8999999999999999,32,3,5,9,strict_no_event20,compact20_main,0.6,20,49,35,14,0.08571428571428572,0.35714285714285715
0.8979591836734694,0.8642857142857143,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8877551020408163,33,2,3,11,strict_no_event20,compact27_union,0.6,27,49,35,14,0.05714285714285714,0.21428571428571427
0.6458333333333334,0.6120879120879121,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.6483516483516484,24,11,6,7,strict_no_event20_no_event67,base70,0.6,70,48,35,13,0.3142857142857143,0.46153846153846156
0.75,0.6593406593406593,0.5454545454545454,0.46153846153846156,0.5,0.7384615384615385,30,5,7,6,strict_no_event20_no_event67,expanded154,0.6,154,48,35,13,0.14285714285714285,0.5384615384615384
0.875,0.8175824175824176,0.8181818181818182,0.6923076923076923,0.75,0.8901098901098902,33,2,4,9,strict_no_event20_no_event67,compact13_overlap,0.6,13,48,35,13,0.05714285714285714,0.3076923076923077
0.8958333333333334,0.8560439560439561,0.8333333333333334,0.7692307692307693,0.8,0.865934065934066,33,2,3,10,strict_no_event20_no_event67,compact20_main,0.6,20,48,35,13,0.05714285714285714,0.23076923076923078
0.9166666666666666,0.8703296703296703,0.9090909090909091,0.7692307692307693,0.8333333333333334,0.9428571428571428,34,1,3,10,strict_no_event20_no_event67,compact27_union,0.6,27,48,35,13,0.02857142857142857,0.23076923076923078
