accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,model,fold,train_rows,test_rows,train_groups,test_groups,test_normal,test_efd_possible
0.7,0.5,0.0,0.0,0.0,0.5,7,0,3,0,main_no_event20,dummy_most_frequent,1,39,10,1|10|11|12|13|14|15|17|19|2|20|21|23|24|25|26|29|4|5|6|7|8|9,16|18|22|28|3|30,7,3
0.6,0.6190476190476191,0.4,0.6666666666666666,0.5,0.8571428571428571,4,3,1,2,main_no_event20,logistic_balanced,1,39,10,1|10|11|12|13|14|15|17|19|2|20|21|23|24|25|26|29|4|5|6|7|8|9,16|18|22|28|3|30,7,3
0.8,0.5,0.0,0.0,0.0,0.5,8,0,2,0,main_no_event20,dummy_most_frequent,2,39,10,1|10|11|12|13|16|17|18|19|20|21|22|23|24|28|3|30|4|5|6|7|8|9,14|15|2|25|26|29,8,2
0.5,0.6875,0.2857142857142857,1.0,0.4444444444444444,0.6875,3,5,0,2,main_no_event20,logistic_balanced,2,39,10,1|10|11|12|13|16|17|18|19|20|21|22|23|24|28|3|30|4|5|6|7|8|9,14|15|2|25|26|29,8,2
0.5,0.5,0.0,0.0,0.0,0.5,5,0,5,0,main_no_event20,dummy_most_frequent,3,39,10,1|11|12|14|15|16|17|18|19|2|21|22|23|25|26|28|29|3|30|4|5|7|8,10|13|20|24|6|9,5,5
0.6,0.6000000000000001,0.5714285714285714,0.8,0.6666666666666666,0.64,2,3,1,4,main_no_event20,logistic_balanced,3,39,10,1|11|12|14|15|16|17|18|19|2|21|22|23|25|26|28|29|3|30|4|5|7|8,10|13|20|24|6|9,5,5
0.8,0.5,0.0,0.0,0.0,0.5,8,0,2,0,main_no_event20,dummy_most_frequent,4,39,10,10|11|13|14|15|16|17|18|2|20|21|22|24|25|26|28|29|3|30|4|6|7|9,1|12|19|23|5|8,8,2
0.6,0.375,0.0,0.0,0.0,0.4375,6,2,2,0,main_no_event20,logistic_balanced,4,39,10,10|11|13|14|15|16|17|18|2|20|21|22|24|25|26|28|29|3|30|4|6|7|9,1|12|19|23|5|8,8,2
0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,main_no_event20,dummy_most_frequent,5,40,9,1|10|12|13|14|15|16|18|19|2|20|22|23|24|25|26|28|29|3|30|5|6|8|9,11|17|21|4|7,7,2
0.4444444444444444,0.2857142857142857,0.0,0.0,0.0,0.07142857142857145,4,3,2,0,main_no_event20,logistic_balanced,5,40,9,1|10|12|13|14|15|16|18|19|2|20|22|23|24|25|26|28|29|3|30|5|6|8|9,11|17|21|4|7,7,2
0.8,0.5,0.0,0.0,0.0,0.5,8,0,2,0,strict_no_event20_event67,dummy_most_frequent,1,38,10,1|10|11|12|13|16|17|18|19|2|20|21|23|24|28|29|3|4|5|6|7|8|9,14|15|22|25|26|30,8,2
0.4,0.625,0.25,1.0,0.4,0.875,2,6,0,2,strict_no_event20_event67,logistic_balanced,1,38,10,1|10|11|12|13|16|17|18|19|2|20|21|23|24|28|29|3|4|5|6|7|8|9,14|15|22|25|26|30,8,2
0.6,0.5,0.0,0.0,0.0,0.5,6,0,4,0,strict_no_event20_event67,dummy_most_frequent,2,38,10,1|11|12|14|15|16|17|18|19|21|22|23|25|26|28|3|30|4|5|6|7|8|9,10|13|2|20|24|29,6,4
0.5,0.5,0.4,0.5,0.4444444444444444,0.5833333333333333,3,3,2,2,strict_no_event20_event67,logistic_balanced,2,38,10,1|11|12|14|15|16|17|18|19|21|22|23|25|26|28|3|30|4|5|6|7|8|9,10|13|2|20|24|29,6,4
0.8,0.5,0.0,0.0,0.0,0.5,8,0,2,0,strict_no_event20_event67,dummy_most_frequent,3,38,10,10|11|13|14|15|16|17|18|2|20|21|22|24|25|26|28|29|3|30|4|6|7|8,1|12|19|23|5|9,8,2
0.6,0.5625,0.25,0.5,0.3333333333333333,0.4375,5,3,1,1,strict_no_event20_event67,logistic_balanced,3,38,10,10|11|13|14|15|16|17|18|2|20|21|22|24|25|26|28|29|3|30|4|6|7|8,1|12|19|23|5|9,8,2
0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,strict_no_event20_event67,dummy_most_frequent,4,39,9,1|10|12|13|14|15|16|18|19|2|20|22|23|24|25|26|28|29|3|30|5|6|7|9,11|17|21|4|8,7,2
0.4444444444444444,0.2857142857142857,0.0,0.0,0.0,0.2142857142857143,4,3,2,0,strict_no_event20_event67,logistic_balanced,4,39,9,1|10|12|13|14|15|16|18|19|2|20|22|23|24|25|26|28|29|3|30|5|6|7|9,11|17|21|4|8,7,2
0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,strict_no_event20_event67,dummy_most_frequent,5,39,9,1|10|11|12|13|14|15|17|19|2|20|21|22|23|24|25|26|29|30|4|5|8|9,16|18|28|3|6|7,6,3
0.7777777777777778,0.75,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,5,1,1,2,strict_no_event20_event67,logistic_balanced,5,39,9,1|10|11|12|13|14|15|17|19|2|20|21|22|23|24|25|26|29|30|4|5|8|9,16|18|28|3|6|7,6,3
