dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
main_no_event20,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.4585693853179754,0.34241862688823,0.4889136510321076,0.28515288841553293,1
main_no_event20,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.48664736246337625,0.12843828747329505,0.48664736246337625,0.12843828747329505,2
main_no_event20,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature,last_minus_first,-0.4697950769217346,0.39999701118455594,0.4697950769217346,0.39999701118455594,3
main_no_event20,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.45665996614067994,0.19203500761476117,0.45665996614067994,0.19203500761476117,4
main_no_event20,p_net_meter_flow__min,p_net_meter_flow,min,-0.3837109345164751,0.3679785127943854,0.4515261612190441,0.2541769946931531,5
main_no_event20,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.44388615131466763,0.17363950139825765,0.44388615131466763,0.17363950139825765,6
main_no_event20,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.4271250208306593,0.20397002105560624,0.4271250208306593,0.20397002105560624,7
main_no_event20,p_hc1_return_temperature__mean,p_hc1_return_temperature,mean,0.41036667941330174,0.0716865320868873,0.41036667941330174,0.0716865320868873,8
main_no_event20,p_net_supply_temperature__max,p_net_supply_temperature,max,0.39658130203018216,0.21809644757836746,0.39658130203018216,0.21809644757836746,9
main_no_event20,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.39188321683904614,0.2297043263926671,0.3920948139184246,0.22925252067644217,10
main_no_event20,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint,min,0.38487160833233397,0.1314967368660479,0.38487160833233397,0.1314967368660479,11
main_no_event20,p_net_meter_heat_power__min,p_net_meter_heat_power,min,-0.26938639350113225,0.37117929939774474,0.38218405553381124,0.21425345545753757,12
main_no_event20,p_net_return_temperature__min,p_net_return_temperature,min,-0.3303140875863039,0.2709814286557606,0.38184092144980764,0.16601827800496827,13
main_no_event20,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.37830412899216204,0.15061838848162173,0.37830412899216204,0.15061838848162173,14
main_no_event20,p_hc1_return_temperature__median,p_hc1_return_temperature,median,0.36324972767548547,0.1361656470870127,0.36324972767548547,0.1361656470870127,15
