scenario,fault_group,leadtime_label,leadtime_confidence,event_count,mean_score,median_score,min_rank,median_rank,high_count,medium_count,low_count,monitor_count,high_or_medium_ratio
balanced_policy,pressure_regulator,report_time_only,high,4,88.21281313348403,88.70587299794337,10,14.5,4,0,0,0,1.0
balanced_policy,control_controller,report_time_only,high,12,85.17285155410241,92.99154386841943,1,6.5,10,0,0,2,0.8333333333333334
balanced_policy,pump_failure,short_stable,high,5,75.74021676368116,81.04529404127132,8,21.0,3,1,0,1,0.8
balanced_policy,valve_actuator,early_stable,medium,5,58.47287989747658,73.6060130319923,9,23.0,2,1,0,2,0.6
balanced_policy,leakage_water_loss,early_stable,high,5,55.79514663375939,66.12349220018547,20,25.0,1,2,0,2,0.6
balanced_policy,unknown_review,review_only,review,2,51.489066858708284,51.489066858708284,19,25.5,1,0,0,1,0.5
baseline_28,pressure_regulator,report_time_only,high,4,90.38217955321541,90.92454540412066,8,12.5,4,0,0,0,1.0
baseline_28,control_controller,report_time_only,high,12,84.19013670951266,92.29069825526139,1,9.5,10,0,0,2,0.8333333333333334
baseline_28,pump_failure,short_stable,high,5,76.64194056770886,82.59752557305802,5,21.0,3,1,0,1,0.8
baseline_28,valve_actuator,early_stable,medium,5,58.813912568075295,75.70035901604261,6,23.0,2,1,0,2,0.6
baseline_28,leakage_water_loss,early_stable,high,5,57.18636342479491,68.4275435478636,20,25.0,1,2,0,2,0.6
baseline_28,unknown_review,review_only,review,2,54.43797354457911,54.43797354457911,19,25.5,1,0,0,1,0.5
group_heavy,control_controller,report_time_only,high,12,86.98889973202552,93.6923894815775,1,6.5,10,0,0,2,0.8333333333333334
group_heavy,pressure_regulator,report_time_only,high,4,83.65195735205052,84.09571123006393,14,16.5,4,0,0,0,1.0
group_heavy,pump_failure,short_stable,high,5,74.31870572561091,79.17327527544207,11,19.0,2,2,0,1,0.8
group_heavy,valve_actuator,early_stable,medium,5,58.63631531198424,72.41613513304841,12,23.0,2,1,0,2,0.6
group_heavy,leakage_water_loss,early_stable,high,5,54.82414260868131,64.0396536184648,20,25.0,0,2,1,2,0.4
group_heavy,unknown_review,review_only,review,2,46.540160172837446,46.540160172837446,22,27.0,0,1,0,1,0.5
leadtime_heavy,pressure_regulator,report_time_only,high,4,90.8264254371569,91.2701793151703,10,12.5,4,0,0,0,1.0
leadtime_heavy,control_controller,report_time_only,high,12,84.4888997320255,93.6923894815775,1,7.5,10,0,0,2,0.8333333333333334
leadtime_heavy,pump_failure,short_stable,high,5,75.87806742773859,80.13263697756973,6,21.0,4,0,0,1,0.8
leadtime_heavy,valve_actuator,early_stable,medium,5,57.12291105666509,69.70273087772925,9,23.0,2,1,0,2,0.6
leadtime_heavy,leakage_water_loss,early_stable,high,5,53.56350431080898,63.37901532059246,20,25.0,1,1,1,2,0.4
leadtime_heavy,unknown_review,review_only,review,2,52.54016017283745,52.54016017283745,19,25.5,1,0,0,1,0.5
risk_heavy,pressure_regulator,report_time_only,high,4,92.10730008900529,92.79758389924837,3,8.5,4,0,0,0,1.0
risk_heavy,control_controller,report_time_only,high,12,82.90865884241003,90.18816141578719,1,14.0,10,0,0,2,0.8333333333333334
risk_heavy,pump_failure,short_stable,high,5,78.30753751170681,86.61464570033304,4,17.0,3,1,0,1,0.8
risk_heavy,leakage_water_loss,early_stable,high,5,62.200439329816334,75.78012312281285,20,24.0,2,1,0,2,0.6
risk_heavy,valve_actuator,early_stable,medium,5,60.845946750084224,83.79233313840626,5,19.0,3,0,0,2,0.6
risk_heavy,unknown_review,review_only,review,2,59.28469360219159,59.28469360219159,14,22.5,1,0,0,1,0.5
