event_id,substation_id,fault_label,problem_en,efd_possible,monitoring_potential,report_date,first_crossing_lead_time_hours,stable_crossing_lead_time_hours,d0_probability,d0_prediction,min_coverage_rate,low_coverage_window_count,event20_low_coverage_flag,event67_long_anomaly_flag,unknown_fault_label_flag,training_end_missing_flag,fault_group,group_weight,rows,mean_monitoring_potential,risk_probability,leadtime_urgency,priority_score,priority_tier,priority_formula,leadtime_label,leadtime_confidence,operational_meaning,special_review_event_flag,long_leadtime_group_flag,scenario,w_risk,w_leadtime,w_group,scenario_score,scenario_tier,scenario_rank,baseline_rank,baseline_score,rank_change_from_baseline,abs_rank_change_from_baseline,score_change_from_baseline
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,168.0,0.0,0.9854038165062012,1,1.0,0,False,False,False,False,control_controller,1.0,12,3.9166666666666665,0.9854038165062012,1.0,99.19720990784108,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,99.19720990784107,high,1,1,99.19720990784107,0,0,0.0
49,18,Control unit: Incorrect parameterisation,no DHW,True,4.0,2019-05-04 07:19:00,0.0,0.0,0.9607645319901588,1,0.9970238095238096,0,False,False,False,False,control_controller,1.0,12,3.9166666666666665,0.9607645319901588,1.0,97.84204925945876,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,97.84204925945873,high,2,2,97.84204925945873,0,0,0.0
60,4,Control unit: Incorrect parameterisation,no heat,False,4.0,2015-03-18 18:54:00,72.0,0.0,0.9113455182824092,1,1.0,0,False,False,False,True,control_controller,1.0,12,3.9166666666666665,0.9113455182824092,1.0,95.1240035055325,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,95.1240035055325,high,3,3,95.1240035055325,0,0,0.0
23,27,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2020-01-20 12:57:00,72.0,0.0,0.8988810889643669,1,1.0,0,False,False,False,False,control_controller,1.0,12,3.9166666666666665,0.8988810889643669,1.0,94.4384598930402,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,94.43845989304019,high,4,4,94.43845989304019,0,0,0.0
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,24.0,24.0,0.9836120351232626,1,1.0,0,False,False,False,False,pump_failure,0.6360425531914894,5,3.78,0.9836120351232626,1.0,93.63930022965178,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),short_stable,high,short_leadtime_warning_candidate,False,False,baseline_28,0.55,0.3,0.15,93.63930022965178,high,5,5,93.63930022965178,0,0,0.0
53,13,Shut-off valve closed,no DHW,True,2.8,2020-05-26 10:00:00,168.0,0.0,0.991303246323025,1,1.0,0,False,False,False,False,valve_actuator,0.5808936170212766,5,3.24,0.991303246323025,1.0,93.23508280308552,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),early_stable,medium,days_before_warning_candidate,False,True,baseline_28,0.55,0.3,0.15,93.23508280308552,high,6,6,93.23508280308552,0,0,0.0
62,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2019-01-21 08:17:00,24.0,0.0,0.8765293531986366,1,1.0,0,False,False,False,False,control_controller,1.0,12,3.9166666666666665,0.8765293531986366,1.0,93.20911442592502,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,93.20911442592502,high,7,7,93.20911442592502,0,0,0.0
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,168.0,0.0,0.9999942585433894,1,1.0,0,False,False,False,False,pressure_regulator,0.5217021276595746,4,3.1500000000000004,0.9999942585433894,1.0,92.82521613478004,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,92.82521613478004,high,8,8,92.82521613478004,0,0,0.0
32,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2019-10-19 10:38:00,168.0,0.0,0.8608889625407858,1,1.0,0,False,False,False,False,control_controller,1.0,12,3.9166666666666665,0.8608889625407858,1.0,92.34889293974324,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,92.34889293974324,high,9,9,92.34889293974324,0,0,0.0
44,8,Temperature monitor/controller defective,no DHW,True,3.0,2018-04-27 08:15:00,12.0,12.0,0.8587727921959915,1,1.0,0,False,False,False,False,control_controller,1.0,12,3.9166666666666665,0.8587727921959915,1.0,92.23250357077951,high,100*(0.55*risk_probability+0.30*leadtime_urgency+0.15*group_weight),report_time_only,high,same_day_fault_signal,False,False,baseline_28,0.55,0.3,0.15,92.23250357077953,high,10,10,92.23250357077953,0,0,0.0
