row_kind,source_id,source_event_id,disturbance_row_id,substation_id,event_start,event_end,event_type,final_class,fault_event_id,fault_report_date,fault_detail_available,fault_label,fault_label_known,fault_label_unknown,efd_possible,efd_possible_true,efd_possible_false,efd_possible_unknown,pre_event_eligible,strict_pre_event_positive,event20_low_coverage_flag,event34_unknown_flag,event69_unknown_training_end_missing_flag,event67_long_anomaly_flag,hard_normal_tag
normal,normal_0002,2.0,,9,2019-01-02 00:00:00,2019-01-09 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0004,4.0,,15,2019-03-01 00:00:00,2019-03-08 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0008,8.0,,6,2020-06-02 00:00:00,2020-06-09 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0012,12.0,,19,2017-09-30 00:00:00,2017-10-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0014,14.0,,26,2019-12-08 00:00:00,2019-12-15 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0016,16.0,,17,2017-10-15 00:00:00,2017-10-22 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0017,17.0,,2,2018-02-27 00:00:00,2018-03-06 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0018,18.0,,16,2018-11-30 00:00:00,2018-12-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0019,19.0,,8,2018-02-01 00:00:00,2018-02-08 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,review_required_normal
normal,normal_0021,21.0,,1,2019-12-01 00:00:00,2019-12-08 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0022,22.0,,5,2017-09-13 00:00:00,2017-09-20 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0025,25.0,,20,2017-01-31 00:00:00,2017-02-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0026,26.0,,4,2018-02-19 00:00:00,2018-02-26 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0027,27.0,,12,2015-06-24 13:34:00,2015-07-01 13:34:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0028,28.0,,7,2019-01-01 10:29:00,2019-01-08 10:29:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0030,30.0,,16,2018-02-28 00:00:00,2018-03-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0031,31.0,,3,2019-09-01 00:00:00,2019-09-08 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0033,33.0,,3,2019-01-11 00:00:00,2019-01-18 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0035,35.0,,11,2017-10-31 00:00:00,2017-11-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,hard_normal_metadata
normal,normal_0039,39.0,,15,2018-09-30 00:00:00,2018-10-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0041,41.0,,2,2016-09-16 00:00:00,2016-09-23 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0042,42.0,,22,2019-11-01 00:00:00,2019-11-08 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0043,43.0,,25,2020-04-05 00:00:00,2020-04-12 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0046,46.0,,4,2018-06-19 00:00:00,2018-06-26 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0048,48.0,,11,2016-09-30 00:00:00,2016-10-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,hard_normal_metadata
normal,normal_0050,50.0,,17,2016-11-09 00:00:00,2016-11-16 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0051,51.0,,20,2020-04-01 00:00:00,2020-04-08 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0054,54.0,,22,2020-03-14 00:00:00,2020-03-21 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0055,55.0,,23,2017-10-06 00:00:00,2017-10-13 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0056,56.0,,2,2018-11-29 00:00:00,2018-12-06 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0058,58.0,,5,2018-02-28 00:00:00,2018-03-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0059,59.0,,22,2019-01-31 00:00:00,2019-02-07 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0061,61.0,,14,2019-12-05 00:00:00,2019-12-12 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0066,66.0,,19,2017-06-14 00:00:00,2017-06-21 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
normal,normal_0068,68.0,,13,2019-12-20 00:00:00,2019-12-27 00:00:00,,normal,,,False,,False,False,,False,False,False,False,False,False,False,False,False,review_required_normal
event,disturbance_0001,69.0,1.0,26,2020-03-10 15:49:00,,fault,fault,69.0,2020-03-10 15:49:00,True,unknown,False,True,True,True,False,False,True,False,False,False,True,False,
event,disturbance_0002,,2.0,3,2015-11-24 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0003,,3.0,3,2015-12-09 13:48:00,,fault,fault,,,False,,False,False,,False,False,True,False,False,False,False,False,False,
event,disturbance_0004,,4.0,3,2016-02-29 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0005,,5.0,3,2016-10-31 14:18:00,,fault,fault,,,False,,False,False,,False,False,True,False,False,False,False,False,False,
event,disturbance_0006,,6.0,3,2016-11-15 22:50:00,,fault,fault,,,False,,False,False,,False,False,True,False,False,False,False,False,False,
event,disturbance_0007,,7.0,4,2015-02-27 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0008,60.0,8.0,4,2015-03-18 18:54:00,,fault,fault,60.0,2015-03-18 18:54:00,True,Control unit: Incorrect parameterisation,True,False,False,False,True,False,False,False,False,False,False,False,
event,disturbance_0009,,9.0,4,2016-08-01 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0010,11.0,10.0,4,2016-11-18 15:13:00,,fault,fault,11.0,2016-11-18 15:13:00,True,Motorised control valve (primary side): Actuator defective,True,False,False,False,True,False,False,False,False,False,False,False,
event,disturbance_0011,,11.0,4,2017-02-10 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0012,,12.0,5,2015-02-23 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0013,,13.0,5,2015-11-17 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0014,,14.0,5,2016-03-09 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0015,,15.0,5,2017-04-03 00:00:00,,activity,activity,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0016,,16.0,5,2020-02-04 14:02:00,,fault,fault,,,False,,False,False,,False,False,True,False,False,False,False,False,False,
event,disturbance_0017,,17.0,5,2020-02-04 17:03:02,,task,task,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
event,disturbance_0018,64.0,18.0,6,2019-04-16 09:41:00,,fault,fault,64.0,2019-04-16 09:41:00,True,Differential pressure regulator defective,True,False,True,True,False,False,True,True,False,False,False,False,
event,disturbance_0019,,19.0,6,2019-04-17 06:49:46,,task,task,,,False,,False,False,,False,False,False,False,False,False,False,False,False,
