dataset,target_class,policy_variant,feature_set,model,threshold,class_label,class_value,precision,recall,f1,support
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.4,normal,0,0.0,0.0,0.0,35
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.4,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.5,normal,0,0.0,0.0,0.0,35
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.5,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.6,normal,0,0.0,0.0,0.0,35
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.6,activity,1,0.5679012345679012,1.0,0.7244094488188977,46
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.4,normal,0,0.75,0.17142857142857143,0.27906976744186046,35
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.4,activity,1,0.6027397260273972,0.9565217391304348,0.7394957983193278,46
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.5,normal,0,0.6,0.6857142857142857,0.64,35
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.5,activity,1,0.7317073170731707,0.6521739130434783,0.6896551724137931,46
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.6,normal,0,0.4666666666666667,1.0,0.6363636363636364,35
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.6,activity,1,1.0,0.13043478260869565,0.23076923076923078,46
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.4,normal,0,0.4375,0.4,0.417910447761194,35
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.4,activity,1,0.5714285714285714,0.6086956521739131,0.5894736842105263,46
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.5,normal,0,0.46511627906976744,0.5714285714285714,0.5128205128205128,35
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.5,activity,1,0.6052631578947368,0.5,0.5476190476190477,46
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.6,normal,0,0.46296296296296297,0.7142857142857143,0.5617977528089888,35
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.6,activity,1,0.6296296296296297,0.3695652173913043,0.4657534246575342,46
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.4,normal,0,0.6956521739130435,0.45714285714285713,0.5517241379310345,35
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.4,activity,1,0.6724137931034483,0.8478260869565217,0.75,46
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.5,normal,0,0.6511627906976745,0.8,0.717948717948718,35
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.5,activity,1,0.8157894736842105,0.6739130434782609,0.7380952380952381,46
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.6,normal,0,0.6153846153846154,0.9142857142857143,0.735632183908046,35
