dataset,target_class,policy_variant,feature_set,model,threshold,tn,fp,fn,tp
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.4,0,35,0,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.5,0,35,0,46
activity_no_overlap,activity,no_overlap,compact13,dummy_most_frequent,0.6,0,35,0,46
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.4,6,29,2,44
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.5,24,11,16,30
activity_no_overlap,activity,no_overlap,compact13,extra_trees_balanced_depth3,0.6,35,0,40,6
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.4,14,21,18,28
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.5,20,15,23,23
activity_no_overlap,activity,no_overlap,compact13,logistic_balanced,0.6,25,10,29,17
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.4,16,19,7,39
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.5,28,7,15,31
activity_no_overlap,activity,no_overlap,compact13,random_forest_balanced_depth3,0.6,32,3,20,26
activity_no_overlap,activity,no_overlap,expanded154,dummy_most_frequent,0.4,0,35,0,46
activity_no_overlap,activity,no_overlap,expanded154,dummy_most_frequent,0.5,0,35,0,46
activity_no_overlap,activity,no_overlap,expanded154,dummy_most_frequent,0.6,0,35,0,46
activity_no_overlap,activity,no_overlap,expanded154,extra_trees_balanced_depth3,0.4,32,3,16,30
activity_no_overlap,activity,no_overlap,expanded154,extra_trees_balanced_depth3,0.5,34,1,17,29
activity_no_overlap,activity,no_overlap,expanded154,extra_trees_balanced_depth3,0.6,34,1,18,28
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.4,26,9,13,33
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.5,27,8,14,32
activity_no_overlap,activity,no_overlap,expanded154,logistic_balanced,0.6,29,6,14,32
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.4,27,8,11,35
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.5,34,1,15,31
activity_no_overlap,activity,no_overlap,expanded154,random_forest_balanced_depth3,0.6,34,1,18,28
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.4,0,35,0,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.5,0,35,0,46
activity_post_all,activity,post_all,compact13,dummy_most_frequent,0.6,0,35,0,46
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.4,0,35,3,43
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.5,23,12,25,21
activity_post_all,activity,post_all,compact13,extra_trees_balanced_depth3,0.6,31,4,42,4
