threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_target_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,target_decision_at_t0_5
0.4,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.5679012345679012,0.5,0.36220472440944884,0.5,0.5679012345679012,1.0,0.7244094488188977,1.0,0,35,0,46,activity_no_overlap,activity,no_overlap,compact13,13,dummy_most_frequent,all,aggregate,,81,,,0,0.5,0.0,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.6172839506172839,0.5639751552795031,0.5092827828805941,0.6664596273291925,0.6027397260273972,0.9565217391304348,0.7394957983193278,0.8285714285714286,6,29,2,44,activity_no_overlap,activity,no_overlap,compact13,13,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.06397515527950315,True,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.6666666666666666,0.668944099378882,0.6648275862068966,0.6664596273291925,0.7317073170731707,0.6521739130434783,0.6896551724137931,0.3142857142857143,24,11,16,30,activity_no_overlap,activity,no_overlap,compact13,13,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.168944099378882,False,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.5061728395061729,0.5652173913043478,0.43356643356643354,0.6664596273291925,1.0,0.13043478260869565,0.23076923076923078,0.0,35,0,40,6,activity_no_overlap,activity,no_overlap,compact13,13,extra_trees_balanced_depth3,all,aggregate,,81,,,0,0.5,0.06521739130434778,False,True,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.5185185185185185,0.5043478260869565,0.5036920659858601,0.5211180124223602,0.5714285714285714,0.6086956521739131,0.5894736842105263,0.6,14,21,18,28,activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,0.004347826086956497,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.5308641975308642,0.5357142857142857,0.5302197802197802,0.5211180124223602,0.6052631578947368,0.5,0.5476190476190477,0.42857142857142855,20,15,23,23,activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,0.0357142857142857,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.6,81,0.5185185185185185,0.5419254658385093,0.5137755887332616,0.5211180124223602,0.6296296296296297,0.3695652173913043,0.4657534246575342,0.2857142857142857,25,10,29,17,activity_no_overlap,activity,no_overlap,compact13,13,logistic_balanced,all,aggregate,,81,,,0,0.5,0.04192546583850931,False,False,False,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.4,81,0.6790123456790124,0.6524844720496894,0.6508620689655172,0.8105590062111802,0.6724137931034483,0.8478260869565217,0.75,0.5428571428571428,16,19,7,39,activity_no_overlap,activity,no_overlap,compact13,13,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.1524844720496894,True,False,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
0.5,81,0.7283950617283951,0.7369565217391305,0.7280219780219781,0.8105590062111802,0.8157894736842105,0.6739130434782609,0.7380952380952381,0.2,28,7,15,31,activity_no_overlap,activity,no_overlap,compact13,13,random_forest_balanced_depth3,all,aggregate,,81,,,0,0.5,0.2369565217391305,False,True,True,True,False,one_vs_normal_gate_iteration_needed,one_vs_normal_gate_iteration_needed
