threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,precision_target,recall_target,f1_target,normal_fpr,tn,fp,fn,tp,dataset,target_class,policy_variant,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count
0.4,19,0.6842105263157895,0.5,0.40625,0.5,0.6842105263157895,1.0,0.8125,1.0,0,6,0,13,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.5,19,0.6842105263157895,0.5,0.40625,0.5,0.6842105263157895,1.0,0.8125,1.0,0,6,0,13,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.6,19,0.6842105263157895,0.5,0.40625,0.5,0.6842105263157895,1.0,0.8125,1.0,0,6,0,13,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.4,19,0.7368421052631579,0.6282051282051282,0.6360153256704981,0.6153846153846154,0.75,0.9230769230769231,0.8275862068965517,0.6666666666666666,2,4,1,12,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.5,19,0.6842105263157895,0.5897435897435898,0.5928571428571429,0.6153846153846154,0.7333333333333333,0.8461538461538461,0.7857142857142857,0.6666666666666666,2,4,2,11,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.6,19,0.631578947368421,0.5512820512820513,0.5521885521885521,0.6153846153846154,0.7142857142857143,0.7692307692307693,0.7407407407407407,0.6666666666666666,2,4,3,10,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.4,19,0.6842105263157895,0.5448717948717949,0.525,0.5384615384615385,0.7058823529411765,0.9230769230769231,0.8,0.8333333333333334,1,5,1,12,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.5,19,0.7368421052631579,0.6282051282051282,0.6360153256704981,0.5384615384615385,0.75,0.9230769230769231,0.8275862068965517,0.6666666666666666,2,4,1,12,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.6,19,0.631578947368421,0.5961538461538461,0.5907692307692307,0.5384615384615385,0.75,0.6923076923076923,0.72,0.5,3,3,4,9,fault_pre_all,fault,pre_all,compact13,13,random_forest_balanced_depth3,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.4,19,0.7894736842105263,0.6666666666666666,0.6833333333333333,0.6794871794871795,0.7647058823529411,1.0,0.8666666666666667,0.6666666666666666,2,4,0,13,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.5,19,0.631578947368421,0.5961538461538461,0.5907692307692307,0.6794871794871795,0.75,0.6923076923076923,0.72,0.5,3,3,4,9,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.6,19,0.47368421052631576,0.5705128205128205,0.4722222222222222,0.6794871794871795,0.8,0.3076923076923077,0.4444444444444444,0.16666666666666666,5,1,9,4,fault_pre_all,fault,pre_all,compact13,13,extra_trees_balanced_depth3,1,fold,78.0,19,1|2|3|4|5|10|11|12|14|15|16|17|18|19|20|21|22|23|24|26|27|28|29|30|31|32,6|7|8|9|13|25,0
0.4,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.5,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.6,19,0.5789473684210527,0.5,0.36666666666666664,0.5,0.5789473684210527,1.0,0.7333333333333333,1.0,0,8,0,11,fault_pre_all,fault,pre_all,compact13,13,dummy_most_frequent,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.4,19,0.7894736842105263,0.8011363636363636,0.788888888888889,0.8636363636363636,0.8888888888888888,0.7272727272727273,0.8,0.125,7,1,3,8,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
0.5,19,0.7368421052631579,0.7556818181818181,0.7368421052631579,0.8636363636363636,0.875,0.6363636363636364,0.7368421052631579,0.125,7,1,4,7,fault_pre_all,fault,pre_all,compact13,13,logistic_balanced,2,fold,78.0,19,1|2|3|5|6|7|8|9|11|12|13|15|16|18|19|20|21|23|25|26|27|29|30|31|32,4|10|14|17|22|24|28,0
