strategy,fold,n,balanced_accuracy,precision,recall,f1,false_positive_count,false_negative_count,true_positive_count,true_negative_count,false_positive_rate,hard_normal_35_48_fp_count,review_required_19_68_fp_count,candidate_train_rows
expanded_both,1,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,1,67
expanded_both,2,9,1.0,1.0,1.0,1.0,0,0,3,6,0.0,0,0,72
expanded_both,3,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,0,69
expanded_both,4,9,0.6666666666666666,1.0,0.3333333333333333,0.5,0,2,1,6,0.0,0,0,67
expanded_both,5,9,0.6785714285714286,0.5,0.5,0.5,1,1,1,6,0.14285714285714285,0,0,67
expanded_both,all,49,0.85,0.7857142857142857,0.7857142857142857,0.7857142857142857,3,3,11,32,0.08571428571428572,0,1,68
normal_only,1,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,1,58
normal_only,2,9,1.0,1.0,1.0,1.0,0,0,3,6,0.0,0,0,60
normal_only,3,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,0,58
normal_only,4,9,0.6666666666666666,1.0,0.3333333333333333,0.5,0,2,1,6,0.0,0,0,58
normal_only,5,9,0.6785714285714286,0.5,0.5,0.5,1,1,1,6,0.14285714285714285,0,0,58
normal_only,all,49,0.85,0.7857142857142857,0.7857142857142857,0.7857142857142857,3,3,11,32,0.08571428571428572,0,1,58
reference,1,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,1,0
reference,2,9,1.0,1.0,1.0,1.0,0,0,3,6,0.0,0,0,0
reference,3,11,0.8333333333333333,1.0,0.6666666666666666,0.8,0,1,2,8,0.0,0,0,0
reference,4,9,0.6666666666666666,1.0,0.3333333333333333,0.5,0,2,1,6,0.0,0,0,0
reference,5,9,0.6785714285714286,0.5,0.5,0.5,1,1,1,6,0.14285714285714285,0,0,0
reference,all,49,0.8285714285714285,0.8333333333333334,0.7142857142857143,0.7692307692307693,2,4,10,33,0.05714285714285714,0,1,0
weak_only,1,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,1,9
weak_only,2,9,1.0,1.0,1.0,1.0,0,0,3,6,0.0,0,0,12
weak_only,3,11,0.9375,0.75,1.0,0.8571428571428571,1,0,3,7,0.125,0,0,11
weak_only,4,9,0.6666666666666666,1.0,0.3333333333333333,0.5,0,2,1,6,0.0,0,0,9
weak_only,5,9,0.6785714285714286,0.5,0.5,0.5,1,1,1,6,0.14285714285714285,0,0,9
weak_only,all,49,0.85,0.7857142857142857,0.7857142857142857,0.7857142857142857,3,3,11,32,0.08571428571428572,0,1,10
