sample_id,source_event_id,substation_id,label,review_tag,y_true,fold,reference_probability,reference_pred,reference_prediction_label,reference_error_type,expanded_probability,expanded_pred,expanded_prediction_label,expanded_error_type,transition_type,probability_delta,window_start,window_end,coverage_rate,fault_label
normal_0019,19,8,normal,review_required_normal,0,1,0.4330773100656292,0,normal,OK,0.3052632788524212,0,normal,OK,unchanged_correct,-0.127814031213208,2018-02-01 00:00:00,2018-02-08 00:00:00,1.0,
normal_0035,35,11,normal,hard_normal_metadata,0,1,0.4429055508492283,0,normal,OK,0.0525942898340538,0,normal,OK,unchanged_correct,-0.3903112610151745,2017-10-31 00:00:00,2017-11-07 00:00:00,1.0,
normal_0042,42,22,normal,,0,1,0.0457753263972365,0,normal,OK,0.018520562957998,0,normal,OK,unchanged_correct,-0.027254763439238498,2019-11-01 00:00:00,2019-11-08 00:00:00,1.0,
normal_0043,43,25,normal,,0,1,0.0361174771788736,0,normal,OK,0.006801321433793,0,normal,OK,unchanged_correct,-0.029316155745080598,2020-04-05 00:00:00,2020-04-12 00:00:00,1.0,
normal_0048,48,11,normal,hard_normal_metadata,0,1,0.0432087014382003,0,normal,OK,0.0384166070683564,0,normal,OK,unchanged_correct,-0.004792094369843895,2016-09-30 00:00:00,2016-10-07 00:00:00,1.0,
normal_0054,54,22,normal,,0,1,0.1908895916996152,0,normal,OK,0.0184296134843301,0,normal,OK,unchanged_correct,-0.17245997821528508,2020-03-14 00:00:00,2020-03-21 00:00:00,1.0,
normal_0059,59,22,normal,,0,1,0.3654093452416138,0,normal,OK,0.4962335221669976,0,normal,OK,unchanged_correct,0.13082417692538384,2019-01-31 00:00:00,2019-02-07 00:00:00,1.0,
normal_0068,68,13,normal,review_required_normal,0,1,0.7192543658023907,1,efd_possible,FP,0.6269276220867571,1,efd_possible,FP,unchanged_error,-0.09232674371563354,2019-12-20 00:00:00,2019-12-27 00:00:00,1.0,
strict_positive_0001,1,10,efd_possible,,1,1,0.999327450103144,1,efd_possible,OK,0.9993486558095448,1,efd_possible,OK,unchanged_correct,2.120570640073982e-05,2014-04-27 14:44:00,2014-05-04 14:44:00,1.0,Motorised control valve (primary side): Actuator defective
strict_positive_0044,44,8,efd_possible,,1,1,0.9663552087313404,1,efd_possible,OK,0.6890542122797952,1,efd_possible,OK,unchanged_correct,-0.27730099645154516,2018-04-20 08:15:00,2018-04-27 08:15:00,1.0,Temperature monitor/controller defective
