candidate_kind,candidate_id,source_event_id,substation_id,window_start,window_end,sample_count,expected_sample_count,coverage_rate,audit_status,exclusion_reason,fault_label,efd_possible,disturbance_count,fault_window_overlap,fixed_eval_window_overlap
weak_positive,weak_positive_0001,1.0,10,,,0,1008,,excluded,duplicate_fixed_eval,Motorised control valve (primary side): Actuator defective,True,,,
weak_positive,weak_positive_0003,3.0,12,,,0,1008,,excluded,duplicate_fixed_eval,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0005,5.0,11,2018-11-16 08:30:00,2018-11-23 08:30:00,1008,1008,1.0,accepted,,Failure of the heating circuit pump,True,,,
weak_positive,weak_positive_0006,6.0,21,2016-11-29 13:12:00,2016-12-06 13:12:00,1008,1008,1.0,accepted,,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0007,7.0,26,,,0,1008,,excluded,duplicate_fixed_eval,Incorrect setting of the differential pressure regulator,True,,,
weak_positive,weak_positive_0010,10.0,30,,,0,1008,,excluded,duplicate_fixed_eval,Leakage,True,,,
weak_positive,weak_positive_0011,11.0,4,,,0,1008,,excluded,efd_possible_false,Motorised control valve (primary side): Actuator defective,False,,,
weak_positive,weak_positive_0013,13.0,24,2016-01-05 12:39:00,2016-01-12 12:39:00,1008,1008,1.0,accepted,,Failure of the heating circuit pump,True,,,
weak_positive,weak_positive_0015,15.0,29,,,0,1008,,excluded,duplicate_fixed_eval,Failure of the domestic hot water storage charging pump,True,,,
weak_positive,weak_positive_0020,20.0,11,,,0,1008,,excluded,excluded_event_policy,"Safety relief valve: Water loss, does not close properly",True,,,
weak_positive,weak_positive_0023,23.0,27,2020-01-13 12:57:00,2020-01-20 12:57:00,1008,1008,1.0,accepted,,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0024,24.0,13,2016-07-13 15:17:00,2016-07-20 15:17:00,1008,1008,1.0,accepted,,Failure of the heating circuit pump,True,,,
weak_positive,weak_positive_0029,29.0,17,2019-01-02 14:18:00,2019-01-09 14:18:00,1008,1008,1.0,accepted,,Motorised control valve (primary side): Control valve jams when closed,True,,,
weak_positive,weak_positive_0032,32.0,21,2019-10-12 10:38:00,2019-10-19 10:38:00,1008,1008,1.0,accepted,,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0034,34.0,20,,,0,1008,,excluded,excluded_event_policy,unknown,True,,,
weak_positive,weak_positive_0036,36.0,7,,,0,1008,,excluded,efd_possible_false,Control unit: Incorrect parameterisation,False,,,
weak_positive,weak_positive_0037,37.0,19,2018-11-14 09:15:00,2018-11-21 09:15:00,1008,1008,1.0,accepted,,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0038,38.0,24,2016-10-17 13:55:00,2016-10-24 13:55:00,1008,1008,1.0,accepted,,Incorrect setting of the differential pressure regulator,True,,,
weak_positive,weak_positive_0040,40.0,24,,,0,1008,,excluded,duplicate_fixed_eval,"Safety relief valve: Water loss, does not close properly",True,,,
weak_positive,weak_positive_0044,44.0,8,,,0,1008,,excluded,duplicate_fixed_eval,Temperature monitor/controller defective,True,,,
weak_positive,weak_positive_0045,45.0,31,2020-01-06 15:48:00,2020-01-13 15:48:00,1008,1008,1.0,accepted,,"Heat exchanger: Leakage, external",True,,,
weak_positive,weak_positive_0047,47.0,28,,,0,1008,,excluded,duplicate_fixed_eval,Failure of the heating circuit pump,True,,,
weak_positive,weak_positive_0049,49.0,18,,,0,1008,,excluded,duplicate_fixed_eval,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0052,52.0,21,,,0,1008,,excluded,duplicate_fixed_eval,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0053,53.0,13,,,0,1008,,excluded,duplicate_fixed_eval,Shut-off valve closed,True,,,
weak_positive,weak_positive_0057,57.0,9,,,0,1008,,excluded,duplicate_fixed_eval,Differential pressure regulator defective,True,,,
weak_positive,weak_positive_0060,60.0,4,,,0,1008,,excluded,efd_possible_false,Control unit: Incorrect parameterisation,False,,,
weak_positive,weak_positive_0062,62.0,21,2019-01-14 08:17:00,2019-01-21 08:17:00,1008,1008,1.0,accepted,,Control unit: Incorrect parameterisation,True,,,
weak_positive,weak_positive_0063,63.0,7,,,0,1008,,excluded,efd_possible_false,Control unit: Incorrect parameterisation,False,,,
