sample_id,label,source_event_id,substation_id,window_start,window_end,window_days,sample_count,expected_sample_count,coverage_rate,disturbance_count,disturbance_types,source_type,report_date,possible_anomaly_start,possible_anomaly_end,training_start,training_end,fault_label,fault_label_known,fault_label_unknown,efd_possible,training_metadata_complete,event67_flag,audit_status,train_status,anomaly_start_to_report_days,anomaly_duration_days,training_gap_to_report_days,outdoor_temperature__mean,outdoor_temperature__std,outdoor_temperature__min,outdoor_temperature__max,outdoor_temperature__median,outdoor_temperature__last_minus_first,outdoor_temperature__missing_rate,s_hc1_supply_temperature__mean,s_hc1_supply_temperature__std,s_hc1_supply_temperature__min,s_hc1_supply_temperature__max,s_hc1_supply_temperature__median,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature__missing_rate,s_hc1_supply_temperature_setpoint__mean,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint__max,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint__missing_rate,p_hc1_return_temperature__mean,p_hc1_return_temperature__std,p_hc1_return_temperature__min,p_hc1_return_temperature__max,p_hc1_return_temperature__median,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature__missing_rate,p_net_meter_energy__mean,p_net_meter_energy__std,p_net_meter_energy__min,p_net_meter_energy__max,p_net_meter_energy__median,p_net_meter_energy__last_minus_first,p_net_meter_energy__missing_rate,p_net_meter_volume__mean,p_net_meter_volume__std,p_net_meter_volume__min,p_net_meter_volume__max,p_net_meter_volume__median,p_net_meter_volume__last_minus_first,p_net_meter_volume__missing_rate,p_net_meter_heat_power__mean,p_net_meter_heat_power__std,p_net_meter_heat_power__min,p_net_meter_heat_power__max,p_net_meter_heat_power__median,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power__missing_rate,p_net_meter_flow__mean,p_net_meter_flow__std,p_net_meter_flow__min,p_net_meter_flow__max,p_net_meter_flow__median,p_net_meter_flow__last_minus_first,p_net_meter_flow__missing_rate,p_net_supply_temperature__mean,p_net_supply_temperature__std,p_net_supply_temperature__min,p_net_supply_temperature__max,p_net_supply_temperature__median,p_net_supply_temperature__last_minus_first,p_net_supply_temperature__missing_rate,p_net_return_temperature__mean,p_net_return_temperature__std,p_net_return_temperature__min,p_net_return_temperature__max,p_net_return_temperature__median,p_net_return_temperature__last_minus_first,p_net_return_temperature__missing_rate
fault_event_1,fault_event,1,10,2014-04-27 14:44:00,2014-05-04 14:44:00,7.0,1008,1008,1.0,1,activity,fault_record,2014-05-04 14:44:00,2014-05-03 16:00:00,2014-05-05 04:00:00,2012-03-28 09:00:00,2014-04-20 14:44:00,Motorised control valve (primary side): Actuator defective,True,False,True,True,False,trainable_fault_event,accepted,0.9472222222222222,1.5,14.0,12.979315476190477,5.16199168159275,5.3,29.2,11.95,-8.6,0.0,44.9220238095238,8.8344186228974,24.7,65.2,43.425,-7.25,0.0,42.88501984126984,13.251291698466916,10.0,64.5,43.45,-0.04999999999999716,0.0,40.33551587301587,6.965533927238133,23.5,55.8,39.5,-3.8999999999999986,0.0,650341.7544255176,1069.5980600744213,648548.3333333334,652086.3333333334,650297.75,3538.0,0.00992063492063492,14901.070662157648,22.282074361193224,14862.931666666667,14936.606666666668,14899.9175,73.67500000000109,0.00992063492063492,20.355210420841683,14.368904087486747,0.0,94.0,16.333333333333332,11.16666666666667,0.00992063492063492,439.93002672010687,247.34367499108563,2.0,1563.0,372.66666666666663,56.0,0.00992063492063492,86.54584168336673,3.4492962016849114,64.0,92.0,87.5,2.833333333333343,0.00992063492063492,47.304108216432866,6.196259682944872,30.666666666666668,58.0,48.0,-19.166666666666668,0.00992063492063492
fault_event_3,fault_event,3,12,2015-11-24 10:56:00,2015-12-01 10:56:00,7.0,1008,1008,1.0,0,,fault_record,2015-12-01 10:56:00,2015-11-29 12:00:00,2015-12-02 10:56:00,2015-03-01 00:00:00,2015-11-17 10:56:00,Control unit: Incorrect parameterisation,True,False,True,True,False,trainable_fault_event,accepted,1.9555555555555555,2.9555555555555557,14.0,8.742063492063492,2.939344870893204,3.2,14.5,8.775,-3.3000000000000007,0.0,51.887499999999996,8.177944185569133,31.1,64.3,53.675000000000004,-20.9,0.0,51.758184523809526,8.251629791632167,32.0,64.1,53.6,-20.699999999999996,0.0,43.635664682539684,5.703277891154922,28.9,52.0,44.6,-16.75,0.0,242911.50801244075,1789.0190046084965,240013.0,246136.875,242789.3333333333,6123.875,0.1626984126984127,4506.623758836888,33.146804447578745,4453.31,4567.290416666667,4504.580833333333,113.98041666666631,0.1626984126984127,41.64392278830963,10.084920448864576,22.0,71.0,41.5,-0.7083333333333357,0.1626984126984127,786.6750543048973,209.26145410669386,393.0,1261.0,770.5,154.54166666666663,0.1626984126984127,95.03497235387047,2.09071920017516,89.0,100.0,94.5,-2.6666666666666856,0.1626984126984127,48.10180193522906,2.4457076160188285,42.0,53.0,48.0,6.2916666666666785,0.1626984126984127
fault_event_5,fault_event,5,11,2018-11-16 08:30:00,2018-11-23 08:30:00,7.0,1008,1008,1.0,0,,fault_record,2018-11-23 08:30:00,,2018-11-26 09:56:59,2015-02-20 14:00:00,2018-11-09 08:30:00,Failure of the heating circuit pump,True,False,True,True,False,trainable_fault_event,accepted,,,14.0,8.315575396825396,2.5119486982087853,2.5,13.8,8.4,-3.200000000000001,0.0,48.11011904761905,1.6378488767625963,38.6,60.5,48.1,-9.099999999999994,0.0,48.0,0.0,48.0,48.0,48.0,0.0,0.0,38.88382936507936,4.377191766909543,25.2,44.8,40.325,9.400000000000002,0.0,301687.49875373876,433.41199055472237,301004.5,302513.3333333333,301634.3333333333,1508.833333333314,0.00496031746031746,6309.1630707876375,8.037607519269493,6296.094999999999,6324.066666666667,6308.418333333333,27.97166666666726,0.00496031746031746,8.690927218344966,3.8248508500583536,2.0,31.0,7.666666666666667,5.5,0.00496031746031746,169.28639082751744,57.120000675987306,51.0,528.0,154.16666666666666,79.0,0.00496031746031746,92.54810568295115,1.280398723970876,89.0,96.0,92.66666666666669,1.6666666666666856,0.00496031746031746,46.65677966101695,3.61544555494052,37.0,59.0,47.0,-10.666666666666664,0.00496031746031746
fault_event_6,fault_event,6,21,2016-11-29 13:12:00,2016-12-06 13:12:00,7.0,1008,1008,1.0,0,,fault_record,2016-12-06 13:12:00,,2016-12-07 13:12:00,2015-11-30 09:00:00,2016-11-22 13:12:00,Control unit: Incorrect parameterisation,True,False,True,True,False,trainable_fault_event,accepted,,,14.0,6.526884920634921,1.5201187752980678,3.5,9.7,6.074999999999999,-0.4499999999999993,0.0,51.51855158730159,3.111996374559354,41.0,58.1,51.6,0.30000000000000426,0.0,51.52366071428571,3.0764196215970365,41.5,58.0,51.7,-1.1000000000000014,0.0,42.63963293650794,1.8724599913620974,36.1,47.4,42.7,-1.8499999999999943,0.0,654371.9761668321,5241.174833001843,645710.0,663730.0,654186.6666666666,18020.0,0.000992063492063492,12847.257927838466,91.66166477882037,12699.233333333334,13010.1,12840.9,310.8666666666668,0.000992063492063492,108.70514730221782,36.31525420570535,48.0,344.0,101.0,17.16666666666667,0.000992063492063492,1879.5233366434954,515.6730158211813,816.0,4752.0,1780.0,320.0,0.000992063492063492,94.78435038066867,2.672356748105445,88.33,100.25,95.495,-1.308333333333323,0.000992063492063492,44.64484111221449,2.4623480167963274,28.78,49.41,45.13333333333333,-0.8100000000000023,0.000992063492063492
fault_event_7,fault_event,7,26,2020-06-06 10:38:00,2020-06-13 10:38:00,7.0,1008,1008,1.0,0,,fault_record,2020-06-13 10:38:00,2020-06-12 12:00:00,2020-06-14 10:38:00,2018-10-18 13:00:00,2020-05-30 10:38:00,Incorrect setting of the differential pressure regulator,True,False,True,True,False,trainable_fault_event,accepted,0.9430555555555555,1.9430555555555555,14.0,18.951269841269838,4.232799051447357,10.51,29.29,18.29,-3.400000000000002,0.0,37.69412698412698,10.48974971049473,22.92,69.21,41.36,-20.270000000000003,0.0,26.873953373015873,16.82242460773795,10.0,58.65,30.0,-20.0,0.0,29.455838293650793,4.391674174193247,21.27,63.37,28.195,-12.720000000000002,0.0,140117.42410714287,127.46878600020425,139883.0,140281.0,140144.0,398.0,0.0,2641.5937996031744,4.102403653635075,2633.9,2647.0,2642.2,13.099999999999909,0.0,2.3757936507936503,1.9108232899879682,0.0,9.6,2.0,-2.4,0.0,79.2108134920635,48.08012647859356,0.0,222.0,77.0,-80.0,0.0,68.92609126984127,14.405695931564512,22.0,81.0,74.0,-54.0,0.0,46.41319444444444,8.752764041451796,21.0,59.0,48.0,-32.0,0.0
fault_event_10,fault_event,10,30,2020-03-09 15:04:00,2020-03-16 15:04:00,7.0,1008,1008,1.0,0,,fault_record,2020-03-16 15:04:00,2020-03-12 19:00:00,2020-03-22 22:45:31,2019-12-01 00:00:00,2020-03-02 15:04:00,Leakage,True,False,True,True,False,trainable_fault_event,accepted,3.8361111111111112,10.156608796296297,14.0,9.249434523809525,4.294383782962718,0.99,18.22,8.95,4.51,0.0,30.424880952380953,17.137789322080035,12.79,67.13,17.18,-7.6299999999999955,0.0,28.703898809523807,20.97522014087034,10.0,68.29,10.0,-8.11,0.0,25.498095238095235,13.350835419067856,10.43,56.08,19.134999999999998,3.950000000000003,0.0,25068.842261904763,428.74704861696546,24094.0,25408.0,25367.0,1314.0,0.0,1360.3852182539683,34.06563089366742,1307.4,1422.4,1356.6999999999998,115.0,0.0,7.914583333333333,10.192303677053731,0.0,55.1,0.7,27.9,0.0,684.171626984127,207.48008968918424,40.0,1188.0,778.0,771.0,0.0,40.93551587301587,27.242608001013192,10.0,72.0,33.0,2.0,0.0,29.39484126984127,15.521483115599754,10.0,70.0,32.0,-4.0,0.0
fault_event_11,fault_event,11,4,2016-11-11 15:13:00,2016-11-18 15:13:00,7.0,1008,1008,1.0,0,,fault_record,2016-11-18 15:13:00,2016-04-18 10:00:00,2016-11-19 15:13:00,,,Motorised control valve (primary side): Actuator defective,True,False,False,False,False,trainable_fault_event,accepted,214.2173611111111,215.2173611111111,,8.20749007936508,2.1492732080036494,2.3,12.3,8.6,-1.6000000000000014,0.0,66.48407738095237,7.431789587084486,62.3,119.8,65.2,52.3,0.0,64.71309523809524,3.120974013239764,10.0,77.1,65.0,-44.7,0.0,38.34742063492064,5.439306564474414,31.9,78.7,37.6,37.10000000000001,0.0,548972.3958333334,1446.169183307608,546443.6666666666,551622.8333333334,548968.75,5179.166666666744,0.0,10496.302764550264,24.66107278704555,10453.483333333334,10544.168333333331,10496.5275,90.68499999999767,0.0,30.28455687830688,16.55947711410871,14.0,124.0,25.666666666666668,4.4999999999999964,0.0,539.4980158730159,285.0492646926281,298.0,2410.0,458.0,1015.8333333333335,0.0,92.18138227513226,1.7800798470781987,87.0,97.0,92.33333333333331,1.8333333333333144,0.0,42.85251322751322,5.245923504685866,25.0,81.0,42.66666666666666,33.83333333333333,0.0
fault_event_13,fault_event,13,24,2016-01-05 12:39:00,2016-01-12 12:39:00,7.0,1008,1008,1.0,0,,fault_record,2016-01-12 12:39:00,,2016-01-13 12:39:00,2015-12-08 10:00:00,2015-12-29 12:39:00,Failure of the heating circuit pump,True,False,True,True,False,trainable_fault_event,accepted,,,14.0,3.8921130952380953,1.4039806506626424,0.7,6.9,3.925,-2.3999999999999995,0.0,73.73497023809524,2.8957078463798864,53.4,85.2,73.5,2.799999999999997,0.0,73.45089285714286,2.85725860038295,67.5,90.0,73.275,2.0,0.0,51.199107142857144,2.9109498097467297,38.7,61.0,51.6,-10.700000000000003,0.0,47452.76934523809,1336.062990129685,45171.333333333336,49854.5,47432.75,4683.166666666664,0.0,1173.7467212301588,33.092704133881824,1117.2,1231.945,1173.2266666666667,114.74499999999989,0.0,27.05952380952381,3.647346970783683,20.0,54.0,26.75,6.0,0.0,660.7852182539683,121.54005702904998,356.0,1643.0,658.5833333333333,113.0,0.0,88.52480158730158,1.6963565282422146,85.0,93.0,88.0,2.0,0.0,51.71974206349206,3.058474121508893,40.0,62.0,52.333333333333336,0.6666666666666643,0.0
fault_event_15,fault_event,15,29,2020-02-29 07:59:43,2020-03-07 07:59:43,7.0,1008,1008,1.0,0,,fault_record,2020-03-07 07:59:43,2020-03-06 12:00:00,2020-03-08 07:59:43,2019-10-03 07:00:00,2020-02-22 07:59:43,Failure of the domestic hot water storage charging pump,True,False,True,True,False,trainable_fault_event,accepted,0.833136574074074,1.8331365740740742,14.0,12.955109126984127,1.6829605445861162,10.02,15.78,12.91,-2.3199999999999985,0.0,63.25944444444445,6.519801020846333,38.19,72.34,65.265,-10.130000000000003,0.0,63.864945436507945,10.550073731110881,19.36,77.0,62.555,28.479999999999997,0.0,48.92079365079365,8.784244283468997,28.64,73.28,50.32,-16.950000000000003,0.0,115968.07490079365,1269.5922398184152,113876.0,118123.0,115906.5,4247.0,0.0,2520.20689484127,28.758900001146113,2473.4,2569.6,2518.7,96.19999999999982,0.0,25.02688492063492,19.62193654212065,0.0,85.1,23.35,26.0,0.0,562.2916666666666,437.9181415052182,0.0,1254.0,488.5,-24.0,0.0,88.50496031746032,4.331872500763681,70.0,94.0,90.0,0.0,0.0,52.16865079365079,10.952970212220556,29.0,80.0,54.0,-19.0,0.0
fault_event_20,fault_event,20,11,2018-06-25 10:49:00,2018-07-02 10:49:00,7.0,730,1008,0.7242063492063492,0,,fault_record,2018-07-02 10:49:00,2018-06-29 05:00:00,2018-07-02 19:02:04,2015-02-25 14:00:00,2018-06-18 10:49:00,"Safety relief valve: Water loss, does not close properly",True,False,True,True,False,event20_low_coverage_excluded,excluded,3.2423611111111112,3.5847685185185183,14.0,23.578673395818313,5.407202943096374,14.2,41.4,22.35,2.099999999999998,0.0,45.825282624369144,2.0043676984102023,24.0,50.1,45.5,-2.299999999999997,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,35.740711607786594,1.735833726659984,22.3,39.0,36.0,-6.5000000000000036,0.0,289987.5683639793,102.99116634626792,289836.6666666667,290244.0,289975.3333333333,407.33333333331393,0.031506849315068496,5983.042040753182,3.281868046895669,5977.908333333334,5990.5,5982.76,12.591666666666242,0.031506849315068496,2.740541018387553,2.611659314858427,1.0,16.0,1.3333333333333337,0.0,0.031506849315068496,101.28180987741631,55.70690627099375,58.0,352.0,72.0,-30.0,0.031506849315068496,82.84324905704855,1.8063204575063578,78.0,87.0,82.33333333333333,0.0,0.031506849315068496,57.528524280999534,3.589581422492991,41.0,61.0,59.66666666666666,-1.1666666666666785,0.031506849315068496
