dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.45,17,0.8823529411764706,0.8712121212121212,0.8712121212121212,0.7878787878787878,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9090909090909091,0.9090909090909091,0.9090909090909091,6,11,0.16666666666666666,5,1,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.5,17,0.8235294117647058,0.8257575757575758,0.8131868131868132,0.7878787878787878,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.9,0.8181818181818182,0.8571428571428571,6,11,0.16666666666666666,5,1,2,9
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.55,17,0.6470588235294118,0.6893939393939394,0.6458333333333333,0.7878787878787878,0.5,0.8333333333333334,0.625,0.8571428571428571,0.5454545454545454,0.6666666666666666,6,11,0.16666666666666666,5,1,5,6
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,1,fold,73.0,17,2|4|5|6|8|9|11|12|13|14|15|16|17|18|19|20|21|22|24|26|27|28|29|30|31|32,1|3|7|23|25,0,0.6,17,0.5294117647058824,0.5984848484848485,0.5277777777777778,0.7878787878787878,0.4166666666666667,0.8333333333333334,0.5555555555555556,0.8,0.36363636363636365,0.5,6,11,0.16666666666666666,5,1,7,4
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.45,19,0.8947368421052632,0.8920454545454546,0.8920454545454546,0.9772727272727273,0.875,0.875,0.875,0.9090909090909091,0.9090909090909091,0.9090909090909091,8,11,0.125,7,1,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.5,19,0.9473684210526315,0.9545454545454546,0.9467787114845938,0.9772727272727273,0.8888888888888888,1.0,0.9411764705882353,1.0,0.9090909090909091,0.9523809523809523,8,11,0.0,8,0,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.55,19,0.8947368421052632,0.9090909090909092,0.8944444444444444,0.9772727272727273,0.8,1.0,0.8888888888888888,1.0,0.8181818181818182,0.9,8,11,0.0,8,0,2,9
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,2,fold,71.0,19,1|2|3|4|5|6|7|8|9|11|12|13|14|17|21|22|23|24|25|26|27|29|30|31|32,15|16|18|19|20|28,0,0.6,19,0.7894736842105263,0.8181818181818181,0.788888888888889,0.9772727272727273,0.6666666666666666,1.0,0.8,1.0,0.6363636363636364,0.7777777777777778,8,11,0.0,8,0,4,7
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0,0.45,18,0.7777777777777778,0.7402597402597402,0.75,0.8311688311688311,0.8,0.5714285714285714,0.6666666666666666,0.7692307692307693,0.9090909090909091,0.8333333333333334,7,11,0.42857142857142855,4,3,1,10
fault_no_overlap,fault,compact13,13,random_forest_balanced_depth3,3,fold,72.0,18,1|2|3|4|7|11|12|13|14|15|16|18|19|20|22|23|24|25|26|27|28|29|30|31|32,5|6|8|9|17|21,0,0.5,18,0.7222222222222222,0.6948051948051948,0.6989966555183946,0.8311688311688311,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.75,0.8181818181818182,0.782608695652174,7,11,0.42857142857142855,4,3,2,9
