scope,fault_group,event_count,stable_crossing_detection_rate,median_stable_lead_time_hours,median_stable_lead_time_days,leadtime_label,leadtime_confidence,operational_meaning,d0_detection_rate,group_weight,median_priority_score,included_event_ids,scope_excluded_event_ids,leadtime_lock_decision,priority_v1_usage
main,control_controller,12,0.8333333333333334,0.0,0.0,report_time_only,high,same_day_fault_signal,0.8333333333333334,1.0,92.29069825526138,3|6|23|32|36|37|44|49|52|60|62|63,,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
main,pump_failure,5,0.8,12.0,0.5,short_stable,high,short_leadtime_warning_candidate,0.8,0.6360425531914894,82.59752557305802,5|13|15|24|47,,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
main,valve_actuator,5,0.6,0.0,0.0,report_time_only,medium,same_day_fault_signal,0.6,0.5808936170212766,75.7003590160426,1|11|29|53|67,,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
main,pressure_regulator,4,1.0,0.0,0.0,report_time_only,high,same_day_fault_signal,1.0,0.5217021276595746,90.92454540412068,7|38|57|64,,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
main,leakage_water_loss,5,0.6,168.0,7.0,early_stable,medium,days_before_warning_candidate,0.6,0.4440425531914893,68.4275435478636,10|20|40|45|65,,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
main,unknown_review,2,0.5,0.0,0.0,review_only,review,manual_review_only,0.5,0.0999999999999999,54.43797354457911,34|69,,review_only,context_only_priority_formula_unchanged
clean,control_controller,12,0.8333333333333334,0.0,0.0,report_time_only,high,same_day_fault_signal,0.8333333333333334,1.0,92.29069825526138,3|6|23|32|36|37|44|49|52|60|62|63,20|34|67|69,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
clean,pump_failure,5,0.8,12.0,0.5,short_stable,high,short_leadtime_warning_candidate,0.8,0.6360425531914894,82.59752557305802,5|13|15|24|47,20|34|67|69,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
clean,valve_actuator,4,0.5,84.0,3.5,early_stable,medium,days_before_warning_candidate,0.5,0.5808936170212766,50.536374023550344,1|11|29|53,20|34|67|69,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
clean,pressure_regulator,4,1.0,0.0,0.0,report_time_only,high,same_day_fault_signal,1.0,0.5217021276595746,90.92454540412068,7|38|57|64,20|34|67|69,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
clean,leakage_water_loss,4,0.75,168.0,7.0,early_stable,high,days_before_warning_candidate,0.75,0.4440425531914893,71.04408013276651,10|40|45|65,20|34|67|69,group_leadtime_locked_as_audit,context_only_priority_formula_unchanged
clean,unknown_review,0,,,,review_only,review,manual_review_only,,0.0999999999999999,,,20|34|67|69,review_only,context_only_priority_formula_unchanged
