event_id,substation_id,fault_group,fault_label,problem_en,efd_possible,monitoring_potential,report_date,d0_probability,d0_prediction,first_crossing_lead_time_hours,stable_crossing_lead_time_hours,first_crossing_lead_time_days,stable_crossing_lead_time_days,first_crossing_detected,stable_crossing_detected,min_coverage_rate,low_coverage_window_count,event20_low_coverage_flag,event67_long_anomaly_flag,unknown_fault_label_flag,training_end_missing_flag,review_reason,main_scope_included,clean_scope_included,group_weight,priority_score,priority_tier,anchor_d_minus_7_probability,anchor_d_minus_7_prediction,anchor_d_minus_7_coverage_rate,anchor_d_minus_5_probability,anchor_d_minus_5_prediction,anchor_d_minus_5_coverage_rate,anchor_d_minus_3_probability,anchor_d_minus_3_prediction,anchor_d_minus_3_coverage_rate,anchor_d_minus_1_probability,anchor_d_minus_1_prediction,anchor_d_minus_1_coverage_rate,anchor_d_minus_12h_probability,anchor_d_minus_12h_prediction,anchor_d_minus_12h_coverage_rate,anchor_d0_probability,anchor_d0_prediction,anchor_d0_coverage_rate
3,12,control_controller,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,0.9854038165062012,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,99.19720990784108,high,0.813773910004676,1,1.0,0.1179888756360001,0,1.0,0.4933385979705606,0,1.0,0.4315144885561798,0,1.0,0.1778343925360539,0,1.0,0.9854038165062012,1,1.0
6,21,control_controller,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,0.7491923592094238,1,120.0,0.0,5.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,86.20557975651832,high,0.4756988746814374,0,1.0,0.7039403048749117,1,1.0,0.6587552889662865,1,1.0,0.7312420296384216,1,1.0,0.2133630651363454,0,1.0,0.7491923592094238,1,1.0
23,27,control_controller,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2020-01-20 12:57:00,0.8988810889643669,1,72.0,0.0,3.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,94.4384598930402,high,0.5495054997333072,0,1.0,0.4655106638090713,0,1.0,0.7608388431350168,1,1.0,0.7890481676738575,1,1.0,0.0253848969334502,0,1.0,0.8988810889643669,1,1.0
32,21,control_controller,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2019-10-19 10:38:00,0.8608889625407858,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,92.34889293974324,high,0.8555365450326956,1,1.0,0.9249719618168896,1,1.0,0.6343337294923145,1,1.0,0.7600670539256772,1,1.0,0.0699138098385002,0,1.0,0.8608889625407858,1,1.0
36,7,control_controller,Control unit: Incorrect parameterisation,not enough heat,False,4.0,2015-04-02 20:05:00,0.424850296100838,0,,,,,False,False,1.0,0,False,False,False,True,training_end_missing,True,True,1.0,38.36676628554609,monitor,0.019958292515707,0,1.0,0.0346578883869144,0,1.0,0.0603185345766233,0,1.0,0.2758892792760688,0,1.0,0.5742797071642932,0,1.0,0.424850296100838,0,1.0
37,19,control_controller,Control unit: Incorrect parameterisation,no heat,True,4.0,2018-11-21 09:15:00,0.7571231753353214,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,86.64177464344269,high,0.9448376401091202,1,1.0,0.6572710351165312,1,1.0,0.1477748664466314,0,1.0,0.1908477472858564,0,1.0,0.15908211449619,0,1.0,0.7571231753353214,1,1.0
44,8,control_controller,Temperature monitor/controller defective,no DHW,True,3.0,2018-04-27 08:15:00,0.8587727921959915,1,12.0,12.0,0.5,0.5,True,True,1.0,0,False,False,False,False,,True,True,1.0,92.23250357077951,high,0.2147609627841049,0,1.0,0.0691521436742779,0,1.0,0.3615042611947638,0,1.0,0.4687951369526405,0,1.0,0.8291767687458999,1,1.0,0.8587727921959915,1,1.0
49,18,control_controller,Control unit: Incorrect parameterisation,no DHW,True,4.0,2019-05-04 07:19:00,0.9607645319901588,1,0.0,0.0,0.0,0.0,True,True,0.9970238095238096,0,False,False,False,False,,True,True,1.0,97.84204925945876,high,0.0717463006927262,0,1.0,0.3987204184591411,0,1.0,0.512961754864962,0,1.0,0.2187292994003405,0,1.0,0.353568522929499,0,0.9970238095238096,0.9607645319901588,1,0.9970238095238096
52,21,control_controller,Control unit: Incorrect parameterisation,no heat,True,4.0,2016-12-12 15:55:00,0.7913210418417054,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,88.52265730129379,high,0.8153758189918622,1,1.0,0.3543816976933571,0,1.0,0.1582853883215331,0,1.0,0.4661915395285949,0,1.0,0.3571697996878466,0,1.0,0.7913210418417054,1,1.0
60,4,control_controller,Control unit: Incorrect parameterisation,no heat,False,4.0,2015-03-18 18:54:00,0.9113455182824092,1,72.0,0.0,3.0,0.0,True,True,1.0,0,False,False,False,True,training_end_missing,True,True,1.0,95.1240035055325,high,0.4600968466116025,0,1.0,0.4166013899720316,0,1.0,0.7745150879353724,1,1.0,0.8771276270855505,1,1.0,0.1467737135047773,0,1.0,0.9113455182824092,1,1.0
62,21,control_controller,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2019-01-21 08:17:00,0.8765293531986366,1,24.0,0.0,1.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,1.0,93.20911442592502,high,0.2896894861075569,0,1.0,0.4359906408323165,0,1.0,0.4480542488365588,0,1.0,0.8466907977715994,1,1.0,0.351417615125329,0,1.0,0.8765293531986366,1,1.0
63,7,control_controller,Control unit: Incorrect parameterisation,not enough heat,False,4.0,2015-03-26 07:15:00,0.56641143681874,0,168.0,,7.0,,True,False,1.0,0,False,False,False,True,training_end_missing,True,True,1.0,46.1526290250307,monitor,0.8756683537278783,1,1.0,0.074768353499379,0,1.0,0.6235236174640755,1,1.0,0.7149258956906401,1,1.0,0.447480400927946,0,1.0,0.56641143681874,0,1.0
10,30,leakage_water_loss,Leakage,leakage,True,1.75,2020-03-16 15:04:00,0.9999996076326736,1,168.0,168.0,7.0,7.0,True,True,1.0,0,False,False,False,False,,True,True,0.4440425531914893,73.6606167176694,medium,0.7721224222578716,1,1.0,0.99956564813878,1,1.0,0.9999975342134568,1,1.0,0.9999999142860104,1,1.0,0.9818174996958238,1,1.0,0.9999996076326736,1,1.0
20,11,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",no DHW,True,2.0,2018-07-02 10:49:00,0.3455281549894983,0,168.0,,7.0,,True,False,0.7242063492063492,3,True,False,False,False,event20_low_coverage,True,False,0.4440425531914893,25.664686822294748,monitor,0.9795427567007778,1,1.0,0.9797638865149132,1,1.0,0.8666090812242544,1,1.0,0.1136487790567346,0,0.8531746031746031,0.1227707677604865,0,0.7817460317460317,0.3455281549894983,0,0.7242063492063492
40,24,leakage_water_loss,"Safety relief valve: Water loss, does not close properly",leakage,True,2.0,2016-04-07 07:47:00,0.9048528227271138,1,168.0,168.0,7.0,7.0,True,True,0.9950396825396826,0,False,False,False,False,,True,True,0.4440425531914893,68.4275435478636,medium,0.7702548074078508,1,1.0,0.64102957898094,1,1.0,0.7007444256406479,1,0.9950396825396826,0.8901563080141282,1,0.9950396825396826,0.8242450499648745,1,0.9950396825396826,0.9048528227271138,1,0.9950396825396826
45,31,leakage_water_loss,"Heat exchanger: Leakage, external",leakage,True,2.0,2020-01-13 15:48:00,0.5164229643582501,0,72.0,,3.0,,True,False,1.0,0,False,False,False,False,,True,True,0.4440425531914893,35.0639013375761,monitor,0.4089781530797997,0,1.0,0.0518329974454471,0,1.0,0.7760951362035077,1,1.0,0.3415545153306868,0,1.0,0.2935809835817187,0,1.0,0.5164229643582501,0,1.0
65,11,leakage_water_loss,Leakage,leakage,True,1.75,2019-01-14 11:58:00,0.8446260072854247,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.4440425531914893,83.11506869857071,high,0.6584207029776522,1,1.0,0.1259422676198999,0,1.0,0.88516558838479,1,1.0,0.6219143747921675,1,1.0,0.13083631429311,0,1.0,0.8446260072854247,1,1.0
7,26,pressure_regulator,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,0.9999942585433894,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.5217021276595746,92.82521613478004,high,0.99054195863958,1,1.0,0.9811987584866348,1,1.0,0.9995358386552968,1,1.0,0.99011528351083,1,1.0,0.0024947987362329,0,1.0,0.9999942585433894,1,1.0
38,24,pressure_regulator,Incorrect setting of the differential pressure regulator,not enough heat,True,3.1,2016-10-24 13:55:00,0.957392448736166,1,168.0,0.0,7.0,0.0,True,True,1.0,0,False,False,False,False,,True,True,0.5217021276595746,90.48211659538276,high,0.9955282557949312,1,1.0,0.9976087434514777,1,1.0,0.5223821547017584,0,1.0,0.8327132254402348,1,1.0,0.067610192522632,0,1.0,0.957392448736166,1,1.0
