scope,fault_group,event_count,profile_event_count,included_event_ids,scope_excluded_event_ids,efd_possible_true_count,d0_detection_rate,first_crossing_event_count,first_crossing_detection_rate,stable_crossing_event_count,stable_crossing_detection_rate,median_first_lead_time_hours,median_first_lead_time_days,median_stable_lead_time_hours,median_stable_lead_time_days,p25_stable_lead_time_hours,p75_stable_lead_time_hours,event20_included_count,event67_included_count,unknown_event_included_count,training_end_missing_count,min_coverage_rate,median_priority_score,group_weight,leadtime_label,leadtime_confidence,operational_meaning,d_minus_7_detection_rate,d_minus_5_detection_rate,d_minus_3_detection_rate,d_minus_1_detection_rate,d_minus_12h_detection_rate
main,control_controller,12,12,3|6|23|32|36|37|44|49|52|60|62|63,,9,0.8333333333333334,11,0.9166666666666666,10,0.8333333333333334,120.0,5.0,0.0,0.0,0.0,0.0,0,0,0,3,0.9970238095238096,92.29069825526138,1.0,report_time_only,high,same_day_fault_signal,0.4166666666666667,0.25,0.4166666666666667,0.5,0.08333333333333333
main,pump_failure,5,5,5|13|15|24|47,,5,0.8,5,1.0,4,0.8,168.0,7.0,12.0,0.5,0.0,36.0,0,0,0,0,1.0,82.59752557305802,0.6360425531914894,short_stable,high,short_leadtime_warning_candidate,0.6,0.6,0.6,0.8,0.4
main,valve_actuator,5,5,1|11|29|53|67,,4,0.6,5,1.0,3,0.6,168.0,7.0,0.0,0.0,0.0,84.0,0,1,0,1,1.0,75.7003590160426,0.5808936170212766,report_time_only,medium,same_day_fault_signal,1.0,0.8,1.0,1.0,0.2
main,pressure_regulator,4,4,7|38|57|64,,4,1.0,4,1.0,4,1.0,168.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,90.92454540412068,0.5217021276595746,report_time_only,high,same_day_fault_signal,0.75,0.75,0.75,0.75,0.0
main,leakage_water_loss,5,5,10|20|40|45|65,,5,0.6,5,1.0,3,0.6,168.0,7.0,168.0,7.0,84.0,168.0,1,0,0,0,0.7242063492063492,68.4275435478636,0.4440425531914893,early_stable,medium,days_before_warning_candidate,0.8,0.6,1.0,0.6,0.4
main,unknown_review,2,2,34|69,,2,0.5,2,1.0,1,0.5,96.0,4.0,0.0,0.0,0.0,0.0,0,0,2,1,1.0,54.43797354457911,0.0999999999999999,review_only,review,manual_review_only,0.5,0.5,0.5,1.0,0.5
clean,control_controller,12,12,3|6|23|32|36|37|44|49|52|60|62|63,20|34|67|69,9,0.8333333333333334,11,0.9166666666666666,10,0.8333333333333334,120.0,5.0,0.0,0.0,0.0,0.0,0,0,0,3,0.9970238095238096,92.29069825526138,1.0,report_time_only,high,same_day_fault_signal,0.4166666666666667,0.25,0.4166666666666667,0.5,0.08333333333333333
clean,pump_failure,5,5,5|13|15|24|47,20|34|67|69,5,0.8,5,1.0,4,0.8,168.0,7.0,12.0,0.5,0.0,36.0,0,0,0,0,1.0,82.59752557305802,0.6360425531914894,short_stable,high,short_leadtime_warning_candidate,0.6,0.6,0.6,0.8,0.4
clean,valve_actuator,4,5,1|11|29|53,20|34|67|69,3,0.5,4,1.0,2,0.5,168.0,7.0,84.0,3.5,42.0,126.0,0,0,0,1,1.0,50.536374023550344,0.5808936170212766,early_stable,medium,days_before_warning_candidate,1.0,0.75,1.0,1.0,0.25
clean,pressure_regulator,4,4,7|38|57|64,20|34|67|69,4,1.0,4,1.0,4,1.0,168.0,7.0,0.0,0.0,0.0,0.0,0,0,0,0,1.0,90.92454540412068,0.5217021276595746,report_time_only,high,same_day_fault_signal,0.75,0.75,0.75,0.75,0.0
clean,leakage_water_loss,4,5,10|40|45|65,20|34|67|69,4,0.75,4,1.0,3,0.75,168.0,7.0,168.0,7.0,84.0,168.0,0,0,0,0,0.9950396825396826,71.04408013276651,0.4440425531914893,early_stable,high,days_before_warning_candidate,0.75,0.5,1.0,0.75,0.5
clean,unknown_review,0,2,,20|34|67|69,0,,0,,0,,,,,,,,0,0,0,0,,,0.0999999999999999,review_only,review,manual_review_only,,,,,
