strategy,feature,coefficient,abs_coefficient,train_rows,train_positive,train_normal,importance_rank
reference_compact13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,1.2916617712115044,1.2916617712115044,49,14,35,1
reference_compact13,s_hc1_supply_temperature_error__last_minus_first,-1.1101512680622578,1.1101512680622578,49,14,35,2
reference_compact13,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.7095668348860029,0.7095668348860029,49,14,35,3
reference_compact13,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,-0.6594610016366662,0.6594610016366662,49,14,35,4
reference_compact13,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.6261012444827758,0.6261012444827758,49,14,35,5
reference_compact13,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,-0.6255843080050729,0.6255843080050729,49,14,35,6
reference_compact13,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.6133668382533571,0.6133668382533571,49,14,35,7
reference_compact13,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.5487859820388699,0.5487859820388699,49,14,35,8
reference_compact13,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,-0.5149975989165103,0.5149975989165103,49,14,35,9
reference_compact13,p_return_gap__last_minus_first,0.342814340028398,0.342814340028398,49,14,35,10
reference_compact13,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,-0.3343435250156455,0.3343435250156455,49,14,35,11
reference_compact13,outdoor_temperature__last_minus_first,0.25129450417533833,0.25129450417533833,49,14,35,12
reference_compact13,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,-0.14771106318751615,0.14771106318751615,49,14,35,13
expanded_compact13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,1.8942149737359741,1.8942149737359741,131,26,105,1
expanded_compact13,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,-1.6006824664689951,1.6006824664689951,131,26,105,2
expanded_compact13,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.7327762766745982,0.7327762766745982,131,26,105,3
expanded_compact13,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,-0.6657598397896803,0.6657598397896803,131,26,105,4
expanded_compact13,s_hc1_supply_temperature_error__last_minus_first,-0.6481453621487259,0.6481453621487259,131,26,105,5
expanded_compact13,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,-0.6265258081218069,0.6265258081218069,131,26,105,6
expanded_compact13,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,0.43186293894050665,0.43186293894050665,131,26,105,7
expanded_compact13,p_net_meter_flow__last_1d_std_minus_prev_6d_std,-0.3043632080898123,0.3043632080898123,131,26,105,8
expanded_compact13,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,-0.14176771347023528,0.14176771347023528,131,26,105,9
expanded_compact13,p_return_gap__last_1d_mean_minus_prev_6d_mean,0.10920239619855825,0.10920239619855825,131,26,105,10
expanded_compact13,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,-0.10787417299760488,0.10787417299760488,131,26,105,11
expanded_compact13,outdoor_temperature__last_minus_first,-0.07062473387340089,0.07062473387340089,131,26,105,12
expanded_compact13,p_return_gap__last_minus_first,0.04310374230839886,0.04310374230839886,131,26,105,13
