event_id,substation_id,fault_label,problem_en,efd_possible,monitoring_potential,report_date,anchor_label,lead_time_hours,anchor_time,window_start,window_end,expected_sample_count,sample_count,coverage_rate,low_coverage_flag,event20_low_coverage_flag,event67_long_anomaly_flag,unknown_fault_label_flag,training_end_missing_flag
1,10,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,D-7,168.0,2014-04-27 14:44:00,2014-04-20 14:44:00,2014-04-27 14:44:00,1008,1008,1.0,False,False,False,False,False
1,10,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,D-5,120.0,2014-04-29 14:44:00,2014-04-22 14:44:00,2014-04-29 14:44:00,1008,1008,1.0,False,False,False,False,False
1,10,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,D-3,72.0,2014-05-01 14:44:00,2014-04-24 14:44:00,2014-05-01 14:44:00,1008,1008,1.0,False,False,False,False,False
1,10,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,D-1,24.0,2014-05-03 14:44:00,2014-04-26 14:44:00,2014-05-03 14:44:00,1008,1008,1.0,False,False,False,False,False
1,10,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,D-12h,12.0,2014-05-04 02:44:00,2014-04-27 02:44:00,2014-05-04 02:44:00,1008,1008,1.0,False,False,False,False,False
1,10,Motorised control valve (primary side): Actuator defective,no DHW,True,3.4,2014-05-04 14:44:00,D-0,0.0,2014-05-04 14:44:00,2014-04-27 14:44:00,2014-05-04 14:44:00,1008,1008,1.0,False,False,False,False,False
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,D-7,168.0,2015-11-24 10:56:00,2015-11-17 10:56:00,2015-11-24 10:56:00,1008,1008,1.0,False,False,False,False,False
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,D-5,120.0,2015-11-26 10:56:00,2015-11-19 10:56:00,2015-11-26 10:56:00,1008,1008,1.0,False,False,False,False,False
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,D-3,72.0,2015-11-28 10:56:00,2015-11-21 10:56:00,2015-11-28 10:56:00,1008,1008,1.0,False,False,False,False,False
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,D-1,24.0,2015-11-30 10:56:00,2015-11-23 10:56:00,2015-11-30 10:56:00,1008,1008,1.0,False,False,False,False,False
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,D-12h,12.0,2015-11-30 22:56:00,2015-11-23 22:56:00,2015-11-30 22:56:00,1008,1008,1.0,False,False,False,False,False
3,12,Control unit: Incorrect parameterisation,no heat,True,4.0,2015-12-01 10:56:00,D-0,0.0,2015-12-01 10:56:00,2015-11-24 10:56:00,2015-12-01 10:56:00,1008,1008,1.0,False,False,False,False,False
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,D-7,168.0,2018-11-16 08:30:00,2018-11-09 08:30:00,2018-11-16 08:30:00,1008,1008,1.0,False,False,False,False,False
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,D-5,120.0,2018-11-18 08:30:00,2018-11-11 08:30:00,2018-11-18 08:30:00,1008,1008,1.0,False,False,False,False,False
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,D-3,72.0,2018-11-20 08:30:00,2018-11-13 08:30:00,2018-11-20 08:30:00,1008,1008,1.0,False,False,False,False,False
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,D-1,24.0,2018-11-22 08:30:00,2018-11-15 08:30:00,2018-11-22 08:30:00,1008,1008,1.0,False,False,False,False,False
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,D-12h,12.0,2018-11-22 20:30:00,2018-11-15 20:30:00,2018-11-22 20:30:00,1008,1008,1.0,False,False,False,False,False
5,11,Failure of the heating circuit pump,no heat,True,3.8,2018-11-23 08:30:00,D-0,0.0,2018-11-23 08:30:00,2018-11-16 08:30:00,2018-11-23 08:30:00,1008,1008,1.0,False,False,False,False,False
6,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,D-7,168.0,2016-11-29 13:12:00,2016-11-22 13:12:00,2016-11-29 13:12:00,1008,1008,1.0,False,False,False,False,False
6,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,D-5,120.0,2016-12-01 13:12:00,2016-11-24 13:12:00,2016-12-01 13:12:00,1008,1008,1.0,False,False,False,False,False
6,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,D-3,72.0,2016-12-03 13:12:00,2016-11-26 13:12:00,2016-12-03 13:12:00,1008,1008,1.0,False,False,False,False,False
6,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,D-1,24.0,2016-12-05 13:12:00,2016-11-28 13:12:00,2016-12-05 13:12:00,1008,1008,1.0,False,False,False,False,False
6,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,D-12h,12.0,2016-12-06 01:12:00,2016-11-29 01:12:00,2016-12-06 01:12:00,1008,1008,1.0,False,False,False,False,False
6,21,Control unit: Incorrect parameterisation,not enough heat,True,4.0,2016-12-06 13:12:00,D-0,0.0,2016-12-06 13:12:00,2016-11-29 13:12:00,2016-12-06 13:12:00,1008,1008,1.0,False,False,False,False,False
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,D-7,168.0,2020-06-06 10:38:00,2020-05-30 10:38:00,2020-06-06 10:38:00,1008,1008,1.0,False,False,False,False,False
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,D-5,120.0,2020-06-08 10:38:00,2020-06-01 10:38:00,2020-06-08 10:38:00,1008,1008,1.0,False,False,False,False,False
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,D-3,72.0,2020-06-10 10:38:00,2020-06-03 10:38:00,2020-06-10 10:38:00,1008,1008,1.0,False,False,False,False,False
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,D-1,24.0,2020-06-12 10:38:00,2020-06-05 10:38:00,2020-06-12 10:38:00,1008,1008,1.0,False,False,False,False,False
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,D-12h,12.0,2020-06-12 22:38:00,2020-06-05 22:38:00,2020-06-12 22:38:00,1008,1008,1.0,False,False,False,False,False
7,26,Incorrect setting of the differential pressure regulator,no DHW,True,3.1,2020-06-13 10:38:00,D-0,0.0,2020-06-13 10:38:00,2020-06-06 10:38:00,2020-06-13 10:38:00,1008,1008,1.0,False,False,False,False,False
10,30,Leakage,leakage,True,1.75,2020-03-16 15:04:00,D-7,168.0,2020-03-09 15:04:00,2020-03-02 15:04:00,2020-03-09 15:04:00,1008,1008,1.0,False,False,False,False,False
10,30,Leakage,leakage,True,1.75,2020-03-16 15:04:00,D-5,120.0,2020-03-11 15:04:00,2020-03-04 15:04:00,2020-03-11 15:04:00,1008,1008,1.0,False,False,False,False,False
