dataset_id,feature_set,feature,signal,stat,mean_coefficient,mean_abs_coefficient,std_coefficient
strict_no_event20,base70,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.5136689890807213,0.5136689890807213,0.34407699149388615
strict_no_event20,base70,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.49851121492170825,0.49851121492170825,0.2791680597746533
strict_no_event20,base70,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.3518230716606302,0.47596054069399035,0.41060788375522617
strict_no_event20,base70,p_net_supply_temperature__max,p_net_supply_temperature,max,0.45518770622261207,0.45518770622261207,0.25852840054035897
strict_no_event20,base70,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.4465041477143387,0.4465041477143387,0.13606686199985868
strict_no_event20,base70,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature,last_minus_first,-0.4407020023446206,0.4407020023446206,0.18812092030226404
strict_no_event20,base70,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.4314972402282001,0.4314972402282001,0.16356768825579412
strict_no_event20,base70,p_hc1_return_temperature__mean,p_hc1_return_temperature,mean,0.4299412507153134,0.4299412507153134,0.08734034319731006
strict_no_event20,base70,p_net_return_temperature__min,p_net_return_temperature,min,-0.3615628656650968,0.41471833915750134,0.307869542756579
strict_no_event20,base70,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.39705608500928236,0.39705608500928236,0.1967591404448841
strict_no_event20,base70,outdoor_temperature__max,outdoor_temperature,max,0.3917811287005894,0.3917811287005894,0.08707288379170297
strict_no_event20,base70,p_net_meter_flow__min,p_net_meter_flow,min,-0.3252865084515357,0.38339035544742645,0.2788728493187342
strict_no_event20,base70,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.3722329782520545,0.3815278693705745,0.22956974628733764
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint,min,0.360880442786386,0.360880442786386,0.19529478613409287
strict_no_event20,base70,p_hc1_return_temperature__median,p_hc1_return_temperature,median,0.35320339709989457,0.35320339709989457,0.11734032411407194
strict_no_event20,base70,p_net_meter_flow__max,p_net_meter_flow,max,-0.30785517187711353,0.34463089278693587,0.24128544876618657
strict_no_event20,base70,p_net_meter_heat_power__min,p_net_meter_heat_power,min,-0.20904654271501294,0.3210230067740913,0.31762380120318856
strict_no_event20,base70,p_net_meter_heat_power__max,p_net_meter_heat_power,max,0.31960575500397265,0.31960575500397265,0.12310339534299988
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,-0.022963551428476704,0.3078198328401408,0.45112751646481997
strict_no_event20,base70,s_hc1_supply_temperature__max,s_hc1_supply_temperature,max,-0.3033970495475241,0.3033970495475241,0.2547441879185908
strict_no_event20,base70,p_net_return_temperature__std,p_net_return_temperature,std,0.2867665872575121,0.2867665872575121,0.27545144299837016
strict_no_event20,base70,p_net_supply_temperature__std,p_net_supply_temperature,std,0.2278223776396379,0.28615012057508105,0.31728827987775987
strict_no_event20,base70,p_net_meter_flow__last_minus_first,p_net_meter_flow,last_minus_first,-0.27335697272311316,0.27335697272311316,0.16491014803656326
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint,std,-0.20285046855017322,0.25558886049654406,0.18966725497892356
strict_no_event20,base70,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power,last_minus_first,-0.25453533879864393,0.25453533879864393,0.10367985072905815
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint,median,-0.24944880600513802,0.24944880600513802,0.06422867939348319
strict_no_event20,base70,p_net_meter_flow__std,p_net_meter_flow,std,-0.20246717632840472,0.24781329428951454,0.17842213509186877
strict_no_event20,base70,outdoor_temperature__std,outdoor_temperature,std,0.2373279736953519,0.239380803743155,0.1516663617430102
strict_no_event20,base70,p_net_meter_heat_power__mean,p_net_meter_heat_power,mean,0.19202088502441111,0.20103091476109505,0.1373850837986424
strict_no_event20,base70,p_net_return_temperature__max,p_net_return_temperature,max,-0.017621449338177213,0.18900120970087012,0.26075940920488583
strict_no_event20,base70,p_net_supply_temperature__mean,p_net_supply_temperature,mean,0.18459900797571005,0.18459900797571005,0.09976946288843627
strict_no_event20,base70,s_hc1_supply_temperature_setpoint__max,s_hc1_supply_temperature_setpoint,max,-0.18220723129576646,0.18220723129576646,0.1528414546279058
strict_no_event20,base70,p_net_return_temperature__mean,p_net_return_temperature,mean,0.15443643609240368,0.18190010226011094,0.15271680333832688
