accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,feature_set,model,threshold,rows,normal_rows,positive_rows,false_positive_rate,false_negative_rate
0.5510204081632653,0.5357142857142857,0.3181818181818182,0.5,0.3888888888888889,0.6040816326530613,20,15,7,7,strict_no_event20,base70,logistic_balanced,0.4,49,35,14,0.42857142857142855,0.5
0.6122448979591837,0.5785714285714285,0.3684210526315789,0.5,0.42424242424242425,0.6040816326530613,23,12,7,7,strict_no_event20,base70,logistic_balanced,0.5,49,35,14,0.34285714285714286,0.5
0.673469387755102,0.6214285714285714,0.4375,0.5,0.4666666666666667,0.6040816326530613,26,9,7,7,strict_no_event20,base70,logistic_balanced,0.6,49,35,14,0.2571428571428571,0.5
0.673469387755102,0.6,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.6040816326530613,27,8,8,6,strict_no_event20,base70,logistic_balanced,0.7,49,35,14,0.22857142857142856,0.5714285714285714
0.6122448979591837,0.6,0.38095238095238093,0.5714285714285714,0.45714285714285713,0.6775510204081633,22,13,6,8,strict_no_event20,expanded154,logistic_balanced,0.4,49,35,14,0.37142857142857144,0.42857142857142855
0.6530612244897959,0.6285714285714286,0.42105263157894735,0.5714285714285714,0.48484848484848486,0.6775510204081633,24,11,6,8,strict_no_event20,expanded154,logistic_balanced,0.5,49,35,14,0.3142857142857143,0.42857142857142855
0.7142857142857143,0.65,0.5,0.5,0.5,0.6775510204081633,28,7,7,7,strict_no_event20,expanded154,logistic_balanced,0.6,49,35,14,0.2,0.5
0.7142857142857143,0.6285714285714286,0.5,0.42857142857142855,0.46153846153846156,0.6775510204081633,29,6,8,6,strict_no_event20,expanded154,logistic_balanced,0.7,49,35,14,0.17142857142857143,0.5714285714285714
0.6041666666666666,0.5835164835164834,0.35,0.5384615384615384,0.42424242424242425,0.6483516483516484,22,13,6,7,strict_no_event20_no_event67,base70,logistic_balanced,0.4,48,35,13,0.37142857142857144,0.46153846153846156
0.6041666666666666,0.5835164835164834,0.35,0.5384615384615384,0.42424242424242425,0.6483516483516484,22,13,6,7,strict_no_event20_no_event67,base70,logistic_balanced,0.5,48,35,13,0.37142857142857144,0.46153846153846156
0.6458333333333334,0.6120879120879121,0.3888888888888889,0.5384615384615384,0.45161290322580644,0.6483516483516484,24,11,6,7,strict_no_event20_no_event67,base70,logistic_balanced,0.6,48,35,13,0.3142857142857143,0.46153846153846156
0.6666666666666666,0.6021978021978023,0.4,0.46153846153846156,0.42857142857142855,0.6483516483516484,26,9,7,6,strict_no_event20_no_event67,base70,logistic_balanced,0.7,48,35,13,0.2571428571428571,0.5384615384615384
0.7291666666666666,0.7175824175824176,0.5,0.6923076923076923,0.5806451612903226,0.7384615384615385,26,9,4,9,strict_no_event20_no_event67,expanded154,logistic_balanced,0.4,48,35,13,0.2571428571428571,0.3076923076923077
0.75,0.7076923076923077,0.5333333333333333,0.6153846153846154,0.5714285714285714,0.7384615384615385,28,7,5,8,strict_no_event20_no_event67,expanded154,logistic_balanced,0.5,48,35,13,0.2,0.38461538461538464
0.75,0.6593406593406593,0.5454545454545454,0.46153846153846156,0.5,0.7384615384615385,30,5,7,6,strict_no_event20_no_event67,expanded154,logistic_balanced,0.6,48,35,13,0.14285714285714285,0.5384615384615384
0.75,0.6351648351648351,0.5555555555555556,0.38461538461538464,0.45454545454545453,0.7384615384615385,31,4,8,5,strict_no_event20_no_event67,expanded154,logistic_balanced,0.7,48,35,13,0.11428571428571428,0.6153846153846154
