source_id,final_class,source_event_id,fault_event_id,disturbance_row_id,substation_id,window_start,window_end,coverage_rate,hard_normal_tag,fault_probability,fault_gate_on,fault_near_threshold,fault_y_true,task_probability,task_gate_on,task_near_threshold,task_y_true,activity_probability,activity_gate_on,activity_near_threshold,activity_y_true,primary_state,secondary_tags,review_flag,review_reasons,why_reason,fault_event_id_str,risk_probability,priority_score,priority_tier,fault_group,leadtime_urgency,group_weight
disturbance_0001,fault,69.0,69.0,1.0,26,2020-03-03 15:49:00,2020-03-10 15:49:00,1.0,,0.556844650728663,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,69,0.987606200339629,85.81834101867959,high,unknown_review,1.0,0.0999999999999999
disturbance_0002_activity_pre_1d,activity,,,2.0,3,2015-11-23 00:00:00,2015-11-24 00:00:00,1.0,,,0,False,,,0,False,,0.9655708742588184,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0003,fault,,,3.0,3,2015-12-02 13:48:00,2015-12-09 13:48:00,1.0,,0.5350059235071541,1,True,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,,,,,,,
disturbance_0004_activity_pre_1d,activity,,,4.0,3,2016-02-28 00:00:00,2016-02-29 00:00:00,1.0,,,0,False,,,0,False,,0.9770522376576796,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0005,fault,,,5.0,3,2016-10-24 14:18:00,2016-10-31 14:18:00,1.0,,0.7872271070321188,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,,,,,,,
disturbance_0006,fault,,,6.0,3,2016-11-08 22:50:00,2016-11-15 22:50:00,1.0,,0.3088963517078588,0,False,1.0,,0,False,,,0,False,,normal,,False,,no gate crossed threshold,,,,,,,
disturbance_0007_activity_pre_1d,activity,,,7.0,4,2015-02-26 00:00:00,2015-02-27 00:00:00,1.0,,,0,False,,,0,False,,0.9808252716281752,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0008,fault,60.0,60.0,8.0,4,2015-03-11 18:54:00,2015-03-18 18:54:00,1.0,,0.7689455638103908,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,60,0.9113455182824092,95.1240035055325,high,control_controller,1.0,1.0
disturbance_0009_activity_pre_1d,activity,,,9.0,4,2016-07-31 00:00:00,2016-08-01 00:00:00,1.0,,,0,False,,,0,False,,0.9836824144853182,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0010,fault,11.0,11.0,10.0,4,2016-11-11 15:13:00,2016-11-18 15:13:00,1.0,,0.6601826484683962,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,11,2.2951929207164804e-06,8.713530490929788,monitor,valve_actuator,0.0,0.5808936170212766
disturbance_0011_activity_pre_1d,activity,,,11.0,4,2017-02-09 00:00:00,2017-02-10 00:00:00,1.0,,,0,False,,,0,False,,0.932008186567858,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0012_activity_pre_1d,activity,,,12.0,5,2015-02-22 00:00:00,2015-02-23 00:00:00,1.0,,,0,False,,,0,False,,0.9807231200079728,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0013_activity_pre_1d,activity,,,13.0,5,2015-11-16 00:00:00,2015-11-17 00:00:00,1.0,,,0,False,,,0,False,,0.9437458505355234,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0014_activity_pre_1d,activity,,,14.0,5,2016-03-08 00:00:00,2016-03-09 00:00:00,1.0,,,0,False,,,0,False,,0.9838117443465972,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0015_activity_pre_1d,activity,,,15.0,5,2017-04-02 00:00:00,2017-04-03 00:00:00,0.9652777777777778,,,0,False,,,0,False,,0.92856321513842,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0016,fault,,,16.0,5,2020-01-28 14:02:00,2020-02-04 14:02:00,1.0,,0.8677282810821739,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,,,,,,,
disturbance_0017_task_post_1d,task,,,17.0,5,2020-02-04 17:03:02,2020-02-05 17:03:02,1.0,,,0,False,,0.9850830176099816,1,False,1.0,,0,False,,task,,False,,task gate crossed threshold,,,,,,,
disturbance_0018,fault,64.0,64.0,18.0,6,2019-04-09 09:41:00,2019-04-16 09:41:00,1.0,,0.9267439090865556,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,64,0.8914341700899385,86.85441126984024,high,pressure_regulator,1.0,0.5217021276595746
disturbance_0019_task_post_1d,task,,,19.0,6,2019-04-17 06:49:46,2019-04-18 06:49:46,1.0,,,0,False,,0.9481054616744286,1,False,1.0,,0,False,,task,,False,,task gate crossed threshold,,,,,,,
disturbance_0020_activity_pre_1d,activity,,,20.0,7,2015-02-26 00:00:00,2015-02-27 00:00:00,1.0,,,0,False,,,0,False,,0.9738592098332592,1,False,1.0,activity,,False,,activity gate crossed threshold,,,,,,,
disturbance_0021,fault,63.0,63.0,21.0,7,2015-03-19 07:15:00,2015-03-26 07:15:00,1.0,,0.7368252388546326,1,False,1.0,,0,False,,,0,False,,fault,,False,,fault gate crossed threshold; fault has runtime priority,63,0.56641143681874,46.1526290250307,monitor,control_controller,0.0,1.0
disturbance_0022,fault,36.0,36.0,22.0,7,2015-03-26 20:05:00,2015-04-02 20:05:00,1.0,,0.4684026146970357,0,True,1.0,,0,False,,,0,False,,normal,,False,,no gate crossed threshold,36,,,,,,
