sample_id,manufacturer,label,label_strength,source_event_id,substation_id,window_start,window_end,window_days,window_policy,sample_count,expected_sample_count,coverage_rate,disturbance_count,disturbance_types,source_type,expanded154_fold,expanded154_probability,expanded154_pred,expanded154_prediction_label,expanded154_fp,locked_compact13_fold,locked_compact13_probability,locked_compact13_pred,locked_compact13_prediction_label,locked_compact13_fp,fold_selected_compact13_fold,fold_selected_compact13_probability,fold_selected_compact13_pred,fold_selected_compact13_prediction_label,fold_selected_compact13_fp,sensitivity_locked_compact13_fold,sensitivity_locked_compact13_probability,sensitivity_locked_compact13_pred,sensitivity_locked_compact13_prediction_label,sensitivity_locked_compact13_fp,sensitivity_fold_selected_compact13_fold,sensitivity_fold_selected_compact13_probability,sensitivity_fold_selected_compact13_pred,sensitivity_fold_selected_compact13_prediction_label,sensitivity_fold_selected_compact13_fp,compact_fp_count,fp_count_across_strategies,hard_normal_flag,hard_normal_severity,hard_normal_strategy,max_compact_probability,sensitivity_compact_fp_count,sensitivity_hard_normal_flag
normal_0035,manufacturer_1,normal,normal,35,11,2017-10-31 00:00:00,2017-11-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.5252272717195121,0,normal,False,3,0.4407318215863769,0,normal,False,3,0.9974976379919552,1,efd_possible,True,3,0.3505597469844486,0,normal,False,3,0.4374725787406464,0,normal,False,1,1,True,medium,fold_selected_compact13,0.9974976379919552,0,False
normal_0008,manufacturer_1,normal,normal,8,6,2020-06-02 00:00:00,2020-06-09 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,5,0.9725704023042334,1,efd_possible,True,5,0.0802111800858911,0,normal,False,5,0.9552885531924464,1,efd_possible,True,5,0.0751589045513095,0,normal,False,5,0.179181128935037,0,normal,False,1,2,True,medium,fold_selected_compact13,0.9552885531924464,0,False
normal_0019,manufacturer_1,normal,normal,19,8,2018-02-01 00:00:00,2018-02-08 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.9053828965955808,1,efd_possible,True,1,0.2752422415659372,0,normal,False,1,0.8767152790655133,1,efd_possible,True,2,0.317551952099997,0,normal,False,2,0.2390430058814274,0,normal,False,1,2,True,medium,fold_selected_compact13,0.8767152790655133,0,False
normal_0039,manufacturer_1,normal,normal,39,15,2018-09-30 00:00:00,2018-10-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.8941223241114421,1,efd_possible,True,3,0.0929485446436388,0,normal,False,3,0.8751128667776846,1,efd_possible,True,3,0.0939971398811361,0,normal,False,3,0.110382977405,0,normal,False,1,2,True,medium,fold_selected_compact13,0.8751128667776846,0,False
normal_0048,manufacturer_1,normal,normal,48,11,2016-09-30 00:00:00,2016-10-07 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.7583688852054297,1,efd_possible,True,3,0.0500759773533634,0,normal,False,3,0.7753160102858753,1,efd_possible,True,3,0.0295060119289325,0,normal,False,3,0.0284945293959315,0,normal,False,1,2,True,medium,fold_selected_compact13,0.7753160102858753,0,False
normal_0068,manufacturer_1,normal,normal,68,13,2019-12-20 00:00:00,2019-12-27 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,3,0.9292889110392974,1,efd_possible,True,3,0.6884342147771397,1,efd_possible,True,3,0.4968786686963361,0,normal,False,3,0.8529977972952004,1,efd_possible,True,3,0.8535055721233122,1,efd_possible,True,1,2,True,medium,locked_compact13,0.6884342147771397,2,True
normal_0033,manufacturer_1,normal,normal,33,3,2019-01-11 00:00:00,2019-01-18 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,5,0.8327088193682776,1,efd_possible,True,5,0.5148174091215488,0,normal,False,5,0.6351455421292573,1,efd_possible,True,5,0.2245026344039129,0,normal,False,5,0.4941615763672206,0,normal,False,1,2,True,medium,fold_selected_compact13,0.6351455421292573,0,False
normal_0027,manufacturer_1,normal,normal,27,12,2015-06-24 13:34:00,2015-07-01 13:34:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,4,0.1940861573795014,0,normal,False,4,0.6036219314249135,1,efd_possible,True,4,0.4583035313279752,0,normal,False,4,0.469327733704844,0,normal,False,4,0.059527940684316,0,normal,False,1,1,True,medium,locked_compact13,0.6036219314249135,0,False
normal_0014,manufacturer_1,normal,normal,14,26,2019-12-08 00:00:00,2019-12-15 00:00:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,1,0.4901941766228614,0,normal,False,1,0.5923579773257743,0,normal,False,1,0.3131995511256901,0,normal,False,1,0.7354137689138006,1,efd_possible,True,1,0.4976248233140121,0,normal,False,0,0,False,none,,0.5923579773257743,1,True
normal_0028,manufacturer_1,normal,normal,28,7,2019-01-01 10:29:00,2019-01-08 10:29:00,7.0,normal_event_7d,1008,1008,1.0,0,,normal_event,2,0.1999627776545205,0,normal,False,2,0.3980824242220319,0,normal,False,2,0.533074704654068,0,normal,False,5,0.5778845054676631,0,normal,False,5,0.6016089829165353,1,efd_possible,True,0,0,False,none,,0.533074704654068,1,True
