label,policy,source_event_id,substation_id,window_start,window_end,window_days,sample_count,expected_sample_count,coverage_rate,disturbance_count,disturbance_types,anomaly_start_to_report_days,anomaly_duration_days,training_gap_to_report_days
normal,normal_7d,2,9,2019-01-02 00:00:00,2019-01-09 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,4,15,2019-03-01 00:00:00,2019-03-08 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,8,6,2020-06-02 00:00:00,2020-06-09 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,12,19,2017-09-30 00:00:00,2017-10-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,14,26,2019-12-08 00:00:00,2019-12-15 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,16,17,2017-10-15 00:00:00,2017-10-22 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,17,2,2018-02-27 00:00:00,2018-03-06 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,18,16,2018-11-30 00:00:00,2018-12-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,19,8,2018-02-01 00:00:00,2018-02-08 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,21,1,2019-12-01 00:00:00,2019-12-08 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,22,5,2017-09-13 00:00:00,2017-09-20 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,25,20,2017-01-31 00:00:00,2017-02-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,26,4,2018-02-19 00:00:00,2018-02-26 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,27,12,2015-06-24 13:34:00,2015-07-01 13:34:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,28,7,2019-01-01 10:29:00,2019-01-08 10:29:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,30,16,2018-02-28 00:00:00,2018-03-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,31,3,2019-09-01 00:00:00,2019-09-08 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,33,3,2019-01-11 00:00:00,2019-01-18 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,35,11,2017-10-31 00:00:00,2017-11-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,39,15,2018-09-30 00:00:00,2018-10-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,41,2,2016-09-16 00:00:00,2016-09-23 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,42,22,2019-11-01 00:00:00,2019-11-08 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,43,25,2020-04-05 00:00:00,2020-04-12 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,46,4,2018-06-19 00:00:00,2018-06-26 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,48,11,2016-09-30 00:00:00,2016-10-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,50,17,2016-11-09 00:00:00,2016-11-16 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,51,20,2020-04-01 00:00:00,2020-04-08 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,54,22,2020-03-14 00:00:00,2020-03-21 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,55,23,2017-10-06 00:00:00,2017-10-13 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,56,2,2018-11-29 00:00:00,2018-12-06 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,58,5,2018-02-28 00:00:00,2018-03-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,59,22,2019-01-31 00:00:00,2019-02-07 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,61,14,2019-12-05 00:00:00,2019-12-12 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,66,19,2017-06-14 00:00:00,2017-06-21 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_7d,68,13,2019-12-20 00:00:00,2019-12-27 00:00:00,7.0,1008,1008.0,1.0,0,,,,
normal,normal_3d,2,9,2019-01-02 00:00:00,2019-01-05 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,4,15,2019-03-01 00:00:00,2019-03-04 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,8,6,2020-06-02 00:00:00,2020-06-05 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,12,19,2017-09-30 00:00:00,2017-10-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,14,26,2019-12-08 00:00:00,2019-12-11 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,16,17,2017-10-15 00:00:00,2017-10-18 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,17,2,2018-02-27 00:00:00,2018-03-02 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,18,16,2018-11-30 00:00:00,2018-12-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,19,8,2018-02-01 00:00:00,2018-02-04 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,21,1,2019-12-01 00:00:00,2019-12-04 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,22,5,2017-09-13 00:00:00,2017-09-16 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,25,20,2017-01-31 00:00:00,2017-02-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,26,4,2018-02-19 00:00:00,2018-02-22 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,27,12,2015-06-24 13:34:00,2015-06-27 13:34:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,28,7,2019-01-01 10:29:00,2019-01-04 10:29:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,30,16,2018-02-28 00:00:00,2018-03-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,31,3,2019-09-01 00:00:00,2019-09-04 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,33,3,2019-01-11 00:00:00,2019-01-14 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,35,11,2017-10-31 00:00:00,2017-11-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,39,15,2018-09-30 00:00:00,2018-10-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,41,2,2016-09-16 00:00:00,2016-09-19 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,42,22,2019-11-01 00:00:00,2019-11-04 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,43,25,2020-04-05 00:00:00,2020-04-08 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,46,4,2018-06-19 00:00:00,2018-06-22 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,48,11,2016-09-30 00:00:00,2016-10-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,50,17,2016-11-09 00:00:00,2016-11-12 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,51,20,2020-04-01 00:00:00,2020-04-04 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,54,22,2020-03-14 00:00:00,2020-03-17 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,55,23,2017-10-06 00:00:00,2017-10-09 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,56,2,2018-11-29 00:00:00,2018-12-02 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,58,5,2018-02-28 00:00:00,2018-03-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,59,22,2019-01-31 00:00:00,2019-02-03 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,61,14,2019-12-05 00:00:00,2019-12-08 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,66,19,2017-06-14 00:00:00,2017-06-17 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_3d,68,13,2019-12-20 00:00:00,2019-12-23 00:00:00,3.0,432,432.0,1.0,0,,,,
normal,normal_1d,2,9,2019-01-02 00:00:00,2019-01-03 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,4,15,2019-03-01 00:00:00,2019-03-02 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,8,6,2020-06-02 00:00:00,2020-06-03 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,12,19,2017-09-30 00:00:00,2017-10-01 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,14,26,2019-12-08 00:00:00,2019-12-09 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,16,17,2017-10-15 00:00:00,2017-10-16 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,17,2,2018-02-27 00:00:00,2018-02-28 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,18,16,2018-11-30 00:00:00,2018-12-01 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,19,8,2018-02-01 00:00:00,2018-02-02 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,21,1,2019-12-01 00:00:00,2019-12-02 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,22,5,2017-09-13 00:00:00,2017-09-14 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,25,20,2017-01-31 00:00:00,2017-02-01 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,26,4,2018-02-19 00:00:00,2018-02-20 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,27,12,2015-06-24 13:34:00,2015-06-25 13:34:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,28,7,2019-01-01 10:29:00,2019-01-02 10:29:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,30,16,2018-02-28 00:00:00,2018-03-01 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,31,3,2019-09-01 00:00:00,2019-09-02 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,33,3,2019-01-11 00:00:00,2019-01-12 00:00:00,1.0,144,144.0,1.0,0,,,,
normal,normal_1d,35,11,2017-10-31 00:00:00,2017-11-01 00:00:00,1.0,144,144.0,1.0,0,,,,
