threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,train_extra_rows_used,test_rows,train_groups,test_groups,group_overlap_count
0.5,39,0.7948717948717948,0.5,0.5,0.7948717948717948,1.0,0.8857142857142857,1.0,0,8,0,31,reference_pre_event_all,compact13,13,dummy_most_frequent,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.717948717948718,0.7298387096774194,0.8387096774193549,0.9166666666666666,0.7096774193548387,0.8,0.25,6,2,9,22,reference_pre_event_all,compact13,13,logistic_balanced,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.7692307692307693,0.622983870967742,0.7862903225806452,0.84375,0.8709677419354839,0.8571428571428571,0.625,3,5,4,27,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.717948717948718,0.7298387096774194,0.810483870967742,0.9166666666666666,0.7096774193548387,0.8,0.25,6,2,9,22,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,35,0.8,0.5,0.5,0.8,1.0,0.8888888888888888,1.0,0,7,0,28,reference_pre_event_all,compact13,13,dummy_most_frequent,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.45714285714285713,0.5,0.4948979591836735,0.8,0.42857142857142855,0.5581395348837209,0.42857142857142855,4,3,16,12,reference_pre_event_all,compact13,13,logistic_balanced,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.6285714285714286,0.5,0.6173469387755102,0.8,0.7142857142857143,0.7547169811320755,0.7142857142857143,2,5,8,20,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.4857142857142857,0.5178571428571428,0.4897959183673469,0.8125,0.4642857142857143,0.5909090909090909,0.42857142857142855,4,3,15,13,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.6857142857142857,0.6781609195402298,0.6436781609195402,0.9090909090909091,0.6896551724137931,0.7843137254901961,0.3333333333333333,4,2,9,20,reference_pre_event_all,compact13,13,logistic_balanced,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.7142857142857143,0.6293103448275862,0.6264367816091954,0.88,0.7586206896551724,0.8148148148148148,0.5,3,3,7,22,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.7142857142857143,0.6954022988505747,0.735632183908046,0.9130434782608695,0.7241379310344828,0.8076923076923077,0.3333333333333333,4,2,8,21,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
0.5,35,0.7142857142857143,0.6954022988505747,0.735632183908046,0.9130434782608695,0.7241379310344828,0.8076923076923077,0.3333333333333333,4,2,8,21,reference_pre_event_all,compact13,13,logistic_balanced,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
0.5,35,0.8285714285714286,0.8304597701149425,0.9137931034482758,0.96,0.8275862068965517,0.8888888888888888,0.16666666666666666,5,1,5,24,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
0.5,35,0.7142857142857143,0.7614942528735633,0.8908045977011495,0.9523809523809523,0.6896551724137931,0.8,0.16666666666666666,5,1,9,20,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
