threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,train_extra_rows_used,test_rows,train_groups,test_groups,group_overlap_count,dummy_balanced_accuracy,balanced_accuracy_lift_vs_dummy,passes_event_recall,passes_normal_fpr,passes_dummy_lift,passes_group_overlap,passes_gate_criteria,decision_candidate,overall_decision_at_t0_5
0.4,170,0.7941176470588235,0.5,0.5,0.7941176470588235,1.0,0.8852459016393442,1.0,0,35,0,135,low_overlap_only,compact13,13,dummy_most_frequent,all,aggregate,,0,170,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,170,0.7941176470588235,0.5,0.5,0.7941176470588235,1.0,0.8852459016393442,1.0,0,35,0,135,low_overlap_only,compact13,13,dummy_most_frequent,all,aggregate,,0,170,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.6,170,0.7941176470588235,0.5,0.5,0.7941176470588235,1.0,0.8852459016393442,1.0,0,35,0,135,low_overlap_only,compact13,13,dummy_most_frequent,all,aggregate,,0,170,,,0,0.5,0.0,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,170,0.788235294117647,0.4962962962962963,0.7445502645502645,0.7928994082840237,0.9925925925925926,0.881578947368421,1.0,0,35,1,134,low_overlap_only,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,170,,,0,0.5,-0.003703703703703709,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.5,170,0.6941176470588235,0.6910052910052911,0.7445502645502645,0.8952380952380953,0.6962962962962963,0.7833333333333333,0.3142857142857143,24,11,41,94,low_overlap_only,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,170,,,0,0.5,0.19100529100529107,False,False,True,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,170,0.35294117647058826,0.5714285714285714,0.7445502645502645,0.9310344827586207,0.2,0.32926829268292684,0.05714285714285714,33,2,108,27,low_overlap_only,compact13,13,extra_trees_balanced_depth3,all,aggregate,,0,170,,,0,0.5,0.0714285714285714,False,True,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
0.4,170,0.7058823529411765,0.6455026455026455,0.6952380952380952,0.8632478632478633,0.7481481481481481,0.8015873015873016,0.45714285714285713,19,16,34,101,low_overlap_only,compact13,13,logistic_balanced,all,aggregate,,0,170,,,0,0.5,0.14550264550264547,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.5,170,0.6411764705882353,0.6365079365079365,0.6952380952380952,0.87,0.6444444444444445,0.7404255319148936,0.37142857142857144,22,13,48,87,low_overlap_only,compact13,13,logistic_balanced,all,aggregate,,0,170,,,0,0.5,0.13650793650793647,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.6,170,0.5882352941176471,0.6349206349206349,0.6952380952380952,0.8823529411764706,0.5555555555555556,0.6818181818181818,0.2857142857142857,25,10,60,75,low_overlap_only,compact13,13,logistic_balanced,all,aggregate,,0,170,,,0,0.5,0.13492063492063489,False,False,False,True,False,normal_vs_event_gate_unstable_keep_pre_event_binary,gate_policy_iteration_needed
0.4,170,0.8058823529411765,0.644973544973545,0.7043386243386243,0.8493150684931506,0.9185185185185185,0.8825622775800712,0.6285714285714286,13,22,11,124,low_overlap_only,compact13,13,random_forest_balanced_depth3,all,aggregate,,0,170,,,0,0.5,0.14497354497354498,True,False,False,True,False,gate_policy_iteration_needed,gate_policy_iteration_needed
