threshold,rows,accuracy,balanced_accuracy,roc_auc,precision_event,recall_event,f1_event,normal_fpr,tn,fp,fn,tp,dataset,feature_set,feature_count,model,fold,metric_scope,train_rows,train_extra_rows_used,test_rows,train_groups,test_groups,group_overlap_count
0.4,39,0.7948717948717948,0.5,0.5,0.7948717948717948,1.0,0.8857142857142857,1.0,0,8,0,31,reference_pre_event_all,compact13,13,dummy_most_frequent,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.7948717948717948,0.5,0.5,0.7948717948717948,1.0,0.8857142857142857,1.0,0,8,0,31,reference_pre_event_all,compact13,13,dummy_most_frequent,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.6,39,0.7948717948717948,0.5,0.5,0.7948717948717948,1.0,0.8857142857142857,1.0,0,8,0,31,reference_pre_event_all,compact13,13,dummy_most_frequent,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.4,39,0.8205128205128205,0.747983870967742,0.8387096774193549,0.9,0.8709677419354839,0.8852459016393442,0.375,5,3,4,27,reference_pre_event_all,compact13,13,logistic_balanced,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.717948717948718,0.7298387096774194,0.8387096774193549,0.9166666666666666,0.7096774193548387,0.8,0.25,6,2,9,22,reference_pre_event_all,compact13,13,logistic_balanced,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.6,39,0.6666666666666666,0.7439516129032258,0.8387096774193549,0.95,0.6129032258064516,0.7450980392156863,0.125,7,1,12,19,reference_pre_event_all,compact13,13,logistic_balanced,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.4,39,0.8717948717948718,0.6875,0.7862903225806452,0.8611111111111112,1.0,0.9253731343283582,0.625,3,5,0,31,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.7692307692307693,0.622983870967742,0.7862903225806452,0.84375,0.8709677419354839,0.8571428571428571,0.625,3,5,4,27,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.6,39,0.6153846153846154,0.6189516129032258,0.7862903225806452,0.8636363636363636,0.6129032258064516,0.7169811320754716,0.375,5,3,12,19,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.4,39,0.7948717948717948,0.5,0.810483870967742,0.7948717948717948,1.0,0.8857142857142857,1.0,0,8,0,31,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.5,39,0.717948717948718,0.7298387096774194,0.810483870967742,0.9166666666666666,0.7096774193548387,0.8,0.25,6,2,9,22,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.6,39,0.2564102564102564,0.532258064516129,0.810483870967742,1.0,0.06451612903225806,0.12121212121212122,0.0,8,0,29,2,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,1,fold,142.0,0,39,1|3|4|6|7|9|10|11|12|13|14|16|17|18|19|20|22|23|24|25|26|27|28|30|32|33,2|5|8|15|21|29|31,0
0.4,35,0.8,0.5,0.5,0.8,1.0,0.8888888888888888,1.0,0,7,0,28,reference_pre_event_all,compact13,13,dummy_most_frequent,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.8,0.5,0.5,0.8,1.0,0.8888888888888888,1.0,0,7,0,28,reference_pre_event_all,compact13,13,dummy_most_frequent,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.6,35,0.8,0.5,0.5,0.8,1.0,0.8888888888888888,1.0,0,7,0,28,reference_pre_event_all,compact13,13,dummy_most_frequent,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.4,35,0.5714285714285714,0.5178571428571428,0.4948979591836735,0.8095238095238095,0.6071428571428571,0.6938775510204082,0.5714285714285714,3,4,11,17,reference_pre_event_all,compact13,13,logistic_balanced,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.45714285714285713,0.5,0.4948979591836735,0.8,0.42857142857142855,0.5581395348837209,0.42857142857142855,4,3,16,12,reference_pre_event_all,compact13,13,logistic_balanced,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.6,35,0.37142857142857144,0.4464285714285714,0.4948979591836735,0.75,0.32142857142857145,0.45,0.42857142857142855,4,3,19,9,reference_pre_event_all,compact13,13,logistic_balanced,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.4,35,0.7142857142857143,0.5,0.6173469387755102,0.8,0.8571428571428571,0.8275862068965517,0.8571428571428571,1,6,4,24,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.6285714285714286,0.5,0.6173469387755102,0.8,0.7142857142857143,0.7547169811320755,0.7142857142857143,2,5,8,20,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.6,35,0.5142857142857142,0.5892857142857143,0.6173469387755102,0.8666666666666667,0.4642857142857143,0.6046511627906976,0.2857142857142857,5,2,15,13,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.4,35,0.7428571428571429,0.5178571428571429,0.4897959183673469,0.8064516129032258,0.8928571428571429,0.847457627118644,0.8571428571428571,1,6,3,25,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.5,35,0.4857142857142857,0.5178571428571428,0.4897959183673469,0.8125,0.4642857142857143,0.5909090909090909,0.42857142857142855,4,3,15,13,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.6,35,0.22857142857142856,0.5178571428571429,0.4897959183673469,1.0,0.03571428571428571,0.06896551724137931,0.0,7,0,27,1,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,2,fold,146.0,0,35,2|4|5|6|8|9|10|11|12|13|14|15|16|18|19|20|21|22|24|25|26|27|28|29|30|31|32|33,1|3|7|17|23,0
0.4,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.6,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.4,35,0.6857142857142857,0.6120689655172413,0.6436781609195402,0.875,0.7241379310344828,0.7924528301886793,0.5,3,3,8,21,reference_pre_event_all,compact13,13,logistic_balanced,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.6857142857142857,0.6781609195402298,0.6436781609195402,0.9090909090909091,0.6896551724137931,0.7843137254901961,0.3333333333333333,4,2,9,20,reference_pre_event_all,compact13,13,logistic_balanced,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.6,35,0.6571428571428571,0.6609195402298851,0.6436781609195402,0.9047619047619048,0.6551724137931034,0.76,0.3333333333333333,4,2,10,19,reference_pre_event_all,compact13,13,logistic_balanced,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.4,35,0.7714285714285715,0.5316091954022989,0.6264367816091954,0.8387096774193549,0.896551724137931,0.8666666666666667,0.8333333333333334,1,5,3,26,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.7142857142857143,0.6293103448275862,0.6264367816091954,0.88,0.7586206896551724,0.8148148148148148,0.5,3,3,7,22,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.6,35,0.6571428571428571,0.5948275862068966,0.6264367816091954,0.8695652173913043,0.6896551724137931,0.7692307692307693,0.5,3,3,9,20,reference_pre_event_all,compact13,13,random_forest_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.4,35,0.8285714285714286,0.5,0.735632183908046,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.5,35,0.7142857142857143,0.6954022988505747,0.735632183908046,0.9130434782608695,0.7241379310344828,0.8076923076923077,0.3333333333333333,4,2,8,21,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.6,35,0.45714285714285713,0.6063218390804598,0.735632183908046,0.9166666666666666,0.3793103448275862,0.5365853658536586,0.16666666666666666,5,1,18,11,reference_pre_event_all,compact13,13,extra_trees_balanced_depth3,3,fold,146.0,0,35,1|2|3|5|6|7|8|9|10|11|15|16|17|18|19|20|21|22|23|26|27|28|29|30|31|32|33,4|12|13|14|24|25,0
0.4,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
0.5,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
0.6,35,0.8285714285714286,0.5,0.5,0.8285714285714286,1.0,0.90625,1.0,0,6,0,29,reference_pre_event_all,compact13,13,dummy_most_frequent,4,fold,146.0,0,35,1|2|3|4|5|7|8|9|10|12|13|14|15|16|17|19|21|22|23|24|25|27|28|29|30|31|32,6|11|18|20|26|33,0
