source_event_id,substation_id,label_strength,fault_label,window_start,window_end,window_days,sample_count,expected_sample_count,coverage_rate,disturbance_count,disturbance_types,possible_anomaly_start,possible_anomaly_end,training_start,training_end,expansion_status,exclusion_reason,event67_flag
1,10,strict_positive,Motorised control valve (primary side): Actuator defective,2014-04-27 14:44:00,2014-05-04 14:44:00,7.0,1008,1008.0,1.0,1,activity:1,2014-05-03 16:00:00,2014-05-05 04:00:00,2012-03-28 09:00:00,2014-04-20 14:44:00,strict_accepted,,False
3,12,strict_positive,Control unit: Incorrect parameterisation,2015-11-24 10:56:00,2015-12-01 10:56:00,7.0,1008,1008.0,1.0,0,,2015-11-29 12:00:00,2015-12-02 10:56:00,2015-03-01 00:00:00,2015-11-17 10:56:00,strict_accepted,,False
5,11,weak_positive,Failure of the heating circuit pump,2018-11-16 08:30:00,2018-11-23 08:30:00,7.0,1008,1008.0,1.0,0,,,2018-11-26 09:56:59,2015-02-20 14:00:00,2018-11-09 08:30:00,weak_accepted,,False
6,21,weak_positive,Control unit: Incorrect parameterisation,2016-11-29 13:12:00,2016-12-06 13:12:00,7.0,1008,1008.0,1.0,0,,,2016-12-07 13:12:00,2015-11-30 09:00:00,2016-11-22 13:12:00,weak_accepted,,False
7,26,strict_positive,Incorrect setting of the differential pressure regulator,2020-06-06 10:38:00,2020-06-13 10:38:00,7.0,1008,1008.0,1.0,0,,2020-06-12 12:00:00,2020-06-14 10:38:00,2018-10-18 13:00:00,2020-05-30 10:38:00,strict_accepted,,False
10,30,strict_positive,Leakage,2020-03-09 15:04:00,2020-03-16 15:04:00,7.0,1008,1008.0,1.0,0,,2020-03-12 19:00:00,2020-03-22 22:45:31,2019-12-01 00:00:00,2020-03-02 15:04:00,strict_accepted,,False
13,24,weak_positive,Failure of the heating circuit pump,2016-01-05 12:39:00,2016-01-12 12:39:00,7.0,1008,1008.0,1.0,0,,,2016-01-13 12:39:00,2015-12-08 10:00:00,2015-12-29 12:39:00,weak_accepted,,False
15,29,strict_positive,Failure of the domestic hot water storage charging pump,2020-02-29 07:59:43,2020-03-07 07:59:43,7.0,1008,1008.0,1.0,0,,2020-03-06 12:00:00,2020-03-08 07:59:43,2019-10-03 07:00:00,2020-02-22 07:59:43,strict_accepted,,False
20,11,strict_positive,"Safety relief valve: Water loss, does not close properly",2018-06-25 10:49:00,2018-07-02 10:49:00,7.0,730,1008.0,0.7242063492063492,0,,2018-06-29 05:00:00,2018-07-02 19:02:04,2015-02-25 14:00:00,2018-06-18 10:49:00,event20_excluded,low_coverage_event20,False
23,27,weak_positive,Control unit: Incorrect parameterisation,2020-01-13 12:57:00,2020-01-20 12:57:00,7.0,1008,1008.0,1.0,0,,,2020-01-21 12:57:00,2019-11-25 00:00:00,2020-01-06 12:57:00,weak_accepted,,False
24,13,weak_positive,Failure of the heating circuit pump,2016-07-13 15:17:00,2016-07-20 15:17:00,7.0,1008,1008.0,1.0,0,,,2016-07-22 04:00:00,2015-03-18 15:00:00,2016-07-06 15:17:00,weak_accepted,,False
29,17,weak_positive,Motorised control valve (primary side): Control valve jams when closed,2019-01-02 14:18:00,2019-01-09 14:18:00,7.0,1008,1008.0,1.0,0,,,2019-01-12 15:20:31,2015-12-02 12:00:00,2018-12-26 14:18:00,weak_accepted,,False
32,21,weak_positive,Control unit: Incorrect parameterisation,2019-10-12 10:38:00,2019-10-19 10:38:00,7.0,1008,1008.0,1.0,0,,,2019-10-23 11:40:23,2017-10-19 10:38:00,2019-10-05 10:38:00,weak_accepted,,False
34,20,weak_positive,unknown,2017-05-31 07:34:00,2017-06-07 07:34:00,7.0,1008,1008.0,1.0,0,,,2017-06-08 07:34:00,2015-09-21 14:00:00,2017-05-24 07:34:00,unknown_review,unknown_fault_label,False
37,19,weak_positive,Control unit: Incorrect parameterisation,2018-11-14 09:15:00,2018-11-21 09:15:00,7.0,1008,1008.0,1.0,0,,,2018-11-22 10:41:58,2016-06-25 00:00:00,2018-11-07 09:15:00,weak_accepted,,False
38,24,weak_positive,Incorrect setting of the differential pressure regulator,2016-10-17 13:55:00,2016-10-24 13:55:00,7.0,1008,1008.0,1.0,0,,,2016-10-25 13:55:00,2015-11-20 00:00:00,2016-10-10 13:55:00,weak_accepted,,False
