accuracy,balanced_accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp,dataset_id,model,fold,train_rows,test_rows,train_groups,test_groups,test_normal,test_efd_possible
0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,strict_no_event20,dummy_most_frequent,1,38,11,1|10|11|12|13|14|15|17|19|20|21|22|23|24|28|29|3|30|4|5|6|7|9,16|18|2|25|26|8,8,3
0.5454545454545454,0.47916666666666663,0.25,0.3333333333333333,0.2857142857142857,0.5416666666666666,5,3,2,1,strict_no_event20,logistic_balanced,1,38,11,1|10|11|12|13|14|15|17|19|20|21|22|23|24|28|29|3|30|4|5|6|7|9,16|18|2|25|26|8,8,3
0.7272727272727273,0.5,0.0,0.0,0.0,0.5,8,0,3,0,strict_no_event20,dummy_most_frequent,2,38,11,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,8,3
0.6363636363636364,0.4375,0.0,0.0,0.0,0.375,7,1,3,0,strict_no_event20,logistic_balanced,2,38,11,1|10|11|12|13|15|16|17|18|2|20|23|24|25|26|28|29|3|30|4|5|6|8,14|19|21|22|7|9,8,3
0.7777777777777778,0.5,0.0,0.0,0.0,0.5,7,0,2,0,strict_no_event20,dummy_most_frequent,3,40,9,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,7,2
0.5555555555555556,0.5357142857142857,0.25,0.5,0.3333333333333333,0.4285714285714286,4,3,1,1,strict_no_event20,logistic_balanced,3,40,9,1|12|14|16|17|18|19|2|21|22|23|24|25|26|28|29|3|30|4|5|6|7|8|9,10|11|13|15|20,7,2
0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,strict_no_event20,dummy_most_frequent,4,40,9,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,6,3
0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.5714285714285714,0.7222222222222222,4,2,1,2,strict_no_event20,logistic_balanced,4,40,9,10|11|13|14|15|16|18|19|2|20|21|22|23|25|26|28|3|30|4|6|7|8|9,1|12|17|24|29|5,6,3
0.6666666666666666,0.5,0.0,0.0,0.0,0.5,6,0,3,0,strict_no_event20,dummy_most_frequent,5,40,9,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,6,3
0.6666666666666666,0.75,0.5,1.0,0.6666666666666666,0.9444444444444444,3,3,0,3,strict_no_event20,logistic_balanced,5,40,9,1|10|11|12|13|14|15|16|17|18|19|2|20|21|22|24|25|26|29|5|7|8|9,23|28|3|30|4|6,6,3
