dataset_id,feature,sensor,stat,coefficient_mean,coefficient_std,abs_coefficient_mean,abs_coefficient_std,rank_abs_coefficient
expanded_weak_positive,p_net_return_temperature__last_minus_first,p_net_return_temperature,last_minus_first,-0.7727159344093999,0.26878908670561513,0.7727159344093999,0.26878908670561513,1
expanded_weak_positive,p_hc1_return_temperature__min,p_hc1_return_temperature,min,-0.7027781545745005,0.22969722372277437,0.7027781545745005,0.22969722372277437,2
expanded_weak_positive,s_hc1_supply_temperature_setpoint__min,s_hc1_supply_temperature_setpoint,min,0.67558995765278,0.3091010537032809,0.67558995765278,0.3091010537032809,3
expanded_weak_positive,p_hc1_return_temperature__last_minus_first,p_hc1_return_temperature,last_minus_first,-0.6096373261206699,0.13465146427766028,0.6096373261206699,0.13465146427766028,4
expanded_weak_positive,outdoor_temperature__max,outdoor_temperature,max,0.5705497512615809,0.2213179512912165,0.5705497512615809,0.2213179512912165,5
expanded_weak_positive,s_hc1_supply_temperature__min,s_hc1_supply_temperature,min,-0.5540997295421992,0.13400631874256466,0.5540997295421992,0.13400631874256466,6
expanded_weak_positive,p_net_return_temperature__min,p_net_return_temperature,min,-0.47651304880075396,0.48482544137339356,0.5236381232818204,0.41969091067952546,7
expanded_weak_positive,p_net_supply_temperature__min,p_net_supply_temperature,min,-0.5023469498182948,0.17750854761547244,0.5023469498182948,0.17750854761547244,8
expanded_weak_positive,s_hc1_supply_temperature__std,s_hc1_supply_temperature,std,-0.48745010407468403,0.2957088174335081,0.48745010407468403,0.2957088174335081,9
expanded_weak_positive,p_hc1_return_temperature__std,p_hc1_return_temperature,std,0.4753577298503787,0.16222626001621543,0.4753577298503787,0.16222626001621543,10
expanded_weak_positive,s_hc1_supply_temperature_setpoint__std,s_hc1_supply_temperature_setpoint,std,-0.4721538832955673,0.06830616714220127,0.4721538832955673,0.06830616714220127,11
expanded_weak_positive,p_net_meter_heat_power__std,p_net_meter_heat_power,std,-0.4606491743913542,0.16847411354890396,0.4606491743913542,0.16847411354890396,12
expanded_weak_positive,p_net_meter_heat_power__max,p_net_meter_heat_power,max,0.4439969364618122,0.18813481243385874,0.4439969364618122,0.18813481243385874,13
expanded_weak_positive,p_net_meter_flow__std,p_net_meter_flow,std,-0.4364115209584368,0.18078152342880477,0.4364115209584368,0.18078152342880477,14
expanded_weak_positive,s_hc1_supply_temperature_setpoint__median,s_hc1_supply_temperature_setpoint,median,-0.42193185052537296,0.16107090781380265,0.42193185052537296,0.16107090781380265,15
expanded_weak_positive,s_hc1_supply_temperature_setpoint__last_minus_first,s_hc1_supply_temperature_setpoint,last_minus_first,0.3896800990279944,0.1567656636296267,0.3896800990279944,0.1567656636296267,16
expanded_weak_positive,p_net_meter_flow__min,p_net_meter_flow,min,0.3756000503298388,0.19701508290832573,0.3756000503298388,0.19701508290832573,17
expanded_weak_positive,p_hc1_return_temperature__max,p_hc1_return_temperature,max,-0.35120920867900823,0.07657429609276574,0.35120920867900823,0.07657429609276574,18
expanded_weak_positive,s_hc1_supply_temperature__last_minus_first,s_hc1_supply_temperature,last_minus_first,-0.10024043560416489,0.39313354938102535,0.320999880259793,0.1957371066074652,19
expanded_weak_positive,p_net_supply_temperature__median,p_net_supply_temperature,median,-0.30302005587286035,0.17246391034465572,0.30302005587286035,0.17246391034465572,20
expanded_weak_positive,outdoor_temperature__last_minus_first,outdoor_temperature,last_minus_first,0.13394706943652546,0.3245831761346888,0.2904155926894626,0.1495158499842386,21
expanded_weak_positive,s_hc1_supply_temperature__max,s_hc1_supply_temperature,max,-0.28485549580569597,0.16269855803925798,0.28485549580569597,0.16269855803925798,22
expanded_weak_positive,p_net_return_temperature__median,p_net_return_temperature,median,0.10429475848707481,0.32072716347099495,0.27703103546519225,0.1432826435209483,23
expanded_weak_positive,outdoor_temperature__min,outdoor_temperature,min,-0.2729982451629069,0.2649829878152806,0.2729982451629069,0.2649829878152806,24
expanded_weak_positive,p_net_meter_volume__std,p_net_meter_volume,std,0.2454403180570622,0.10313233334936435,0.2454403180570622,0.10313233334936435,25
expanded_weak_positive,p_net_meter_heat_power__min,p_net_meter_heat_power,min,0.22147128866476623,0.1844007746940082,0.23988827228215906,0.15291364021283893,26
expanded_weak_positive,s_hc1_supply_temperature_setpoint__max,s_hc1_supply_temperature_setpoint,max,0.20846569625666103,0.2211483514339717,0.22970041624910512,0.19307038860326656,27
expanded_weak_positive,outdoor_temperature__median,outdoor_temperature,median,-0.22356151904520524,0.12185559250060489,0.22356151904520524,0.12185559250060489,28
expanded_weak_positive,p_net_meter_flow__last_minus_first,p_net_meter_flow,last_minus_first,-0.21877533004852787,0.1704329838951712,0.21877533004852787,0.1704329838951712,29
expanded_weak_positive,p_net_return_temperature__max,p_net_return_temperature,max,-0.0147895358529054,0.24886299071276904,0.21584174695512318,0.06302084138707581,30
expanded_weak_positive,outdoor_temperature__std,outdoor_temperature,std,0.02422873107439307,0.2434251510015856,0.21472283152500404,0.04855126599116376,31
expanded_weak_positive,p_net_meter_flow__mean,p_net_meter_flow,mean,0.21440988353557913,0.09364250325515086,0.21440988353557913,0.09364250325515086,32
expanded_weak_positive,outdoor_temperature__mean,outdoor_temperature,mean,-0.20600309926341334,0.14555661878592066,0.20600309926341334,0.14555661878592066,33
expanded_weak_positive,p_net_return_temperature__mean,p_net_return_temperature,mean,0.08987335026345247,0.2452895078911516,0.202585587540108,0.13770372613782597,34
expanded_weak_positive,s_hc1_supply_temperature__median,s_hc1_supply_temperature,median,0.10714485529081683,0.20151942992342503,0.18902082813474458,0.10148405697371385,35
expanded_weak_positive,p_net_meter_flow__median,p_net_meter_flow,median,0.18282062570156987,0.13385901993816057,0.18282062570156987,0.13385901993816057,36
expanded_weak_positive,p_hc1_return_temperature__median,p_hc1_return_temperature,median,0.18028552673514348,0.08240309625696104,0.18028552673514348,0.08240309625696104,37
expanded_weak_positive,p_net_meter_volume__last_minus_first,p_net_meter_volume,last_minus_first,0.17879740268172425,0.09775953199533673,0.17879740268172425,0.09775953199533673,38
expanded_weak_positive,p_hc1_return_temperature__mean,p_hc1_return_temperature,mean,0.16503254547279486,0.14700414723411295,0.16503254547279486,0.14700414723411295,39
expanded_weak_positive,p_net_supply_temperature__max,p_net_supply_temperature,max,0.06605818675077699,0.1870739904092728,0.16472952350514725,0.08081777676265461,40
expanded_weak_positive,p_net_meter_energy__median,p_net_meter_energy,median,-0.14530090481849162,0.050439165643762045,0.14530090481849162,0.050439165643762045,41
expanded_weak_positive,p_net_meter_energy__min,p_net_meter_energy,min,-0.1451655783908904,0.05037536175290819,0.1451655783908904,0.05037536175290819,42
expanded_weak_positive,p_net_meter_energy__mean,p_net_meter_energy,mean,-0.14508397908611773,0.05034193314022851,0.14508397908611773,0.05034193314022851,43
expanded_weak_positive,p_net_meter_energy__max,p_net_meter_energy,max,-0.14481118419007125,0.050251903844289215,0.14481118419007125,0.050251903844289215,44
expanded_weak_positive,p_net_meter_flow__max,p_net_meter_flow,max,0.0029909842434185678,0.1783301748048252,0.1385137416998928,0.0884887729020987,45
expanded_weak_positive,p_net_meter_heat_power__last_minus_first,p_net_meter_heat_power,last_minus_first,-0.10163996596223916,0.15420328435626737,0.1322495940776286,0.12177669046309463,46
expanded_weak_positive,s_hc1_supply_temperature_setpoint__mean,s_hc1_supply_temperature_setpoint,mean,0.12741390067504776,0.08936675702642344,0.12741390067504776,0.08936675702642344,47
expanded_weak_positive,p_net_supply_temperature__std,p_net_supply_temperature,std,-0.09614647406851208,0.1720095098317856,0.1190704809750673,0.1530366876529535,48
expanded_weak_positive,p_net_meter_energy__missing_rate,p_net_meter_energy,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,49
expanded_weak_positive,p_net_meter_flow__missing_rate,p_net_meter_flow,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,50
expanded_weak_positive,p_net_meter_heat_power__missing_rate,p_net_meter_heat_power,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,51
expanded_weak_positive,p_net_meter_volume__missing_rate,p_net_meter_volume,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,52
expanded_weak_positive,p_net_return_temperature__missing_rate,p_net_return_temperature,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,53
expanded_weak_positive,p_net_supply_temperature__missing_rate,p_net_supply_temperature,missing_rate,0.11035335154371795,0.04151076160355345,0.11035335154371795,0.04151076160355345,54
