dataset,target_class,feature_set,feature_count,model,fold,metric_scope,train_rows,test_rows,train_groups,test_groups,group_overlap_count,threshold,rows,accuracy,balanced_accuracy,macro_f1,roc_auc,normal_precision,normal_recall,normal_f1,target_precision,target_recall,target_f1,normal_support,target_support,normal_fpr,tn,fp,fn,tp,fold_balanced_accuracy_std,fold_target_recall_std,fold_normal_fpr_std,max_group_overlap,rows_summary,normal_rows,target_rows,substation_count,target_substation_count,target_overlap_rows,target_overlap_rate,normal_collision_rows,coverage_min,coverage_median,window_policies,passes_overlap,passes_balanced_accuracy,passes_recall,passes_normal_fpr,passes_group_overlap,candidate_pass,target_policy_decision,selected_dataset_for_target,fault_final_decision,overall_decision,window_direction,window_days,core_semantics_candidate,semantic_pass,pass_reason
task_pre_all,task,compact13,13,logistic_balanced,all,aggregate,,72,,,0,0.4,72,0.7222222222222222,0.7227799227799228,0.7222222222222222,0.7305019305019305,0.7027027027027027,0.7428571428571429,0.7222222222222222,0.7428571428571429,0.7027027027027027,0.7222222222222222,35,37,0.2571428571428571,26,9,11,26,0.0490845907811626,0.1308441110860388,0.1564921592871903,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,logistic_balanced,all,aggregate,,72,,,0,0.5,72,0.7361111111111112,0.7378378378378379,0.7356521739130435,0.7305019305019305,0.7,0.8,0.7466666666666667,0.78125,0.6756756756756757,0.7246376811594203,35,37,0.2,28,7,12,25,0.0513271830301746,0.1459756621082485,0.1916629694999819,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,True,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,logistic_balanced,all,aggregate,,72,,,0,0.6,72,0.6944444444444444,0.6980694980694981,0.690625,0.7305019305019305,0.6444444444444445,0.8285714285714286,0.725,0.7777777777777778,0.5675675675675675,0.65625,35,37,0.1714285714285714,29,6,16,21,0.0572395703839351,0.1982320606295209,0.1564921592871903,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,True,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,random_forest_balanced_depth3,all,aggregate,,72,,,0,0.4,72,0.6805555555555556,0.6768339768339768,0.6729211929685956,0.7783783783783784,0.7307692307692307,0.5428571428571428,0.6229508196721312,0.6521739130434783,0.8108108108108109,0.7228915662650602,35,37,0.4571428571428571,19,16,7,30,0.109692797225545,0.1640982175214014,0.1195228609334393,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,True,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,random_forest_balanced_depth3,all,aggregate,,72,,,0,0.5,72,0.75,0.7505791505791506,0.75,0.7783783783783784,0.7297297297297297,0.7714285714285715,0.75,0.7714285714285715,0.7297297297297297,0.75,35,37,0.2285714285714285,27,8,10,27,0.094041130644843,0.2085901667067803,0.1628822035855911,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,True,False,True,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,random_forest_balanced_depth3,all,aggregate,,72,,,0,0.6,72,0.6805555555555556,0.686100386100386,0.669790628115653,0.7783783783783784,0.62,0.8857142857142857,0.7294117647058823,0.8181818181818182,0.4864864864864865,0.6101694915254238,35,37,0.1142857142857142,31,4,19,18,0.0844187158710507,0.1190112378271519,0.1195228609334393,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,True,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,extra_trees_balanced_depth3,all,aggregate,,72,,,0,0.4,72,0.6527777777777778,0.6436293436293437,0.6051765738100461,0.8030888030888033,0.9166666666666666,0.3142857142857143,0.4680851063829787,0.6,0.972972972972973,0.7422680412371134,35,37,0.6857142857142857,11,24,1,36,0.101015254455221,0.063887656499994,0.1862629258629328,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,True,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,extra_trees_balanced_depth3,all,aggregate,,72,,,0,0.5,72,0.75,0.7521235521235521,0.7492260061919505,0.8030888030888033,0.7073170731707317,0.8285714285714286,0.7631578947368421,0.8064516129032258,0.6756756756756757,0.7352941176470589,35,37,0.1714285714285714,29,6,12,25,0.1262698475053125,0.2248095551901927,0.0638876564999939,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,True,False,True,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,compact13,13,extra_trees_balanced_depth3,all,aggregate,,72,,,0,0.6,72,0.5,0.5127413127413127,0.3769230769230769,0.8030888030888033,0.4927536231884058,0.9714285714285714,0.6538461538461539,0.6666666666666666,0.054054054054054,0.1,35,37,0.0285714285714285,34,1,35,2,0.0319438282499969,0.1277753129999879,0.0638876564999939,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,True,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,expanded154,154,logistic_balanced,all,aggregate,,72,,,0,0.4,72,0.4861111111111111,0.4853281853281853,0.4852173913043478,0.522007722007722,0.4705882352941176,0.4571428571428571,0.463768115942029,0.5,0.5135135135135135,0.5066666666666667,35,37,0.5428571428571428,16,19,18,19,0.1277406470255037,0.1519665123034611,0.1195228609334393,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,expanded154,154,logistic_balanced,all,aggregate,,72,,,0,0.5,72,0.4722222222222222,0.4741312741312741,0.4705882352941176,0.522007722007722,0.4634146341463415,0.5428571428571428,0.5,0.4838709677419355,0.4054054054054054,0.4411764705882353,35,37,0.4571428571428571,19,16,22,15,0.1186078185696471,0.1739277158480961,0.1195228609334393,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
task_pre_all,task,expanded154,154,logistic_balanced,all,aggregate,,72,,,0,0.6,72,0.4722222222222222,0.4764478764478764,0.4618410700236035,0.522007722007722,0.4680851063829787,0.6285714285714286,0.5365853658536586,0.48,0.3243243243243243,0.3870967741935484,35,37,0.3714285714285714,22,13,25,12,0.0959833604984082,0.1398605467498358,0.0782460796435951,0,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d,False,False,False,False,True,False,task_window_candidate_selected,task_post_1d,fault_gate_lock_pending_threshold_review,fault_gate_pending_and_policy_redesign_continue,pre,7d_reference,False,False,fails_one_or_more_semantic_thresholds
