dataset,target_class,window_direction,window_days,feature_set,model,rank,feature,importance_metric,importance_value,feature_missing_rate,interpretation_scope
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,1,p_net_meter_flow__last_1d_std_minus_prev_6d_std,feature_importance,0.16769070177469858,0.32098765432098764,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,2,p_return_gap__last_1d_mean_minus_prev_6d_mean,feature_importance,0.13157788153305375,0.32098765432098764,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,3,p_return_gap__last_minus_first,feature_importance,0.10369278920542589,0.30864197530864196,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,4,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.09916178530768828,0.32098765432098764,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,5,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.07790698901685592,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,6,outdoor_temperature__last_minus_first,feature_importance,0.07475624986259018,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,7,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.0658576614040355,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,8,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,feature_importance,0.06455971337668326,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,9,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,feature_importance,0.05951290879808286,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,10,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,feature_importance,0.048985307620292386,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,11,s_hc1_supply_temperature_error__last_minus_first,feature_importance,0.038265588079039216,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,12,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,feature_importance,0.035435829970883105,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,random_forest_balanced_depth3,13,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,feature_importance,0.03259659405067115,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,1,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.6758927591471081,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,2,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.5699767026930043,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,3,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,abs_coefficient,0.40620874205339097,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,4,outdoor_temperature__last_minus_first,abs_coefficient,0.3686537651552598,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,5,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,abs_coefficient,0.3673027629127914,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,6,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.25793980792809473,0.32098765432098764,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,7,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.2325834572271901,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,8,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,abs_coefficient,0.22390239427383352,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,9,s_hc1_supply_temperature_error__last_minus_first,abs_coefficient,0.222811242312485,0.0,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,10,p_return_gap__last_1d_mean_minus_prev_6d_mean,abs_coefficient,0.10358192041446093,0.32098765432098764,full_dataset_fit_for_audit_only
activity_no_overlap,activity,no_overlap,7d_no_overlap,compact13,logistic_balanced,11,p_return_gap__last_minus_first,abs_coefficient,0.08765219931776508,0.30864197530864196,full_dataset_fit_for_audit_only
