dataset,target_class,rows,normal_rows,target_rows,substation_count,target_substation_count,target_overlap_rows,target_overlap_rate,normal_collision_rows,coverage_min,coverage_median,window_policies
task_pre_all,task,72,35,37,30,21,27,0.7297297297297297,0,1.0,1.0,task_pre_7d
task_post_all,task,76,35,41,31,22,4,0.0975609756097561,0,0.9821428571428572,1.0,task_post_7d
task_no_overlap,task,72,35,37,31,22,0,0.0,0,0.9821428571428572,1.0,task_post_7d
activity_pre_all,activity,82,35,47,27,19,4,0.0851063829787234,0,0.9950396825396826,1.0,activity_pre_7d
activity_post_all,activity,81,35,46,27,19,5,0.10869565217391304,0,0.9950396825396826,1.0,activity_post_7d
activity_no_overlap,activity,81,35,46,27,19,0,0.0,0,0.9950396825396826,1.0,activity_post_7d|activity_pre_7d
task_pre_3d,task,75,35,40,31,22,24,0.6,1,0.9837962962962963,1.0,task_pre_3d
task_pre_1d,task,75,35,40,31,22,16,0.4,0,0.9861111111111112,1.0,task_pre_1d
task_post_3d,task,77,35,42,31,22,3,0.07142857142857142,0,0.9583333333333334,1.0,task_post_3d
task_post_1d,task,77,35,42,31,22,2,0.047619047619047616,0,1.0,1.0,task_post_1d
activity_pre_3d,activity,82,35,47,27,19,4,0.0851063829787234,0,0.9884259259259259,1.0,activity_pre_3d
activity_pre_1d,activity,82,35,47,27,19,2,0.0425531914893617,0,0.9652777777777778,1.0,activity_pre_1d
activity_post_3d,activity,81,35,46,27,19,5,0.10869565217391304,0,0.9976851851851852,1.0,activity_post_3d
activity_post_1d,activity,81,35,46,27,19,4,0.08695652173913043,0,0.9930555555555556,1.0,activity_post_1d
