candidate_id,scenario,normal_policy,positive_policy,rows,normal_rows,positive_rows,positive_event_ids,window_days_min,window_days_median,window_days_max,coverage_min,coverage_median,coverage_max,low_coverage_count_lt_095,normal_disturbance_sum,positive_disturbance_sum
report_pre_7d,all,normal_7d,report_pre_7d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.7242063492063492,1.0,1.0,1,0,5
report_pre_7d,no_event67,normal_7d,report_pre_7d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.7242063492063492,1.0,1.0,1,0,5
report_pre_7d,no_low_coverage20,normal_7d,report_pre_7d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,5
report_pre_7d,no_event67_no_event20,normal_7d,report_pre_7d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,5
report_pre_3d,all,normal_3d,report_pre_3d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",3.0,3.0,3.0,0.35648148148148145,1.0,1.0,1,0,4
report_pre_3d,no_event67,normal_3d,report_pre_3d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",3.0,3.0,3.0,0.35648148148148145,1.0,1.0,1,0,4
report_pre_3d,no_low_coverage20,normal_3d,report_pre_3d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",3.0,3.0,3.0,0.9930555555555556,1.0,1.0,0,0,4
report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",3.0,3.0,3.0,0.9930555555555556,1.0,1.0,0,0,4
report_pre_1d,all,normal_1d,report_pre_1d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",1.0,1.0,1.0,0.09722222222222222,1.0,1.0,1,0,2
report_pre_1d,no_event67,normal_1d,report_pre_1d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",1.0,1.0,1.0,0.09722222222222222,1.0,1.0,1,0,2
report_pre_1d,no_low_coverage20,normal_1d,report_pre_1d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",1.0,1.0,1.0,0.9791666666666666,1.0,1.0,0,0,2
report_pre_1d,no_event67_no_event20,normal_1d,report_pre_1d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",1.0,1.0,1.0,0.9791666666666666,1.0,1.0,0,0,2
anomaly_start_plus_7d,all,normal_7d,anomaly_start_plus_7d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.7242063492063492,1.0,1.0,1,0,23
anomaly_start_plus_7d,no_event67,normal_7d,anomaly_start_plus_7d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.7242063492063492,1.0,1.0,1,0,23
anomaly_start_plus_7d,no_low_coverage20,normal_7d,anomaly_start_plus_7d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.9970238095238095,1.0,1.0,0,0,21
anomaly_start_plus_7d,no_event67_no_event20,normal_7d,anomaly_start_plus_7d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.9970238095238095,1.0,1.0,0,0,21
anomaly_start_pre_7d,all,normal_7d,anomaly_start_pre_7d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,3
anomaly_start_pre_7d,no_event67,normal_7d,anomaly_start_pre_7d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,3
anomaly_start_pre_7d,no_low_coverage20,normal_7d,anomaly_start_pre_7d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,3
anomaly_start_pre_7d,no_event67_no_event20,normal_7d,anomaly_start_pre_7d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,3
