candidate_id,scenario,normal_policy,positive_policy,rows,normal_rows,positive_rows,positive_event_ids,window_days_min,window_days_median,window_days_max,coverage_min,coverage_median,coverage_max,low_coverage_count_lt_095,normal_disturbance_sum,positive_disturbance_sum,model,accuracy_mean,balanced_accuracy_mean,precision_mean,recall_mean,f1_mean,roc_auc_mean,fp_sum,fn_sum,dummy_balanced_accuracy_mean,dummy_recall_mean,dummy_f1_mean,balanced_accuracy_lift_vs_dummy,recall_lift_vs_dummy,coverage_status,normal_label_status,event20_included,event67_included,outlier_status,fp_rate_over_normal,fn_rate_over_positive,review_status
report_pre_7d,all,normal_7d,report_pre_7d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.7242063492063492,1.0,1.0,1,0,5,logistic_balanced,0.5927272727272728,0.5946428571428571,0.39,0.6,0.4714285714285714,0.6071428571428571,14,6,0.5,0.0,0.0,0.09464285714285714,0.6,low_coverage_present,normal_clean,True,True,event20_and_event67_included,0.4,0.4,coverage<0.95; high false positives
report_pre_7d,no_event67,normal_7d,report_pre_7d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.7242063492063492,1.0,1.0,1,0,5,logistic_balanced,0.6626262626262627,0.6672619047619047,0.4533333333333333,0.6666666666666666,0.530952380952381,0.6742063492063493,12,5,0.5,0.0,0.0,0.16726190476190472,0.6666666666666666,low_coverage_present,normal_clean,True,False,event20_included,0.34285714285714286,0.35714285714285715,coverage<0.95
report_pre_7d,no_low_coverage20,normal_7d,report_pre_7d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,5,logistic_balanced,0.6585858585858586,0.6047619047619047,0.36666666666666664,0.5,0.4133333333333333,0.5785714285714285,10,7,0.5,0.0,0.0,0.10476190476190472,0.5,ok,normal_clean,False,True,event67_included,0.2857142857142857,0.5,reviewable
report_pre_7d,no_event67_no_event20,normal_7d,report_pre_7d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",7.0,7.0,7.0,0.9950396825396826,1.0,1.0,0,0,5,logistic_balanced,0.7113131313131313,0.5988095238095238,0.4333333333333333,0.36666666666666664,0.39333333333333337,0.6015873015873016,6,8,0.5,0.0,0.0,0.09880952380952379,0.36666666666666664,ok,normal_clean,False,False,event20_event67_excluded,0.17142857142857143,0.6153846153846154,reviewable
report_pre_3d,all,normal_3d,report_pre_3d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",3.0,3.0,3.0,0.35648148148148145,1.0,1.0,1,0,4,logistic_balanced,0.5846464646464646,0.5154761904761904,0.38,0.3333333333333333,0.3142857142857143,0.5210317460317461,10,10,0.5,0.0,0.0,0.015476190476190421,0.3333333333333333,low_coverage_present,normal_clean,True,True,event20_and_event67_included,0.2857142857142857,0.6666666666666666,coverage<0.95
report_pre_3d,no_event67,normal_3d,report_pre_3d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",3.0,3.0,3.0,0.35648148148148145,1.0,1.0,1,0,4,logistic_balanced,0.6,0.4958333333333333,0.26666666666666666,0.2333333333333333,0.22222222222222224,0.5734126984126984,9,11,0.5,0.0,0.0,-0.004166666666666707,0.2333333333333333,low_coverage_present,normal_clean,True,False,event20_included,0.2571428571428571,0.7857142857142857,coverage<0.95; no lift vs dummy
report_pre_3d,no_low_coverage20,normal_3d,report_pre_3d,49,35,14,"1,3,7,10,15,40,44,47,49,52,53,57,64,67",3.0,3.0,3.0,0.9930555555555556,1.0,1.0,0,0,4,logistic_balanced,0.5515151515151515,0.43809523809523815,0.13333333333333333,0.16666666666666666,0.14666666666666667,0.5202380952380953,10,12,0.5,0.0,0.0,-0.06190476190476185,0.16666666666666666,ok,normal_clean,False,True,event67_included,0.2857142857142857,0.8571428571428571,no lift vs dummy
report_pre_3d,no_event67_no_event20,normal_3d,report_pre_3d,48,35,13,"1,3,7,10,15,40,44,47,49,52,53,57,64",3.0,3.0,3.0,0.9930555555555556,1.0,1.0,0,0,4,logistic_balanced,0.6472727272727272,0.5160714285714286,0.26666666666666666,0.2333333333333333,0.24666666666666667,0.5460317460317461,7,10,0.5,0.0,0.0,0.016071428571428625,0.2333333333333333,ok,normal_clean,False,False,event20_event67_excluded,0.2,0.7692307692307693,reviewable
report_pre_1d,all,normal_1d,report_pre_1d,50,35,15,"1,3,7,10,15,20,40,44,47,49,52,53,57,64,67",1.0,1.0,1.0,0.09722222222222222,1.0,1.0,1,0,2,logistic_balanced,0.5523232323232323,0.4714285714285714,0.35666666666666663,0.26666666666666666,0.27380952380952384,0.5468253968253969,11,11,0.5,0.0,0.0,-0.02857142857142858,0.26666666666666666,low_coverage_present,normal_clean,True,True,event20_and_event67_included,0.3142857142857143,0.7333333333333333,coverage<0.95; no lift vs dummy
report_pre_1d,no_event67,normal_1d,report_pre_1d,49,35,14,"1,3,7,10,15,20,40,44,47,49,52,53,57,64",1.0,1.0,1.0,0.09722222222222222,1.0,1.0,1,0,2,logistic_balanced,0.6404040404040404,0.5416666666666667,0.4066666666666666,0.3,0.32999999999999996,0.5884920634920634,8,10,0.5,0.0,0.0,0.04166666666666674,0.3,low_coverage_present,normal_clean,True,False,event20_included,0.22857142857142856,0.7142857142857143,coverage<0.95
