sample_id,source_type,label,target_class,y_true,source_event_id,fault_event_id,disturbance_row_id,substation_id,window_policy,window_start,window_end,review_tag,fault_label,efd_possible,outdoor_temperature__last_12h_mean_minus_prev_12h_mean,outdoor_temperature__last_6h_mean_minus_prev_6h_mean,outdoor_temperature__last_minus_first,p_hc1_return_temperature__last_12h_mean_minus_prev_12h_mean,p_hc1_return_temperature__last_1d_mean_minus_prev_6d_mean,p_net_meter_flow__last_1d_std_minus_prev_6d_std,p_net_return_temperature__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_1d_mean_minus_prev_6d_mean,p_return_gap__last_minus_first,s_hc1_supply_temperature__last_1d_mean_minus_prev_6d_mean,s_hc1_supply_temperature__last_1d_std_minus_prev_6d_std,s_hc1_supply_temperature_error__last_minus_first,s_hc1_supply_temperature_setpoint__last_1d_mean_minus_prev_6d_mean,sample_count,expected_sample_count,coverage_rate,coverage_eligible,overlap_disturbance_count,training_metadata_complete
m2_normal_0043_fault,normal_event,normal,fault,0,43.0,,,24,normal_event_7d,2020-02-20 00:00:00,2020-02-27 00:00:00,,,,2.8722222222222222,-1.4749999999999999,-0.7,-0.9222222222222243,-2.6724537037037095,-14483.172437439804,-2.700231481481481,0.02777777777777768,0.19999999999999574,2.7192129629629562,-0.23431775099259955,0.7999999999999972,2.879398148148155,1008,1008,1.0,True,,
m2_normal_0044_fault,normal_event,normal,fault,0,44.0,,,53,normal_event_7d,2019-12-13 00:00:00,2019-12-20 00:00:00,,,,0.5847222222222221,-0.13333333333333286,-0.09999999999999964,-0.14999999999999858,0.25150462962964326,993.0314150388294,0.004629629629633314,0.24687500000000007,-0.8000000000000043,-0.2738425925926009,0.3664043211617374,-2.0999999999999943,0.28319561273295335,1008,1008,1.0,True,,
m2_normal_0045_fault,normal_event,normal,fault,0,45.0,,,53,normal_event_7d,2020-02-18 00:00:00,2020-02-25 00:00:00,,,,1.255555555555555,-2.4305555555555554,-4.6000000000000005,-0.5777777777777828,2.3957175925925966,10805.994229790565,2.399305555555557,-0.0035879629629627097,0.6000000000000014,0.11018518518520182,0.7730655238416482,0.7999999999999972,0.5342334494773553,1008,1008,1.0,True,,
m2_normal_0046_fault,normal_event,normal,fault,0,46.0,,,8,normal_event_7d,2020-01-11 00:00:00,2020-01-18 00:00:00,,,,0.15972222222222188,-0.8444444444444446,0.20000000000000018,-1.1680555555555472,1.9790509259259181,-2268.9878874419082,2.2604166666666643,-0.2813657407407406,2.5999999999999943,0.8439814814814781,-2.428952445342267,2.299999999999997,0.8006944444444315,1008,1008,1.0,True,,
m2_normal_0047_fault,normal_event,normal,fault,0,47.0,,,35,normal_event_7d,2019-12-28 00:00:00,2020-01-04 00:00:00,,,,-0.15833333333333233,-1.0388888888888896,-1.9999999999999996,-1.3638888888888872,0.6358632676709135,-16036.230479416496,0.22618127977339952,0.40968198789751487,5.0,-0.3252357731427793,-0.15856082312083064,0.8000000000000043,0.0,1007,1008,0.9990079365079365,True,,
m2_normal_0048_fault,normal_event,normal,fault,0,48.0,,,59,normal_event_7d,2020-03-07 00:00:00,2020-03-14 00:00:00,,,,3.4805555555555543,-4.722222222222218,3.0,-1.9388888888888829,-3.89513888888888,-33395.44429498151,-3.9791666666666643,0.08402777777777759,-0.1999999999999993,-9.427546296296299,-0.06887578383780735,-0.10000000000000142,-9.474074074074068,1008,1008,1.0,True,,
m2_normal_0049_fault,normal_event,normal,fault,0,49.0,,,43,normal_event_7d,2020-03-14 00:00:00,2020-03-21 00:00:00,,,,1.1944444444444429,-2.1611111111111105,-4.0,2.8874999999999957,1.6515046296296347,-12134.464436051989,0.8379629629629619,0.8135416666666666,-6.300000000000004,4.407754629629629,-2.4673488126957155,0.6000000000000014,4.501388888888904,1008,1008,1.0,True,,
m2_normal_0050_fault,normal_event,normal,fault,0,50.0,,,11,normal_event_7d,2020-03-06 00:00:00,2020-03-13 00:00:00,,,,3.875,-2.1833333333333336,3.6000000000000005,-4.229166666666668,-4.975694444444443,-18135.308534684154,-4.886574074074069,-0.08912037037037046,-2.0000000000000036,-8.498148148148154,0.146048961712669,-1.2999999999999972,-8.407986111111107,1008,1008,1.0,True,,
m2_normal_0051_fault,normal_event,normal,fault,0,51.0,,,26,normal_event_7d,2020-03-03 00:00:00,2020-03-09 00:00:00,,,,1.8458333333333332,-2.147222222222222,-6.7,-0.30555555555555003,0.3376388888888826,-12680.090741841443,0.40833333333333144,-0.07069444444444453,0.30000000000000426,-1.2126388888888755,-1.2093204607623926,0.8000000000000043,-1.1765277777777925,864,864,1.0,True,,
m2_normal_0052_fault,normal_event,normal,fault,0,52.0,,,52,normal_event_7d,2017-09-23 00:00:00,2017-09-30 00:00:00,,,,5.230555555555556,-5.15,1.1999999999999993,-7.4069444444444414,-3.7194444444444485,25590.04037747209,0.13888888888888573,-3.8583333333333343,-0.29999999999999716,-4.989814814814814,2.25149044957025,2.3999999999999986,-5.030787037037037,1008,1008,1.0,True,,
