evaluation_scope,feature_set,model,threshold,rows,normal_rows,pre_event_rows,balanced_accuracy,precision,recall,f1,normal_fpr,tn,fp,fn,tp
M1_CV,common13,dummy_most_frequent,0.4,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,common13,dummy_most_frequent,0.5,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,common13,dummy_most_frequent,0.6,61,35,26,0.5,0.0,0.0,0.0,0.0,35,0,26,0
M1_CV,common13,extra_trees_depth3,0.4,61,35,26,0.7950549450549451,0.6578947368421053,0.9615384615384616,0.78125,0.37142857142857144,22,13,1,25
M1_CV,common13,extra_trees_depth3,0.5,61,35,26,0.7505494505494505,0.8,0.6153846153846154,0.6956521739130435,0.11428571428571428,31,4,10,16
M1_CV,common13,extra_trees_depth3,0.6,61,35,26,0.6395604395604395,0.8888888888888888,0.3076923076923077,0.45714285714285713,0.02857142857142857,34,1,18,8
M1_CV,common13,extra_trees_depth5,0.4,61,35,26,0.7950549450549451,0.6578947368421053,0.9615384615384616,0.78125,0.37142857142857144,22,13,1,25
M1_CV,common13,extra_trees_depth5,0.5,61,35,26,0.7505494505494505,0.8,0.6153846153846154,0.6956521739130435,0.11428571428571428,31,4,10,16
M1_CV,common13,extra_trees_depth5,0.6,61,35,26,0.682967032967033,0.8461538461538461,0.4230769230769231,0.5641025641025641,0.05714285714285714,33,2,15,11
M1_CV,common13,hist_gradient_boosting,0.4,61,35,26,0.7895604395604396,0.7241379310344828,0.8076923076923077,0.7636363636363637,0.22857142857142856,27,8,5,21
M1_CV,common13,hist_gradient_boosting,0.5,61,35,26,0.7318681318681319,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.22857142857142856,27,8,8,18
M1_CV,common13,hist_gradient_boosting,0.6,61,35,26,0.6736263736263737,0.75,0.46153846153846156,0.5714285714285714,0.11428571428571428,31,4,14,12
M1_CV,common13,lightgbm_depth3,0.4,61,35,26,0.689010989010989,0.6206896551724138,0.6923076923076923,0.6545454545454545,0.3142857142857143,24,11,8,18
M1_CV,common13,lightgbm_depth3,0.5,61,35,26,0.6456043956043955,0.6,0.5769230769230769,0.5882352941176471,0.2857142857142857,25,10,11,15
M1_CV,common13,lightgbm_depth3,0.6,61,35,26,0.6741758241758242,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.22857142857142856,27,8,11,15
M1_CV,common13,logistic_balanced,0.4,61,35,26,0.7895604395604396,0.7241379310344828,0.8076923076923077,0.7636363636363637,0.22857142857142856,27,8,5,21
M1_CV,common13,logistic_balanced,0.5,61,35,26,0.7747252747252746,0.782608695652174,0.6923076923076923,0.7346938775510204,0.14285714285714285,30,5,8,18
M1_CV,common13,logistic_balanced,0.6,61,35,26,0.7648351648351648,0.8421052631578947,0.6153846153846154,0.7111111111111111,0.08571428571428572,32,3,10,16
M1_CV,common13,random_forest_depth3,0.4,61,35,26,0.8521978021978023,0.7352941176470589,0.9615384615384616,0.8333333333333334,0.2571428571428571,26,9,1,25
M1_CV,common13,random_forest_depth3,0.5,61,35,26,0.8131868131868132,0.8,0.7692307692307693,0.7843137254901961,0.14285714285714285,30,5,6,20
M1_CV,common13,random_forest_depth3,0.6,61,35,26,0.7164835164835165,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.02857142857142857,34,1,14,12
M1_CV,common13,random_forest_depth5,0.4,61,35,26,0.8472527472527474,0.75,0.9230769230769231,0.8275862068965517,0.22857142857142856,27,8,2,24
M1_CV,common13,random_forest_depth5,0.5,61,35,26,0.8181318681318681,0.7777777777777778,0.8076923076923077,0.7924528301886793,0.17142857142857143,29,6,5,21
M1_CV,common13,random_forest_depth5,0.6,61,35,26,0.7164835164835165,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.02857142857142857,34,1,14,12
M1_CV,common13,xgboost_depth3,0.4,61,35,26,0.828021978021978,0.7419354838709677,0.8846153846153846,0.8070175438596491,0.22857142857142856,27,8,3,23
M1_CV,common13,xgboost_depth3,0.5,61,35,26,0.7846153846153847,0.7407407407407407,0.7692307692307693,0.7547169811320755,0.2,28,7,6,20
