evaluation_scope,feature_set,model,threshold,class,precision,recall,f1,support
M1_CV,common13,dummy_most_frequent,0.4,normal,0.5737704918032787,1.0,0.7291666666666666,35
M1_CV,common13,dummy_most_frequent,0.4,pre_event,0.0,0.0,0.0,26
M1_CV,common13,dummy_most_frequent,0.5,normal,0.5737704918032787,1.0,0.7291666666666666,35
M1_CV,common13,dummy_most_frequent,0.5,pre_event,0.0,0.0,0.0,26
M1_CV,common13,dummy_most_frequent,0.6,normal,0.5737704918032787,1.0,0.7291666666666666,35
M1_CV,common13,dummy_most_frequent,0.6,pre_event,0.0,0.0,0.0,26
M1_CV,common13,extra_trees_depth3,0.4,normal,0.9565217391304348,0.6285714285714286,0.7586206896551724,35
M1_CV,common13,extra_trees_depth3,0.4,pre_event,0.6578947368421053,0.9615384615384616,0.78125,26
M1_CV,common13,extra_trees_depth3,0.5,normal,0.7560975609756098,0.8857142857142857,0.8157894736842105,35
M1_CV,common13,extra_trees_depth3,0.5,pre_event,0.8,0.6153846153846154,0.6956521739130435,26
M1_CV,common13,extra_trees_depth3,0.6,normal,0.6538461538461539,0.9714285714285714,0.7816091954022989,35
M1_CV,common13,extra_trees_depth3,0.6,pre_event,0.8888888888888888,0.3076923076923077,0.45714285714285713,26
M1_CV,common13,extra_trees_depth5,0.4,normal,0.9565217391304348,0.6285714285714286,0.7586206896551724,35
M1_CV,common13,extra_trees_depth5,0.4,pre_event,0.6578947368421053,0.9615384615384616,0.78125,26
M1_CV,common13,extra_trees_depth5,0.5,normal,0.7560975609756098,0.8857142857142857,0.8157894736842105,35
M1_CV,common13,extra_trees_depth5,0.5,pre_event,0.8,0.6153846153846154,0.6956521739130435,26
M1_CV,common13,extra_trees_depth5,0.6,normal,0.6875,0.9428571428571428,0.7951807228915663,35
M1_CV,common13,extra_trees_depth5,0.6,pre_event,0.8461538461538461,0.4230769230769231,0.5641025641025641,26
M1_CV,common13,hist_gradient_boosting,0.4,normal,0.84375,0.7714285714285715,0.8059701492537313,35
M1_CV,common13,hist_gradient_boosting,0.4,pre_event,0.7241379310344828,0.8076923076923077,0.7636363636363637,26
M1_CV,common13,hist_gradient_boosting,0.5,normal,0.7714285714285715,0.7714285714285715,0.7714285714285715,35
M1_CV,common13,hist_gradient_boosting,0.5,pre_event,0.6923076923076923,0.6923076923076923,0.6923076923076923,26
M1_CV,common13,hist_gradient_boosting,0.6,normal,0.6888888888888889,0.8857142857142857,0.775,35
