evaluation_scope,feature_set,model,fold,quality_check,passed,detail
M1_CV,common13,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
M1_CV,common13,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
M1_CV,common13,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
M1_CV,common13,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
M1_CV,common13,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
M2_CV,common13,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
M2_CV,common13,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
M2_CV,common13,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
M2_CV,common13,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
M2_CV,common13,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
M1_to_M2,common13,dummy_most_frequent,,train_test_group_overlap_zero,True,
M2_to_M1,common13,dummy_most_frequent,,train_test_group_overlap_zero,True,
M1_CV,common13,logistic_balanced,1.0,train_test_group_overlap_zero,True,
M1_CV,common13,logistic_balanced,2.0,train_test_group_overlap_zero,True,
M1_CV,common13,logistic_balanced,3.0,train_test_group_overlap_zero,True,
M1_CV,common13,logistic_balanced,4.0,train_test_group_overlap_zero,True,
M1_CV,common13,logistic_balanced,5.0,train_test_group_overlap_zero,True,
M2_CV,common13,logistic_balanced,1.0,train_test_group_overlap_zero,True,
M2_CV,common13,logistic_balanced,2.0,train_test_group_overlap_zero,True,
M2_CV,common13,logistic_balanced,3.0,train_test_group_overlap_zero,True,
M2_CV,common13,logistic_balanced,4.0,train_test_group_overlap_zero,True,
M2_CV,common13,logistic_balanced,5.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,logistic_balanced,1.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,logistic_balanced,2.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,logistic_balanced,3.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,logistic_balanced,4.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,logistic_balanced,5.0,train_test_group_overlap_zero,True,
M1_to_M2,common13,logistic_balanced,,train_test_group_overlap_zero,True,
M2_to_M1,common13,logistic_balanced,,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
M2_CV,common13,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
M2_CV,common13,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
M2_CV,common13,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
M2_CV,common13,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
M2_CV,common13,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
Pooled_M1_M2_group_CV,common13,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
M1_to_M2,common13,random_forest_depth3,,train_test_group_overlap_zero,True,
M2_to_M1,common13,random_forest_depth3,,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth5,1.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth5,2.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth5,3.0,train_test_group_overlap_zero,True,
M1_CV,common13,random_forest_depth5,4.0,train_test_group_overlap_zero,True,
