sensor_concept,canonical_column,schema_role,missing_allowed,system_specific,m1_available,m2_available,feature_policy
outdoor_temperature,outdoor_temperature,required,False,False,True,True,standard_common_and_common13_source
s_hc1_supply_temperature,s_hc1_supply_temperature,required,False,False,True,True,standard_common_and_common13_source
s_hc1_supply_temperature_setpoint,s_hc1_supply_temperature_setpoint,required,False,False,True,True,standard_common_and_common13_source
p_hc1_return_temperature,p_hc1_return_temperature,required,False,False,True,True,standard_common_and_common13_source
p_net_meter_energy,p_net_meter_energy,required,False,False,True,True,standard_common_and_common13_source
p_net_meter_volume,p_net_meter_volume,required,False,False,True,True,standard_common_and_common13_source
p_net_meter_heat_power,p_net_meter_heat_power,required,False,False,True,True,standard_common_and_common13_source
p_net_meter_flow,p_net_meter_flow,required,False,False,True,True,standard_common_and_common13_source
p_net_supply_temperature,p_net_supply_temperature,required,False,False,True,True,standard_common_and_common13_source
p_net_return_temperature,p_net_return_temperature,required,False,False,True,True,standard_common_and_common13_source
s_hc1_supply_temperature_error,s_hc1_supply_temperature_error,derived_required_from_common10,False,False,True,True,derived_for_common13_temporal_features
p_net_delta_temperature,p_net_delta_temperature,derived_required_from_common10,False,False,True,True,derived_for_common13_temporal_features
p_net_power_flow_ratio,p_net_power_flow_ratio,derived_required_from_common10,False,False,True,True,derived_for_common13_temporal_features
p_return_gap,p_return_gap,derived_required_from_common10,False,False,True,True,derived_for_common13_temporal_features
s_dhw_supply_temperature,s_dhw_supply_temperature,optional,True,True,True,True,standard_optional_dhw_subset_only
s_dhw_supply_temperature_setpoint,s_dhw_supply_temperature_setpoint,optional,True,True,True,True,standard_optional_dhw_subset_only
s_dhw_upper_storage_temperature,s_dhw_upper_storage_temperature,optional,True,True,True,True,standard_optional_dhw_subset_only
s_dhw_lower_storage_temperature,s_dhw_lower_storage_temperature,optional,True,True,True,True,standard_optional_dhw_subset_only
p_dhw_return_temperature,p_dhw_return_temperature,optional,True,True,True,True,standard_optional_dhw_subset_only
p_dhw_return_temperature_setpoint,p_dhw_return_temperature_setpoint,optional,True,True,True,False,standard_optional_dhw_subset_only
