manufacturer,substation_id,manufacturer_substation_id,raw_column_count,raw_sensor_columns,normal_event_count,fault_event_count,efd_possible_count,disturbance_count,common10_ready,dhw_supply_available,dhw_storage_available,dhw_return_available,multi_circuit_available,system_capability_group
M1,1,M1_1,15,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,0,0,0,True,True,True,False,False,dhw_storage
M1,2,M1_2,11,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,3,0,0,0,True,False,False,False,False,heating_common_only
M1,3,M1_3,13,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature_setpoint|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,2,0,0,5,True,False,True,False,False,dhw_storage
M1,4,M1_4,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,2,2,0,5,True,True,True,False,False,dhw_storage
M1,5,M1_5,15,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,2,0,0,6,True,True,True,False,False,dhw_storage
M1,6,M1_6,11,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|p_hc1_return_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_flow|p_net_supply_temperature|p_net_meter_heat_power|p_net_return_temperature,1,1,1,2,True,False,False,False,False,heating_common_only
M1,7,M1_7,18,outdoor_temperature|p_dhw_return_temperature_setpoint|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|p_hc1_return_temperature_setpoint|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,3,1,16,True,True,True,True,False,dhw_storage_return
M1,8,M1_8,16,outdoor_temperature|p_dhw_return_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,1,1,4,True,True,True,True,False,dhw_storage_return
M1,9,M1_9,15,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,1,1,1,3,True,True,True,False,False,dhw_storage
M1,10,M1_10,16,outdoor_temperature|s_hc1_supply_temperature|s_hc1_supply_temperature_setpoint|s_dhw_supply_temperature|s_dhw_supply_temperature_setpoint|p_hc1_return_temperature|s_dhw_upper_storage_temperature|s_dhw_upper_storage_temperature_setpoint|s_dhw_lower_storage_temperature|p_net_meter_energy|p_net_meter_volume|p_net_meter_heat_power|p_net_meter_flow|p_net_supply_temperature|p_net_return_temperature,0,1,1,6,True,True,True,False,False,dhw_storage
