sample_id,manufacturer,source_event_id,substation_id,manufacturer_substation_id,label,window_policy,fault_group,fault_label,system_capability_group,coverage_rate,main_eligible,exclude_reason
M1_normal_0002,M1,2,9,M1_9,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0004,M1,4,15,M1_15,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0008,M1,8,6,M1_6,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M1_normal_0012,M1,12,19,M1_19,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0014,M1,14,26,M1_26,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0016,M1,16,17,M1_17,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0017,M1,17,2,M1_2,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
M1_normal_0018,M1,18,16,M1_16,normal,normal_event_7d,normal,,dhw_return,1.0,True,
M1_normal_0019,M1,19,8,M1_8,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0021,M1,21,1,M1_1,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0022,M1,22,5,M1_5,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0025,M1,25,20,M1_20,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0026,M1,26,4,M1_4,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0027,M1,27,12,M1_12,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0028,M1,28,7,M1_7,normal,normal_event_7d,normal,,dhw_storage_return,1.0,True,
M1_normal_0030,M1,30,16,M1_16,normal,normal_event_7d,normal,,dhw_return,1.0,True,
M1_normal_0031,M1,31,3,M1_3,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0033,M1,33,3,M1_3,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0035,M1,35,11,M1_11,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0039,M1,39,15,M1_15,normal,normal_event_7d,normal,,dhw_storage,1.0,True,
M1_normal_0041,M1,41,2,M1_2,normal,normal_event_7d,normal,,heating_common_only,1.0,True,
