dataset_id,model,fold,quality_check,passed,detail
all_systems__all_faults__report_pre_7d,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,logistic_balanced,1.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,logistic_balanced,2.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,logistic_balanced,3.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,logistic_balanced,4.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,logistic_balanced,5.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,1.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,2.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,3.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,4.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,hist_gradient_boosting,5.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,lightgbm_depth3,1.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,lightgbm_depth3,2.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,lightgbm_depth3,3.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,lightgbm_depth3,4.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,lightgbm_depth3,5.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,xgboost_depth3,1.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,xgboost_depth3,2.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,xgboost_depth3,3.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,xgboost_depth3,4.0,train_test_group_overlap_zero,True,
all_systems__all_faults__report_pre_7d,xgboost_depth3,5.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,1.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,2.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,3.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,4.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,logistic_balanced,5.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,hist_gradient_boosting,1.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,hist_gradient_boosting,2.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,hist_gradient_boosting,3.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,hist_gradient_boosting,4.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,hist_gradient_boosting,5.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,lightgbm_depth3,1.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,lightgbm_depth3,2.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,lightgbm_depth3,3.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,lightgbm_depth3,4.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,lightgbm_depth3,5.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,xgboost_depth3,1.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,xgboost_depth3,2.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,xgboost_depth3,3.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,xgboost_depth3,4.0,train_test_group_overlap_zero,True,
system_dhw_storage__all_faults__report_pre_7d,xgboost_depth3,5.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,logistic_balanced,1.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,logistic_balanced,2.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,logistic_balanced,3.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,logistic_balanced,4.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,logistic_balanced,5.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,hist_gradient_boosting,1.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,hist_gradient_boosting,2.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,hist_gradient_boosting,3.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,hist_gradient_boosting,4.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,hist_gradient_boosting,5.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,1.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,2.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,3.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,4.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,lightgbm_depth3,5.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,xgboost_depth3,1.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,xgboost_depth3,2.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,xgboost_depth3,3.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,xgboost_depth3,4.0,train_test_group_overlap_zero,True,
system_dhw_storage_return__all_faults__report_pre_7d,xgboost_depth3,5.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,dummy_most_frequent,1.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,dummy_most_frequent,2.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,dummy_most_frequent,3.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,dummy_most_frequent,4.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,dummy_most_frequent,5.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,logistic_balanced,1.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,logistic_balanced,2.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,logistic_balanced,3.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,logistic_balanced,4.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,logistic_balanced,5.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,random_forest_depth3,1.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,random_forest_depth3,2.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,random_forest_depth3,3.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,random_forest_depth3,4.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,random_forest_depth3,5.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,hist_gradient_boosting,1.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,hist_gradient_boosting,2.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,hist_gradient_boosting,3.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,hist_gradient_boosting,4.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,hist_gradient_boosting,5.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,lightgbm_depth3,1.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,lightgbm_depth3,2.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,lightgbm_depth3,3.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,lightgbm_depth3,4.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,lightgbm_depth3,5.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,xgboost_depth3,1.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,xgboost_depth3,2.0,train_test_group_overlap_zero,True,
system_heating_common_only__all_faults__report_pre_7d,xgboost_depth3,3.0,train_test_group_overlap_zero,True,
